"","ID","Road_Crossings"
"1","Jonathan",3751
"2","Jonathan",3582
"3","Jonathan",3806
"4","Jonathan",3892
"5","Jonathan",3648
"6","Jonathan",3643
"7","Jonathan",3750
"8","Jonathan",3713
"9","Jonathan",3882
"10","Jonathan",3758
"11","Jonathan",3807
"12","Jonathan",3507
"13","Jonathan",3657
"14","Jonathan",3687
"15","Jonathan",3785
"16","Jonathan",3621
"17","Jonathan",3702
"18","Jonathan",3709
"19","Jonathan",3445
"20","Jonathan",3537
"21","Jonathan",3676
"22","Jonathan",3656
"23","Jonathan",3855
"24","Jonathan",3661
"25","Jonathan",3892
"26","Jonathan",3521
"27","Jonathan",3633
"28","Jonathan",3619
"29","Jonathan",3941
"30","Jonathan",3791
"31","Jonathan",3958
"32","Jonathan",3760
"33","Jonathan",3882
"34","Jonathan",3716
"35","Jonathan",3770
"36","Jonathan",3554
"37","Jonathan",3660
"38","Jonathan",3910
"39","Jonathan",3624
"40","Jonathan",3720
"41","Jonathan",3636
"42","Jonathan",3486
"43","Jonathan",3617
"44","Jonathan",3431
"45","Jonathan",3519
"46","Jonathan",3870
"47","Jonathan",3583
"48","Jonathan",3703
"49","Jonathan",3540
"50","Jonathan",3685
"51","Jonathan",3746
"52","Jonathan",3566
"53","Jonathan",3723
"54","Jonathan",3828
"55","Jonathan",3641
"56","Jonathan",3618
"57","Jonathan",3382
"58","Jonathan",3643
"59","Jonathan",3975
"60","Jonathan",3824
"61","Jonathan",3463
"62","Jonathan",3416
"63","Jonathan",3797
"64","Jonathan",3757
"65","Jonathan",3376
"66","Jonathan",3357
"67","Jonathan",3756
"68","Jonathan",3811
"69","Jonathan",3788
"70","Jonathan",3749
"71","Jonathan",3810
"72","Jonathan",3663
"73","Jonathan",3807
"74","Jonathan",3595
"75","Jonathan",3567
"76","Jonathan",3644
"77","Jonathan",3669
"78","Jonathan",3562
"79","Jonathan",3613
"80","Jonathan",3764
"81","Jonathan",3538
"82","Jonathan",3782
"83","Jonathan",3638
"84","Jonathan",3531
"85","Jonathan",3547
"86","Jonathan",3547
"87","Jonathan",3629
"88","Jonathan",3481
"89","Jonathan",3732
"90","Jonathan",3608
"91","Jonathan",3714
"92","Jonathan",3696
"93","Jonathan",3571
"94","Jonathan",3445
"95","Jonathan",3496
"96","Jonathan",3739
"97","Jonathan",3818
"98","Jonathan",3682
"99","Jonathan",3501
"100","Jonathan",3966
"101","Jonathan",3828
"102","Jonathan",3722
"103","Jonathan",3792
"104","Jonathan",3587
"105","Jonathan",3662
"106","Jonathan",3719
"107","Jonathan",3723
"108","Jonathan",3564
"109","Jonathan",3568
"110","Jonathan",3585
"111","Jonathan",3786
"112","Jonathan",3658
"113","Jonathan",3902
"114","Jonathan",3822
"115","Jonathan",3606
"116","Jonathan",3624
"117","Jonathan",3454
"118","Jonathan",3716
"119","Jonathan",3680
"120","Jonathan",3274
"121","Jonathan",3626
"122","Jonathan",3715
"123","Jonathan",3724
"124","Jonathan",3747
"125","Jonathan",3774
"126","Jonathan",3761
"127","Jonathan",3700
"128","Jonathan",3629
"129","Jonathan",3648
"130","Jonathan",3749
"131","Jonathan",3811
"132","Jonathan",3843
"133","Jonathan",3840
"134","Jonathan",3870
"135","Jonathan",3821
"136","Jonathan",3840
"137","Jonathan",3619
"138","Jonathan",3770
"139","Jonathan",3908
"140","Jonathan",3648
"141","Jonathan",3534
"142","Jonathan",3719
"143","Jonathan",3804
"144","Jonathan",3815
"145","Jonathan",3755
"146","Jonathan",3673
"147","Jonathan",3701
"148","Jonathan",3776
"149","Jonathan",3819
"150","Jonathan",3564
"151","Jonathan",3785
"152","Jonathan",3739
"153","Jonathan",3720
"154","Jonathan",3535
"155","Jonathan",3879
"156","Jonathan",3601
"157","Jonathan",3392
"158","Jonathan",3651
"159","Jonathan",3516
"160","Jonathan",3899
"161","Jonathan",3718
"162","Jonathan",3664
"163","Jonathan",3465
"164","Jonathan",3424
"165","Jonathan",3708
"166","Jonathan",3788
"167","Jonathan",3612
"168","Jonathan",3678
"169","Jonathan",3607
"170","Jonathan",3673
"171","Jonathan",3820
"172","Jonathan",3633
"173","Jonathan",3788
"174","Jonathan",3653
"175","Jonathan",3888
"176","Jonathan",3523
"177","Jonathan",3566
"178","Jonathan",3728
"179","Jonathan",3805
"180","Jonathan",3847
"181","Jonathan",3861
"182","Jonathan",4152
"183","Jonathan",3811
"184","Jonathan",3688
"185","Jonathan",3843
"186","Jonathan",3844
"187","Jonathan",3766
"188","Jonathan",3693
"189","Jonathan",3609
"190","Jonathan",3463
"191","Jonathan",3845
