"","ID","Road_Crossings"
"1","Lisa",3818
"2","Lisa",3805
"3","Lisa",3966
"4","Lisa",3869
"5","Lisa",3720
"6","Lisa",3794
"7","Lisa",3859
"8","Lisa",3717
"9","Lisa",3639
"10","Lisa",3652
"11","Lisa",3633
"12","Lisa",3647
"13","Lisa",3918
"14","Lisa",3714
"15","Lisa",3720
"16","Lisa",3646
"17","Lisa",3692
"18","Lisa",3730
"19","Lisa",3655
"20","Lisa",3773
"21","Lisa",3818
"22","Lisa",3753
"23","Lisa",3759
"24","Lisa",3720
"25","Lisa",3866
"26","Lisa",3769
"27","Lisa",3758
"28","Lisa",3624
"29","Lisa",3800
"30","Lisa",3887
"31","Lisa",3657
"32","Lisa",3733
"33","Lisa",3789
"34","Lisa",3808
"35","Lisa",3764
"36","Lisa",3856
"37","Lisa",3793
"38","Lisa",3719
"39","Lisa",3749
"40","Lisa",3835
"41","Lisa",3740
"42","Lisa",3736
"43","Lisa",3786
"44","Lisa",3904
"45","Lisa",3639
"46","Lisa",3796
"47","Lisa",3609
"48","Lisa",3624
"49","Lisa",3756
"50","Lisa",3661
"51","Lisa",3646
"52","Lisa",3662
"53","Lisa",3705
"54","Lisa",3838
"55","Lisa",3742
"56","Lisa",3828
"57","Lisa",3696
"58","Lisa",3801
"59","Lisa",3677
"60","Lisa",3764
"61","Lisa",3724
"62","Lisa",3735
"63","Lisa",3774
"64","Lisa",3750
"65","Lisa",3965
"66","Lisa",3827
"67","Lisa",3806
"68","Lisa",3609
"69","Lisa",3760
"70","Lisa",3705
"71","Lisa",3783
"72","Lisa",3882
"73","Lisa",3837
"74","Lisa",3734
"75","Lisa",3680
"76","Lisa",3790
"77","Lisa",3819
"78","Lisa",3624
"79","Lisa",3771
"80","Lisa",3921
"81","Lisa",3857
"82","Lisa",3631
"83","Lisa",3758
"84","Lisa",3725
"85","Lisa",3755
"86","Lisa",3670
"87","Lisa",3677
"88","Lisa",3782
"89","Lisa",3718
"90","Lisa",3861
"91","Lisa",3887
"92","Lisa",3768
"93","Lisa",3568
"94","Lisa",3687
"95","Lisa",3747
"96","Lisa",3752
"97","Lisa",3812
"98","Lisa",3719
"99","Lisa",3702
"100","Lisa",3730
"101","Lisa",3634
"102","Lisa",3833
"103","Lisa",3792
"104","Lisa",3904
"105","Lisa",3764
"106","Lisa",3724
"107","Lisa",3711
"108","Lisa",3773
"109","Lisa",3556
"110","Lisa",3858
"111","Lisa",3817
"112","Lisa",3650
"113","Lisa",3804
"114","Lisa",3689
"115","Lisa",3725
"116","Lisa",3683
"117","Lisa",3825
"118","Lisa",3655
"119","Lisa",3685
"120","Lisa",3784
"121","Lisa",3657
"122","Lisa",3666
"123","Lisa",3799
"124","Lisa",3688
"125","Lisa",3704
"126","Lisa",3619
"127","Lisa",3741
"128","Lisa",3719
"129","Lisa",3803
"130","Lisa",3712
"131","Lisa",3804
"132","Lisa",3772
"133","Lisa",3749
"134","Lisa",3675
"135","Lisa",3747
"136","Lisa",3749
"137","Lisa",3746
"138","Lisa",3801
"139","Lisa",3726
"140","Lisa",3763
"141","Lisa",3654
"142","Lisa",3817
"143","Lisa",3632
"144","Lisa",3771
"145","Lisa",3753
"146","Lisa",3554
"147","Lisa",3727
"148","Lisa",3594
"149","Lisa",3661
"150","Lisa",3690
"151","Lisa",3733
"152","Lisa",3852
"153","Lisa",3663
"154","Lisa",3857
"155","Lisa",3810
"156","Lisa",3687
"157","Lisa",3735
"158","Lisa",3680
"159","Lisa",3692
"160","Lisa",3623
"161","Lisa",3805
"162","Lisa",3737
"163","Lisa",3698
"164","Lisa",3731
"165","Lisa",3785
"166","Lisa",3787
"167","Lisa",3654
"168","Lisa",3831
"169","Lisa",3708
"170","Lisa",3748
"171","Lisa",3609
"172","Lisa",3608
"173","Lisa",3726
"174","Lisa",3732
"175","Lisa",3881
"176","Lisa",3777
"177","Lisa",3843
"178","Lisa",3862
"179","Lisa",3897
"180","Lisa",3714
"181","Lisa",3743
"182","Lisa",3593
"183","Lisa",3724
"184","Lisa",3695
"185","Lisa",3845
"186","Lisa",3888
"187","Lisa",3850
"188","Lisa",3780
"189","Lisa",3797
"190","Lisa",3648
"191","Lisa",3688
"192","Lisa",3799
"193","Lisa",3561
"194","Lisa",3714
"195","Lisa",3677
"196","Lisa",3625
"197","Lisa",3830
"198","Lisa",3722
"199","Lisa",3819
"200","Lisa",3730
"201","Lisa",3663
"202","Lisa",3774
"203","Lisa",3732
"204","Lisa",3759
"205","Lisa",3771
"206","Lisa",3618
"207","Lisa",3677
"208","Lisa",3755
"209","Lisa",3668
"210","Lisa",3763
"211","Lisa",3743
"212","Lisa",3914
"213","Lisa",3661
"214","Lisa",3778
"215","Lisa",3784
"216","Lisa",3834
"217","Lisa",3712
"218","Lisa",3609
"219","Lisa",3641
"220","Lisa",3781
"221","Lisa",3797
"222","Lisa",3812
"223","Lisa",3734
"224","Lisa",3747
"225","Lisa",3545
"226","Lisa",3758
"227","Lisa",3831
"228","Lisa",3709
"229","Lisa",3845
"230","Lisa",3760
"231","Lisa",3743
"232","Lisa",3747
"233","Lisa",3728
"234","Lisa",3793
"235","Lisa",3716
"236","Lisa",3848
"237","Lisa",3720
"238","Lisa",3705
"239","Lisa",3623
"240","Lisa",3675
"241","Lisa",3693
"242","Lisa",3691
"243","Lisa",3762
"244","Lisa",3775
"245","Lisa",3670
"246","Lisa",3708
"247","Lisa",3700
"248","Lisa",3631
"249","Lisa",3830
"250","Lisa",3771
"251","Lisa",3766
"252","Lisa",3784
"253","Lisa",3640
"254","Lisa",3699
"255","Lisa",3621
"256","Lisa",3720
"257","Lisa",3618
"258","Lisa",3713
"259","Lisa",3787
"260","Lisa",3660
"261","Lisa",3755
"262","Lisa",3696
"263","Lisa",3761
"264","Lisa",3741
"265","Lisa",3584
"266","Lisa",3754
"267","Lisa",3781
"268","Lisa",3682
"269","Lisa",3717
"270","Lisa",3819
"271","Lisa",3502
"272","Lisa",3744
"273","Lisa",3834
"274","Lisa",3792
"275","Lisa",3918
"276","Lisa",3711
"277","Lisa",3836
"278","Lisa",3659
"279","Lisa",3765
"280","Lisa",3648
"281","Lisa",3759
"282","Lisa",3749
"283","Lisa",3691
"284","Lisa",3862
"285","Lisa",3609
"286","Lisa",3582
"287","Lisa",3790
"288","Lisa",3809
"289","Lisa",3587
"290","Lisa",3827
"291","Lisa",3693
"292","Lisa",3764
"293","Lisa",3723
"294","Lisa",3701
"295","Lisa",3758
"296","Lisa",3779
"297","Lisa",3843
"298","Lisa",3661
"299","Lisa",3562
"300","Lisa",3749
"301","Lisa",3724
"302","Lisa",3707
"303","Lisa",3782
"304","Lisa",3623
"305","Lisa",3819
"306","Lisa",3787
"307","Lisa",3672
"308","Lisa",3801
"309","Lisa",3873
"310","Lisa",3761
"311","Lisa",3596
"312","Lisa",3869
"313","Lisa",3804
"314","Lisa",3890
"315","Lisa",3697
"316","Lisa",3737
"317","Lisa",3743
"318","Lisa",3967
"319","Lisa",3708
"320","Lisa",3766
"321","Lisa",3601
"322","Lisa",3786
"323","Lisa",3777
"324","Lisa",3693
"325","Lisa",3722
"326","Lisa",3689
"327","Lisa",3626
"328","Lisa",3760
"329","Lisa",3852
"330","Lisa",3768
"331","Lisa",3672
"332","Lisa",3757
"333","Lisa",3589
"334","Lisa",3804
"335","Lisa",3761
"336","Lisa",3679
"337","Lisa",3826
"338","Lisa",3811
"339","Lisa",3525
"340","Lisa",3775
"341","Lisa",3810
"342","Lisa",3804
"343","Lisa",3678
"344","Lisa",3638
"345","Lisa",3800
"346","Lisa",3719
"347","Lisa",3682
"348","Lisa",3685
"349","Lisa",3811
"350","Lisa",3703
"351","Lisa",3744
"352","Lisa",3766
"353","Lisa",3667
"354","Lisa",3783
"355","Lisa",3755
"356","Lisa",3733
"357","Lisa",3638
"358","Lisa",3732
"359","Lisa",3850
"360","Lisa",3733
"361","Lisa",3740
"362","Lisa",3656
"363","Lisa",3760
"364","Lisa",3808
"365","Lisa",3686
"366","Lisa",3610
"367","Lisa",3772
"368","Lisa",3857
"369","Lisa",3752
"370","Lisa",3643
"371","Lisa",3622
"372","Lisa",3622
"373","Lisa",3678
"374","Lisa",3690
"375","Lisa",3777
"376","Lisa",3680
"377","Lisa",3708
"378","Lisa",3774
"379","Lisa",3740
"380","Lisa",3767
"381","Lisa",3722
"382","Lisa",3814
"383","Lisa",3780
"384","Lisa",3688
"385","Lisa",3621
"386","Lisa",3652
"387","Lisa",3829
"388","Lisa",3612
"389","Lisa",3701
"390","Lisa",3766
"391","Lisa",3837
"392","Lisa",3628
"393","Lisa",3654
"394","Lisa",3788
"395","Lisa",3843
"396","Lisa",3687
"397","Lisa",3739
"398","Lisa",3894
"399","Lisa",3822
"400","Lisa",3758
"401","Lisa",3864
"402","Lisa",3688
"403","Lisa",3898
"404","Lisa",3686
"405","Lisa",3806
"406","Lisa",3812
"407","Lisa",3683
"408","Lisa",3665
"409","Lisa",3651
"410","Lisa",3932
"411","Lisa",3706
"412","Lisa",3691
"413","Lisa",3696
"414","Lisa",3786
"415","Lisa",3797
"416","Lisa",3751
"417","Lisa",3696
"418","Lisa",3860
"419","Lisa",3668
"420","Lisa",3725
"421","Lisa",3686
"422","Lisa",3935
"423","Lisa",3688
"424","Lisa",3699
"425","Lisa",3750
"426","Lisa",3708
"427","Lisa",3605
"428","Lisa",3641
"429","Lisa",3765
"430","Lisa",3794
"431","Lisa",3647
"432","Lisa",3657
"433","Lisa",3768
"434","Lisa",3814
"435","Lisa",3846
"436","Lisa",3675
"437","Lisa",3649
"438","Lisa",3774
"439","Lisa",3688
"440","Lisa",3708
"441","Lisa",3788
"442","Lisa",3748
"443","Lisa",3576
"444","Lisa",3781
"445","Lisa",3670
"446","Lisa",3664
"447","Lisa",3727
"448","Lisa",3813
"449","Lisa",3650
"450","Lisa",3731
"451","Lisa",3664
"452","Lisa",3724
"453","Lisa",3750
"454","Lisa",3682
"455","Lisa",3741
"456","Lisa",3637
"457","Lisa",3762
"458","Lisa",3704
"459","Lisa",3666
"460","Lisa",3810
"461","Lisa",3772
"462","Lisa",3854
"463","Lisa",3804
"464","Lisa",3779
"465","Lisa",3689
"466","Lisa",3665
"467","Lisa",3650
"468","Lisa",3802
"469","Lisa",3758
"470","Lisa",3760
"471","Lisa",3774
"472","Lisa",3817
"473","Lisa",3764
"474","Lisa",3658
"475","Lisa",3561
"476","Lisa",3660
"477","Lisa",3601
"478","Lisa",3756
"479","Lisa",3766
"480","Lisa",3703
"481","Lisa",3728
"482","Lisa",3886
"483","Lisa",3831
"484","Lisa",3686
"485","Lisa",3688
"486","Lisa",3769
"487","Lisa",3747
"488","Lisa",3872
"489","Lisa",3895
"490","Lisa",3619
"491","Lisa",3783
"492","Lisa",3832
"493","Lisa",3659
"494","Lisa",3807
"495","Lisa",3635
"496","Lisa",3723
"497","Lisa",3848
"498","Lisa",3868
"499","Lisa",3657
"500","Lisa",3779
"501","Lisa",3716
"502","Lisa",3740
"503","Lisa",3807
"504","Lisa",3780
"505","Lisa",3703
"506","Lisa",3710
"507","Lisa",3771
"508","Lisa",3800
"509","Lisa",3912
"510","Lisa",3665
"511","Lisa",3472
"512","Lisa",3754
"513","Lisa",3887
"514","Lisa",3736
"515","Lisa",3766
"516","Lisa",3696
"517","Lisa",3957
"518","Lisa",3563
"519","Lisa",3823
"520","Lisa",3718
"521","Lisa",3687
"522","Lisa",3778
"523","Lisa",3728
"524","Lisa",3768
"525","Lisa",3890
"526","Lisa",3707
"527","Lisa",3877
