"","ID","Road_Crossings"
"1","Luna",5153
"2","Luna",5245
"3","Luna",5006
"4","Luna",5212
"5","Luna",5187
"6","Luna",5249
"7","Luna",5182
"8","Luna",5165
"9","Luna",5183
"10","Luna",5041
"11","Luna",5168
"12","Luna",5212
"13","Luna",5157
"14","Luna",5042
"15","Luna",5123
"16","Luna",5283
"17","Luna",5152
"18","Luna",5130
"19","Luna",5157
"20","Luna",5174
"21","Luna",5114
"22","Luna",5221
"23","Luna",5209
"24","Luna",5184
"25","Luna",5106
"26","Luna",5145
"27","Luna",5187
"28","Luna",5149
"29","Luna",5139
"30","Luna",5165
"31","Luna",5335
"32","Luna",5286
"33","Luna",5256
"34","Luna",5012
"35","Luna",5063
"36","Luna",5151
"37","Luna",5233
"38","Luna",5156
"39","Luna",5115
"40","Luna",5231
"41","Luna",5122
"42","Luna",5131
"43","Luna",5253
"44","Luna",5161
"45","Luna",5130
"46","Luna",5184
"47","Luna",5355
"48","Luna",5126
"49","Luna",5063
"50","Luna",5248
"51","Luna",5080
"52","Luna",5204
"53","Luna",5309
"54","Luna",5324
"55","Luna",5149
"56","Luna",4892
"57","Luna",5172
"58","Luna",5188
"59","Luna",5043
"60","Luna",5122
"61","Luna",5265
"62","Luna",4994
"63","Luna",5142
"64","Luna",5177
"65","Luna",5124
"66","Luna",5132
"67","Luna",5221
"68","Luna",5258
"69","Luna",5088
"70","Luna",5123
"71","Luna",5243
"72","Luna",5174
"73","Luna",5178
"74","Luna",5263
"75","Luna",5235
"76","Luna",5054
"77","Luna",5219
"78","Luna",5254
"79","Luna",5193
"80","Luna",5215
"81","Luna",5199
"82","Luna",5082
"83","Luna",5099
"84","Luna",5123
"85","Luna",5157
"86","Luna",5095
"87","Luna",5257
"88","Luna",5253
"89","Luna",5047
"90","Luna",5051
"91","Luna",5276
"92","Luna",5176
"93","Luna",5185
"94","Luna",5152
"95","Luna",5070
"96","Luna",5101
"97","Luna",5145
"98","Luna",5168
"99","Luna",5248
"100","Luna",5025
"101","Luna",5154
"102","Luna",5268
"103","Luna",5155
"104","Luna",5190
"105","Luna",5270
"106","Luna",5132
"107","Luna",5066
"108","Luna",5227
"109","Luna",4915
"110","Luna",5099
"111","Luna",5196
"112","Luna",5157
"113","Luna",5237
"114","Luna",5031
"115","Luna",5057
"116","Luna",5239
"117","Luna",5228
"118","Luna",5077
"119","Luna",5204
"120","Luna",5266
"121","Luna",5175
"122","Luna",5277
"123","Luna",5030
"124","Luna",5104
"125","Luna",5201
"126","Luna",5067
"127","Luna",5141
"128","Luna",5207
"129","Luna",5220
"130","Luna",5124
"131","Luna",5167
"132","Luna",5082
"133","Luna",5250
"134","Luna",5216
"135","Luna",5110
"136","Luna",5029
"137","Luna",5129
"138","Luna",4947
"139","Luna",5403
"140","Luna",5044
"141","Luna",5218
"142","Luna",5262
"143","Luna",5046
"144","Luna",5187
"145","Luna",5184
"146","Luna",5104
"147","Luna",5233
"148","Luna",5161
"149","Luna",5075
"150","Luna",5234
"151","Luna",5108
"152","Luna",5129
"153","Luna",5100
"154","Luna",5136
"155","Luna",5104
"156","Luna",5099
"157","Luna",5060
"158","Luna",5246
"159","Luna",5144
"160","Luna",5192
"161","Luna",5140
"162","Luna",5112
"163","Luna",4991
"164","Luna",5308
"165","Luna",5000
"166","Luna",5214
"167","Luna",5136
"168","Luna",5238
"169","Luna",5271
"170","Luna",5126
"171","Luna",5072
"172","Luna",5105
"173","Luna",5188
"174","Luna",5155
"175","Luna",5039
"176","Luna",5230
"177","Luna",5065
"178","Luna",5176
"179","Luna",4994
"180","Luna",5040
"181","Luna",5226
"182","Luna",5261
"183","Luna",5066
"184","Luna",5080
"185","Luna",5139
"186","Luna",5108
"187","Luna",5072
"188","Luna",5117
"189","Luna",5263
"190","Luna",5106
"191","Luna",5050
"192","Luna",5116
"193","Luna",5192
"194","Luna",5245
"195","Luna",5221
"196","Luna",5067
"197","Luna",5157
"198","Luna",5174
"199","Luna",5047
"200","Luna",5164
"201","Luna",5331
"202","Luna",5162
"203","Luna",5311
"204","Luna",5210
"205","Luna",5115
"206","Luna",5126
"207","Luna",5116
"208","Luna",5181
"209","Luna",5134
"210","Luna",5113
"211","Luna",5076
"212","Luna",5164
"213","Luna",5183
"214","Luna",5098
"215","Luna",5310
"216","Luna",5098
"217","Luna",5026
"218","Luna",5115
"219","Luna",5062
"220","Luna",5053
"221","Luna",5143
"222","Luna",5137
"223","Luna",5199
"224","Luna",5354
"225","Luna",5124
"226","Luna",5213
"227","Luna",5140
"228","Luna",5089
"229","Luna",5129
"230","Luna",5195
"231","Luna",5277
"232","Luna",5136
"233","Luna",5167
"234","Luna",5148
"235","Luna",5195
"236","Luna",5200
"237","Luna",5160
"238","Luna",5264
"239","Luna",5189
"240","Luna",5199
"241","Luna",5030
"242","Luna",4987
"243","Luna",5149
"244","Luna",5197
"245","Luna",5011
"246","Luna",5016
"247","Luna",5085
"248","Luna",5256
"249","Luna",5072
"250","Luna",5251
"251","Luna",5183
"252","Luna",4960
"253","Luna",5064
"254","Luna",5223
"255","Luna",5105
"256","Luna",5141
"257","Luna",5095
"258","Luna",5173
"259","Luna",5229
"260","Luna",5146
"261","Luna",5136
"262","Luna",5112
"263","Luna",5129
"264","Luna",5083
"265","Luna",5180
"266","Luna",5196
"267","Luna",5065
"268","Luna",5157
"269","Luna",5055
"270","Luna",5020
"271","Luna",5020
"272","Luna",5127
"273","Luna",5004
"274","Luna",5112
"275","Luna",5225
"276","Luna",5097
"277","Luna",5101
"278","Luna",5224
"279","Luna",5289
"280","Luna",5180
"281","Luna",5147
"282","Luna",5052
"283","Luna",5177
"284","Luna",5100
"285","Luna",4921
"286","Luna",5285
"287","Luna",5001
"288","Luna",5067
"289","Luna",5134
"290","Luna",5286
"291","Luna",5185
"292","Luna",4964
"293","Luna",5215
"294","Luna",5278
"295","Luna",5097
"296","Luna",5266
"297","Luna",5212
"298","Luna",5352
"299","Luna",5258
"300","Luna",5219
"301","Luna",5085
"302","Luna",5156
"303","Luna",5076
"304","Luna",5034
"305","Luna",5151
"306","Luna",5195
"307","Luna",5172
"308","Luna",5111
"309","Luna",5067
"310","Luna",5175
"311","Luna",5292
"312","Luna",5054
"313","Luna",5051
"314","Luna",5166
"315","Luna",5219
"316","Luna",5373
"317","Luna",5189
"318","Luna",5154
"319","Luna",5239
"320","Luna",5063
"321","Luna",5258
"322","Luna",5112
"323","Luna",5118
"324","Luna",5063
"325","Luna",5135
"326","Luna",5138
"327","Luna",5030
"328","Luna",5175
"329","Luna",5325
"330","Luna",5255
"331","Luna",5229
"332","Luna",5085
"333","Luna",5083
"334","Luna",5208
"335","Luna",5128
"336","Luna",5151
"337","Luna",5038
"338","Luna",5179
"339","Luna",5232
"340","Luna",4992
"341","Luna",5335
"342","Luna",5206
"343","Luna",5143
"344","Luna",5202
"345","Luna",5133
"346","Luna",5253
"347","Luna",5356
"348","Luna",5130
"349","Luna",5227
"350","Luna",5268
"351","Luna",5185
"352","Luna",5102
"353","Luna",5138
"354","Luna",5093
"355","Luna",5190
"356","Luna",5213
"357","Luna",5258
"358","Luna",5061
"359","Luna",5189
"360","Luna",5162
"361","Luna",4939
"362","Luna",5199
"363","Luna",5271
"364","Luna",5059
"365","Luna",4962
"366","Luna",5230
"367","Luna",5145
"368","Luna",5057
"369","Luna",5307
"370","Luna",5102
"371","Luna",5147
"372","Luna",5229
"373","Luna",5240
"374","Luna",5195
"375","Luna",5230
"376","Luna",5260
"377","Luna",5123
"378","Luna",5013
"379","Luna",5176
"380","Luna",5188
"381","Luna",5267
"382","Luna",5112
"383","Luna",5114
"384","Luna",5047
"385","Luna",4968
"386","Luna",5183
"387","Luna",5139
"388","Luna",5253
"389","Luna",5127
"390","Luna",5095
"391","Luna",5150
"392","Luna",5209
"393","Luna",5284
"394","Luna",5054
"395","Luna",5118
"396","Luna",5206
"397","Luna",5178
"398","Luna",5122
"399","Luna",5033
"400","Luna",5024
"401","Luna",4996
"402","Luna",5413
"403","Luna",5147
"404","Luna",5116
"405","Luna",5079
"406","Luna",5056
"407","Luna",5084
"408","Luna",5100
"409","Luna",5170
"410","Luna",5256
"411","Luna",5127
"412","Luna",5165
"413","Luna",5194
"414","Luna",5330
"415","Luna",5092
"416","Luna",5065
"417","Luna",5072
"418","Luna",5019
"419","Luna",5199
"420","Luna",5177
"421","Luna",5195
"422","Luna",5279
"423","Luna",5163
"424","Luna",4902
"425","Luna",5280
"426","Luna",5242
"427","Luna",5265
"428","Luna",5082
"429","Luna",5155
"430","Luna",5083
"431","Luna",5179
"432","Luna",5079
"433","Luna",5118
"434","Luna",5107
"435","Luna",4987
"436","Luna",5168
"437","Luna",5182
"438","Luna",4997
"439","Luna",5175
"440","Luna",5355
"441","Luna",5023
"442","Luna",5120
"443","Luna",5081
"444","Luna",5187
"445","Luna",5244
"446","Luna",5197
"447","Luna",5170
"448","Luna",4962
"449","Luna",4983
"450","Luna",5319
"451","Luna",4959
"452","Luna",5170
"453","Luna",5100
"454","Luna",5240
"455","Luna",5269
"456","Luna",5221
"457","Luna",5180
"458","Luna",5192
"459","Luna",5160
"460","Luna",5174
"461","Luna",5346
"462","Luna",5083
"463","Luna",5068
"464","Luna",5211
"465","Luna",5094
"466","Luna",5238
"467","Luna",5287
"468","Luna",5083
"469","Luna",5126
"470","Luna",5104
"471","Luna",5285
"472","Luna",5229
"473","Luna",5211
"474","Luna",5325
"475","Luna",4872
"476","Luna",5373
"477","Luna",5113
"478","Luna",5272
"479","Luna",5078
"480","Luna",5248
"481","Luna",5257
"482","Luna",5306
"483","Luna",5142
"484","Luna",5086
"485","Luna",5102
"486","Luna",5165
"487","Luna",5123
"488","Luna",5282
"489","Luna",5217
"490","Luna",5285
"491","Luna",5238
"492","Luna",5143
"493","Luna",5166
"494","Luna",5163
"495","Luna",5147
"496","Luna",5055
"497","Luna",5122
"498","Luna",5234
"499","Luna",5200
"500","Luna",5211
"501","Luna",5247
"502","Luna",5246
"503","Luna",5109
"504","Luna",5334
"505","Luna",5019
"506","Luna",5086
"507","Luna",5127
"508","Luna",4995
"509","Luna",5222
"510","Luna",5050
"511","Luna",5098
"512","Luna",5035
"513","Luna",5273
"514","Luna",5241
"515","Luna",5128
"516","Luna",5074
"517","Luna",5173
"518","Luna",5212
"519","Luna",5066
"520","Luna",5122
"521","Luna",5174
"522","Luna",5137
"523","Luna",5132
"524","Luna",5122
"525","Luna",5205
"526","Luna",5047
"527","Luna",5224
"528","Luna",5030
"529","Luna",5157
"530","Luna",5252
"531","Luna",5046
"532","Luna",5028
"533","Luna",5313
"534","Luna",5111
"535","Luna",5202
"536","Luna",5148
"537","Luna",5276
"538","Luna",5103
"539","Luna",5388
"540","Luna",5265
"541","Luna",5197
"542","Luna",5183
"543","Luna",5164
"544","Luna",5188
"545","Luna",5198
"546","Luna",5084
"547","Luna",5171
"548","Luna",5117
"549","Luna",5048
"550","Luna",5075
"551","Luna",5239
"552","Luna",5088
"553","Luna",5060
"554","Luna",5180
"555","Luna",5151
"556","Luna",5127
"557","Luna",4945
"558","Luna",5239
"559","Luna",5213
"560","Luna",4892
"561","Luna",5208
"562","Luna",5214
"563","Luna",5054
"564","Luna",5054
"565","Luna",5123
"566","Luna",5170
"567","Luna",5193
"568","Luna",5210
"569","Luna",5248
"570","Luna",5142
"571","Luna",5147
"572","Luna",5164
"573","Luna",5128
"574","Luna",5053
"575","Luna",5129
"576","Luna",5253
"577","Luna",5086
"578","Luna",5046
"579","Luna",5314
"580","Luna",5239
"581","Luna",5208
"582","Luna",5163
"583","Luna",5170
"584","Luna",5114
"585","Luna",5154
"586","Luna",5087
"587","Luna",5223
"588","Luna",5068
"589","Luna",5239
"590","Luna",5020
"591","Luna",5106
"592","Luna",5115
"593","Luna",5118
"594","Luna",5121
"595","Luna",5309
"596","Luna",5175
"597","Luna",5030
"598","Luna",5163
"599","Luna",5118
"600","Luna",5268
"601","Luna",5128
"602","Luna",5146
"603","Luna",5171
"604","Luna",5219
"605","Luna",5015
"606","Luna",5100
"607","Luna",5053
"608","Luna",5279
"609","Luna",5070
"610","Luna",5169
"611","Luna",5238
"612","Luna",5145
"613","Luna",5213
"614","Luna",5035
"615","Luna",5155
"616","Luna",5280
"617","Luna",5207
"618","Luna",5101
"619","Luna",5153
"620","Luna",5147
"621","Luna",5150
"622","Luna",5082
"623","Luna",5207
"624","Luna",5115
"625","Luna",5134
"626","Luna",5217
"627","Luna",4933
"628","Luna",5127
"629","Luna",5171
"630","Luna",5170
"631","Luna",5236
"632","Luna",4940
"633","Luna",5026
"634","Luna",5039
"635","Luna",5060
"636","Luna",5029
