"","ID","Road_Crossings"
"1","Margaret",6677
"2","Margaret",7125
"3","Margaret",7018
"4","Margaret",6853
"5","Margaret",6939
"6","Margaret",6742
"7","Margaret",6782
"8","Margaret",6970
"9","Margaret",6872
"10","Margaret",6638
"11","Margaret",6613
"12","Margaret",6428
"13","Margaret",6839
"14","Margaret",6742
"15","Margaret",7104
"16","Margaret",6872
"17","Margaret",7115
"18","Margaret",6692
"19","Margaret",6892
"20","Margaret",6393
"21","Margaret",6806
"22","Margaret",6705
"23","Margaret",6510
"24","Margaret",7018
"25","Margaret",6665
"26","Margaret",6757
"27","Margaret",6528
"28","Margaret",6844
"29","Margaret",6523
"30","Margaret",6737
"31","Margaret",7123
"32","Margaret",6515
"33","Margaret",6346
"34","Margaret",7005
"35","Margaret",6687
"36","Margaret",6736
"37","Margaret",7016
"38","Margaret",6768
"39","Margaret",6505
"40","Margaret",6837
"41","Margaret",6774
"42","Margaret",6728
"43","Margaret",6762
"44","Margaret",7246
"45","Margaret",6438
"46","Margaret",6675
"47","Margaret",6868
"48","Margaret",6529
"49","Margaret",6981
"50","Margaret",6854
"51","Margaret",6888
"52","Margaret",7102
"53","Margaret",6671
"54","Margaret",6848
"55","Margaret",7047
"56","Margaret",6853
"57","Margaret",7013
"58","Margaret",7142
"59","Margaret",6767
"60","Margaret",6849
"61","Margaret",6810
"62","Margaret",7008
"63","Margaret",6674
"64","Margaret",6791
"65","Margaret",6672
"66","Margaret",6638
"67","Margaret",7271
"68","Margaret",6564
"69","Margaret",6739
"70","Margaret",6697
"71","Margaret",6962
"72","Margaret",6690
"73","Margaret",6795
"74","Margaret",6857
"75","Margaret",6798
"76","Margaret",7414
"77","Margaret",6821
"78","Margaret",6848
"79","Margaret",6651
"80","Margaret",6833
"81","Margaret",6990
"82","Margaret",6651
"83","Margaret",6947
"84","Margaret",6728
"85","Margaret",6628
"86","Margaret",6830
"87","Margaret",6892
"88","Margaret",7069
"89","Margaret",6788
"90","Margaret",6648
"91","Margaret",6690
"92","Margaret",7108
"93","Margaret",7141
"94","Margaret",6655
"95","Margaret",6529
"96","Margaret",7019
"97","Margaret",6851
"98","Margaret",7270
"99","Margaret",6927
"100","Margaret",6802
"101","Margaret",6621
"102","Margaret",6936
"103","Margaret",6711
"104","Margaret",7009
"105","Margaret",6744
"106","Margaret",7053
"107","Margaret",6737
"108","Margaret",6780
"109","Margaret",6464
"110","Margaret",6927
"111","Margaret",6925
"112","Margaret",6830
"113","Margaret",6642
"114","Margaret",7111
"115","Margaret",6759
"116","Margaret",6849
"117","Margaret",6596
"118","Margaret",6744
"119","Margaret",6991
"120","Margaret",6710
"121","Margaret",6611
"122","Margaret",7296
"123","Margaret",6911
"124","Margaret",7092
"125","Margaret",6679
"126","Margaret",6323
"127","Margaret",6744
"128","Margaret",7058
"129","Margaret",6906
"130","Margaret",6956
"131","Margaret",7033
"132","Margaret",7009
"133","Margaret",6697
"134","Margaret",6609
"135","Margaret",7105
"136","Margaret",6885
"137","Margaret",6723
"138","Margaret",6468
"139","Margaret",6634
"140","Margaret",7033
"141","Margaret",6528
"142","Margaret",6785
"143","Margaret",7257
"144","Margaret",6891
"145","Margaret",7211
"146","Margaret",6931
"147","Margaret",6472
"148","Margaret",6769
"149","Margaret",7044
"150","Margaret",6954
"151","Margaret",6724
"152","Margaret",6956
"153","Margaret",7230
"154","Margaret",6683
"155","Margaret",6720
"156","Margaret",6693
"157","Margaret",6549
"158","Margaret",6537
"159","Margaret",6822
"160","Margaret",6947
"161","Margaret",6864
"162","Margaret",6786
"163","Margaret",6319
"164","Margaret",6677
"165","Margaret",6871
"166","Margaret",6673
"167","Margaret",7104
"168","Margaret",6983
"169","Margaret",6722
"170","Margaret",6867
"171","Margaret",7019
"172","Margaret",6469
"173","Margaret",6687
"174","Margaret",7145
"175","Margaret",6797
"176","Margaret",6844
"177","Margaret",6719
"178","Margaret",7028
"179","Margaret",6636
"180","Margaret",6885
"181","Margaret",6303
"182","Margaret",6650
"183","Margaret",6785
"184","Margaret",7112
"185","Margaret",6860
"186","Margaret",6664
"187","Margaret",6528
"188","Margaret",6772
