"","ID","Road_Crossings"
"1","Minnie",2061
"2","Minnie",2101
"3","Minnie",2165
"4","Minnie",2182
"5","Minnie",2075
"6","Minnie",1994
"7","Minnie",2147
"8","Minnie",2060
"9","Minnie",2286
"10","Minnie",2110
"11","Minnie",1872
"12","Minnie",2007
"13","Minnie",2122
"14","Minnie",2009
"15","Minnie",2103
"16","Minnie",2010
"17","Minnie",2150
"18","Minnie",1988
"19","Minnie",2028
"20","Minnie",2085
"21","Minnie",2091
"22","Minnie",2117
"23","Minnie",2034
"24","Minnie",2079
"25","Minnie",2184
"26","Minnie",1999
"27","Minnie",2174
"28","Minnie",2216
"29","Minnie",2050
"30","Minnie",1878
"31","Minnie",2072
"32","Minnie",2164
"33","Minnie",2129
"34","Minnie",2218
"35","Minnie",2068
"36","Minnie",2201
"37","Minnie",2119
"38","Minnie",2198
"39","Minnie",2010
"40","Minnie",1981
"41","Minnie",2207
"42","Minnie",2093
"43","Minnie",2061
"44","Minnie",2114
"45","Minnie",2083
"46","Minnie",2085
"47","Minnie",2173
"48","Minnie",2069
"49","Minnie",2025
"50","Minnie",1877
"51","Minnie",2208
"52","Minnie",2219
"53","Minnie",1907
"54","Minnie",2223
"55","Minnie",2246
"56","Minnie",2062
"57","Minnie",2160
"58","Minnie",2318
"59","Minnie",2011
"60","Minnie",2070
"61","Minnie",2218
"62","Minnie",1956
"63","Minnie",2100
"64","Minnie",2201
"65","Minnie",2064
"66","Minnie",2097
"67","Minnie",2157
"68","Minnie",1954
"69","Minnie",2079
"70","Minnie",2150
"71","Minnie",2211
"72","Minnie",2033
"73","Minnie",2065
"74","Minnie",2083
"75","Minnie",2051
"76","Minnie",2056
"77","Minnie",2170
"78","Minnie",2176
"79","Minnie",2162
"80","Minnie",2275
"81","Minnie",2039
"82","Minnie",2007
"83","Minnie",1911
"84","Minnie",2196
"85","Minnie",2163
"86","Minnie",2297
"87","Minnie",1977
"88","Minnie",2196
"89","Minnie",2076
"90","Minnie",2176
"91","Minnie",2236
"92","Minnie",2141
"93","Minnie",2108
"94","Minnie",2011
"95","Minnie",2091
"96","Minnie",2174
"97","Minnie",2083
"98","Minnie",2099
"99","Minnie",2133
"100","Minnie",2061
"101","Minnie",2045
"102","Minnie",2093
"103","Minnie",2005
"104","Minnie",2060
"105","Minnie",2120
"106","Minnie",2003
"107","Minnie",1948
"108","Minnie",2334
"109","Minnie",2016
"110","Minnie",2047
"111","Minnie",2178
"112","Minnie",2043
"113","Minnie",2144
"114","Minnie",2060
"115","Minnie",2119
"116","Minnie",2292
"117","Minnie",2008
"118","Minnie",2117
"119","Minnie",2211
"120","Minnie",2089
"121","Minnie",1945
"122","Minnie",2003
"123","Minnie",1995
"124","Minnie",2142
"125","Minnie",1994
"126","Minnie",2143
"127","Minnie",2078
"128","Minnie",2215
"129","Minnie",2223
"130","Minnie",2105
"131","Minnie",2100
"132","Minnie",2052
"133","Minnie",2134
"134","Minnie",2138
"135","Minnie",2268
"136","Minnie",2173
"137","Minnie",1937
"138","Minnie",1953
"139","Minnie",2046
"140","Minnie",1950
"141","Minnie",2136
"142","Minnie",2055
"143","Minnie",2372
"144","Minnie",1988
"145","Minnie",2140
"146","Minnie",2160
"147","Minnie",2132
"148","Minnie",2148
"149","Minnie",2114
"150","Minnie",2159
"151","Minnie",1960
"152","Minnie",2125
"153","Minnie",2046
"154","Minnie",2277
"155","Minnie",1945
"156","Minnie",2197
"157","Minnie",2030
"158","Minnie",2083
"159","Minnie",2045
"160","Minnie",2095
"161","Minnie",2031
"162","Minnie",2013
"163","Minnie",1966
"164","Minnie",2071
"165","Minnie",2053
"166","Minnie",2001
"167","Minnie",2083
"168","Minnie",2189
"169","Minnie",2016
"170","Minnie",1930
"171","Minnie",2245
"172","Minnie",2267
"173","Minnie",2069
"174","Minnie",2121
"175","Minnie",2112
"176","Minnie",2216
"177","Minnie",1917
"178","Minnie",2120
"179","Minnie",2011
"180","Minnie",2226
"181","Minnie",2009
"182","Minnie",1886
"183","Minnie",2081
"184","Minnie",2016
"185","Minnie",2086
"186","Minnie",2156
"187","Minnie",2032
"188","Minnie",2237
"189","Minnie",2069
"190","Minnie",2132
"191","Minnie",2180
"192","Minnie",2241
"193","Minnie",2118
"194","Minnie",2241
"195","Minnie",2258
"196","Minnie",2069
"197","Minnie",2191
"198","Minnie",2098
"199","Minnie",2064
"200","Minnie",2145
"201","Minnie",2087
"202","Minnie",1974
"203","Minnie",2157
"204","Minnie",2096
"205","Minnie",2462
"206","Minnie",2079
"207","Minnie",2147
"208","Minnie",1879
"209","Minnie",2086
"210","Minnie",2018
"211","Minnie",2097
"212","Minnie",2009
"213","Minnie",2049
"214","Minnie",2151
"215","Minnie",2019
"216","Minnie",2101
"217","Minnie",2138
"218","Minnie",1990
"219","Minnie",1902
"220","Minnie",2125
"221","Minnie",2027
"222","Minnie",2080
"223","Minnie",1942
"224","Minnie",2086
"225","Minnie",2281
"226","Minnie",2121
"227","Minnie",2098
"228","Minnie",2138
"229","Minnie",2185
"230","Minnie",2101
"231","Minnie",2093
"232","Minnie",2138
"233","Minnie",2149
"234","Minnie",2168
"235","Minnie",2064
"236","Minnie",2115
"237","Minnie",1969
"238","Minnie",1944
"239","Minnie",2065
"240","Minnie",2029
"241","Minnie",2122
"242","Minnie",2096
"243","Minnie",1956
"244","Minnie",2158
"245","Minnie",2090
"246","Minnie",2154
"247","Minnie",2210
"248","Minnie",2166
"249","Minnie",2169
"250","Minnie",2127
"251","Minnie",2151
"252","Minnie",2085
"253","Minnie",2014
"254","Minnie",1994
"255","Minnie",2180
"256","Minnie",2142
"257","Minnie",2125
"258","Minnie",2065
"259","Minnie",2057
"260","Minnie",2235
