"","ID","Road_Crossings"
"1","Nala",1237
"2","Nala",1090
"3","Nala",1173
"4","Nala",940
"5","Nala",1032
"6","Nala",1192
"7","Nala",962
"8","Nala",727
"9","Nala",1167
"10","Nala",1163
"11","Nala",1098
"12","Nala",924
"13","Nala",1053
"14","Nala",847
"15","Nala",1082
"16","Nala",968
"17","Nala",1002
"18","Nala",1046
"19","Nala",1378
"20","Nala",1176
"21","Nala",1124
"22","Nala",1072
"23","Nala",933
"24","Nala",905
"25","Nala",916
"26","Nala",1374
"27","Nala",1114
"28","Nala",837
"29","Nala",917
"30","Nala",1132
"31","Nala",981
"32","Nala",994
"33","Nala",1140
"34","Nala",1110
"35","Nala",929
"36","Nala",934
"37","Nala",932
"38","Nala",1176
"39","Nala",1192
"40","Nala",1184
"41","Nala",934
"42","Nala",1206
"43","Nala",772
"44","Nala",769
"45","Nala",983
"46","Nala",1081
"47","Nala",854
"48","Nala",921
"49","Nala",901
"50","Nala",813
"51","Nala",1059
"52","Nala",1054
"53","Nala",984
"54","Nala",1075
"55","Nala",997
"56","Nala",781
"57","Nala",890
"58","Nala",983
"59","Nala",1042
"60","Nala",1213
"61","Nala",1008
"62","Nala",992
"63","Nala",1110
"64","Nala",1162
"65","Nala",1001
"66","Nala",1065
"67","Nala",1087
"68","Nala",1076
"69","Nala",1052
"70","Nala",870
"71","Nala",1030
"72","Nala",943
"73","Nala",853
"74","Nala",1108
"75","Nala",1044
"76","Nala",886
"77","Nala",1214
"78","Nala",898
"79","Nala",986
"80","Nala",929
"81","Nala",918
"82","Nala",846
"83","Nala",1120
"84","Nala",1236
"85","Nala",1156
"86","Nala",962
"87","Nala",1134
"88","Nala",951
"89","Nala",845
"90","Nala",1026
"91","Nala",867
"92","Nala",870
"93","Nala",1015
"94","Nala",989
"95","Nala",1268
"96","Nala",1018
"97","Nala",1010
"98","Nala",1069
"99","Nala",1171
"100","Nala",1168
"101","Nala",938
"102","Nala",1050
"103","Nala",841
"104","Nala",1011
"105","Nala",1168
"106","Nala",1042
"107","Nala",1114
"108","Nala",1144
"109","Nala",982
"110","Nala",1156
"111","Nala",1200
"112","Nala",1177
"113","Nala",926
"114","Nala",1086
"115","Nala",892
"116","Nala",1219
"117","Nala",1149
"118","Nala",986
"119","Nala",889
"120","Nala",1180
"121","Nala",1211
"122","Nala",1064
"123","Nala",1090
"124","Nala",1117
"125","Nala",1121
"126","Nala",1248
"127","Nala",883
