"","ID","Road_Crossings"
"1","Rocky",4735
"2","Rocky",4641
"3","Rocky",4656
"4","Rocky",4629
"5","Rocky",4580
"6","Rocky",4613
"7","Rocky",4724
"8","Rocky",4499
"9","Rocky",4668
"10","Rocky",4520
"11","Rocky",4648
"12","Rocky",4627
"13","Rocky",4583
"14","Rocky",4472
"15","Rocky",4647
"16","Rocky",4887
"17","Rocky",4764
"18","Rocky",4479
"19","Rocky",4702
"20","Rocky",4601
"21","Rocky",4570
"22","Rocky",4610
"23","Rocky",4866
"24","Rocky",4627
"25","Rocky",4796
"26","Rocky",4569
"27","Rocky",4685
"28","Rocky",4553
"29","Rocky",4930
"30","Rocky",4492
"31","Rocky",4462
"32","Rocky",4737
"33","Rocky",4538
"34","Rocky",4437
"35","Rocky",4824
"36","Rocky",4698
"37","Rocky",4582
"38","Rocky",4729
"39","Rocky",4413
"40","Rocky",4576
"41","Rocky",4567
"42","Rocky",4310
"43","Rocky",4705
"44","Rocky",4697
"45","Rocky",4403
"46","Rocky",4432
"47","Rocky",4573
"48","Rocky",4446
"49","Rocky",4552
"50","Rocky",4458
"51","Rocky",4493
"52","Rocky",4770
"53","Rocky",4622
"54","Rocky",4591
"55","Rocky",4696
"56","Rocky",4263
"57","Rocky",4856
"58","Rocky",4557
"59","Rocky",4530
"60","Rocky",4783
"61","Rocky",4605
"62","Rocky",4749
"63","Rocky",4637
"64","Rocky",4677
"65","Rocky",4677
"66","Rocky",4542
"67","Rocky",4877
"68","Rocky",4598
"69","Rocky",4503
"70","Rocky",4497
"71","Rocky",4611
"72","Rocky",4697
"73","Rocky",4488
"74","Rocky",4634
"75","Rocky",4752
"76","Rocky",4423
"77","Rocky",4469
"78","Rocky",4470
"79","Rocky",4609
"80","Rocky",4422
"81","Rocky",4635
"82","Rocky",4297
"83","Rocky",4590
"84","Rocky",4789
"85","Rocky",4495
"86","Rocky",4391
"87","Rocky",4560
"88","Rocky",4498
"89","Rocky",4622
"90","Rocky",4665
"91","Rocky",4472
"92","Rocky",4790
"93","Rocky",4696
"94","Rocky",4481
"95","Rocky",4597
"96","Rocky",4715
"97","Rocky",4356
"98","Rocky",4394
"99","Rocky",4684
"100","Rocky",4618
"101","Rocky",4586
"102","Rocky",4650
"103","Rocky",4829
"104","Rocky",4612
"105","Rocky",4507
"106","Rocky",4518
"107","Rocky",4632
"108","Rocky",4809
"109","Rocky",4592
"110","Rocky",4451
"111","Rocky",4574
"112","Rocky",4495
"113","Rocky",4836
"114","Rocky",4604
"115","Rocky",4655
"116","Rocky",4869
"117","Rocky",4566
"118","Rocky",4525
"119","Rocky",4843
"120","Rocky",4629
"121","Rocky",4526
"122","Rocky",4578
"123","Rocky",4644
"124","Rocky",4670
"125","Rocky",4409
"126","Rocky",4417
"127","Rocky",4610
"128","Rocky",4690
"129","Rocky",4404
"130","Rocky",4589
"131","Rocky",4772
"132","Rocky",4500
"133","Rocky",4734
"134","Rocky",4497
"135","Rocky",4661
"136","Rocky",4684
"137","Rocky",4844
"138","Rocky",4445
"139","Rocky",4657
"140","Rocky",4430
"141","Rocky",4470
