"","ID","Road_Crossings"
"1","Sadie",2864
"2","Sadie",3205
"3","Sadie",3243
"4","Sadie",3122
"5","Sadie",3285
"6","Sadie",2936
"7","Sadie",2979
"8","Sadie",3200
"9","Sadie",3240
"10","Sadie",3197
"11","Sadie",3085
"12","Sadie",3052
"13","Sadie",3038
"14","Sadie",2994
"15","Sadie",3156
"16","Sadie",2899
"17","Sadie",3115
"18","Sadie",3067
"19","Sadie",3150
"20","Sadie",3061
"21","Sadie",3034
"22","Sadie",3156
"23","Sadie",3032
"24","Sadie",2998
"25","Sadie",2926
"26","Sadie",2870
"27","Sadie",3095
"28","Sadie",3275
"29","Sadie",2991
"30","Sadie",3047
"31","Sadie",3037
"32","Sadie",3128
"33","Sadie",3082
"34","Sadie",3112
"35","Sadie",3112
"36","Sadie",3064
"37","Sadie",3227
"38","Sadie",3110
"39","Sadie",3161
"40","Sadie",3174
"41","Sadie",2996
"42","Sadie",3207
"43","Sadie",3018
"44","Sadie",3191
"45","Sadie",3117
"46","Sadie",3127
"47","Sadie",3016
"48","Sadie",3101
"49","Sadie",2993
"50","Sadie",3164
"51","Sadie",2993
"52","Sadie",3074
"53","Sadie",3183
"54","Sadie",3305
"55","Sadie",2849
"56","Sadie",3150
"57","Sadie",3190
"58","Sadie",3052
"59","Sadie",3224
"60","Sadie",2971
"61","Sadie",3100
"62","Sadie",3064
"63","Sadie",3042
"64","Sadie",3147
"65","Sadie",3252
"66","Sadie",3106
"67","Sadie",2963
"68","Sadie",3115
"69","Sadie",3067
"70","Sadie",3222
"71","Sadie",3076
"72","Sadie",2923
"73","Sadie",2924
"74","Sadie",3032
"75","Sadie",3033
"76","Sadie",3153
"77","Sadie",3019
"78","Sadie",2931
"79","Sadie",3098
"80","Sadie",3077
"81","Sadie",3100
"82","Sadie",3120
"83","Sadie",3114
"84","Sadie",3319
"85","Sadie",3256
"86","Sadie",3198
"87","Sadie",3137
"88","Sadie",3183
"89","Sadie",3148
"90","Sadie",3011
"91","Sadie",2956
"92","Sadie",3046
"93","Sadie",3173
"94","Sadie",3203
"95","Sadie",3177
"96","Sadie",3196
"97","Sadie",2989
"98","Sadie",3059
"99","Sadie",3279
"100","Sadie",3006
"101","Sadie",2945
"102","Sadie",3042
"103","Sadie",2947
"104","Sadie",2996
"105","Sadie",3021
"106","Sadie",3093
"107","Sadie",3168
"108","Sadie",3112
"109","Sadie",3111
"110","Sadie",3238
"111","Sadie",3270
"112","Sadie",3046
"113","Sadie",2971
"114","Sadie",3050
"115","Sadie",3110
"116","Sadie",3159
"117","Sadie",3169
"118","Sadie",2996
"119","Sadie",3017
"120","Sadie",2989
"121","Sadie",3161
"122","Sadie",3073
"123","Sadie",3137
"124","Sadie",3152
"125","Sadie",3086
"126","Sadie",3245
"127","Sadie",3136
"128","Sadie",3186
"129","Sadie",3198
"130","Sadie",3284
"131","Sadie",3170
"132","Sadie",2946
"133","Sadie",3014
"134","Sadie",3042
