"","ID","Road_Crossings"
"1","Shannan",2257
"2","Shannan",2410
"3","Shannan",2371
"4","Shannan",2434
"5","Shannan",2336
"6","Shannan",2507
"7","Shannan",2519
"8","Shannan",2461
"9","Shannan",2385
"10","Shannan",2661
"11","Shannan",2388
"12","Shannan",2263
"13","Shannan",2411
"14","Shannan",2274
"15","Shannan",2505
"16","Shannan",2418
"17","Shannan",2430
"18","Shannan",2525
"19","Shannan",2263
"20","Shannan",2550
"21","Shannan",2481
"22","Shannan",2271
"23","Shannan",2400
"24","Shannan",2586
"25","Shannan",2438
"26","Shannan",2466
"27","Shannan",2512
"28","Shannan",2377
"29","Shannan",2363
"30","Shannan",2457
"31","Shannan",2401
"32","Shannan",2306
"33","Shannan",2406
"34","Shannan",2533
"35","Shannan",2364
"36","Shannan",2301
"37","Shannan",2473
"38","Shannan",2446
"39","Shannan",2366
"40","Shannan",2344
"41","Shannan",2309
"42","Shannan",2396
"43","Shannan",2586
"44","Shannan",2560
"45","Shannan",2436
"46","Shannan",2289
"47","Shannan",2218
"48","Shannan",2518
"49","Shannan",2275
"50","Shannan",2328
"51","Shannan",2503
"52","Shannan",2355
"53","Shannan",2395
"54","Shannan",2255
"55","Shannan",2352
"56","Shannan",2432
"57","Shannan",2328
"58","Shannan",2508
"59","Shannan",2601
"60","Shannan",2330
"61","Shannan",2398
"62","Shannan",2644
"63","Shannan",2612
"64","Shannan",2687
"65","Shannan",2658
"66","Shannan",2546
"67","Shannan",2477
"68","Shannan",2496
"69","Shannan",2313
"70","Shannan",2516
"71","Shannan",2307
"72","Shannan",2476
"73","Shannan",2417
"74","Shannan",2327
"75","Shannan",2351
"76","Shannan",2584
"77","Shannan",2294
"78","Shannan",2404
"79","Shannan",2502
"80","Shannan",2560
"81","Shannan",2499
"82","Shannan",2385
"83","Shannan",2585
"84","Shannan",2366
"85","Shannan",2537
"86","Shannan",2681
"87","Shannan",2397
"88","Shannan",2395
"89","Shannan",2445
"90","Shannan",2510
"91","Shannan",2552
"92","Shannan",2428
"93","Shannan",2215
"94","Shannan",2345
"95","Shannan",2433
"96","Shannan",2454
"97","Shannan",2540
"98","Shannan",2487
"99","Shannan",2421
"100","Shannan",2547
"101","Shannan",2565
"102","Shannan",2375
"103","Shannan",2565
"104","Shannan",2451
"105","Shannan",2421
"106","Shannan",2572
"107","Shannan",2522
"108","Shannan",2395
"109","Shannan",2490
"110","Shannan",2347
"111","Shannan",2543
"112","Shannan",2388
"113","Shannan",2332
"114","Shannan",2549
"115","Shannan",2624
"116","Shannan",2355
"117","Shannan",2447
"118","Shannan",2392
"119","Shannan",2315
"120","Shannan",2468
"121","Shannan",2632
"122","Shannan",2366
"123","Shannan",2357
"124","Shannan",2432
"125","Shannan",2307
"126","Shannan",2631
"127","Shannan",2401
"128","Shannan",2592
"129","Shannan",2224
"130","Shannan",2492
"131","Shannan",2427
"132","Shannan",2362
"133","Shannan",2533
"134","Shannan",2415
"135","Shannan",2292
"136","Shannan",2472
"137","Shannan",2469
"138","Shannan",2582
"139","Shannan",2475
"140","Shannan",2412
"141","Shannan",2385
"142","Shannan",2525
"143","Shannan",2486
"144","Shannan",2377
"145","Shannan",2516
"146","Shannan",2352
"147","Shannan",2347
"148","Shannan",2414
"149","Shannan",2494
"150","Shannan",2336
"151","Shannan",2519
"152","Shannan",2480
"153","Shannan",2448
"154","Shannan",2323
"155","Shannan",2454
"156","Shannan",2389
"157","Shannan",2392
"158","Shannan",2491
"159","Shannan",2426
"160","Shannan",2504
"161","Shannan",2384
"162","Shannan",2303
"163","Shannan",2428
"164","Shannan",2434
"165","Shannan",2490
"166","Shannan",2214
"167","Shannan",2367
"168","Shannan",2691
"169","Shannan",2545
"170","Shannan",2403
"171","Shannan",2431
"172","Shannan",2469
"173","Shannan",2386
"174","Shannan",2452
"175","Shannan",2457
"176","Shannan",2487
"177","Shannan",2662
"178","Shannan",2494
"179","Shannan",2531
"180","Shannan",2448
"181","Shannan",2488
"182","Shannan",2506
"183","Shannan",2525
"184","Shannan",2521
"185","Shannan",2422
"186","Shannan",2395
"187","Shannan",2545
"188","Shannan",2315
"189","Shannan",2419
"190","Shannan",2528
"191","Shannan",2234
"192","Shannan",2308
"193","Shannan",2448
"194","Shannan",2261
"195","Shannan",2215
"196","Shannan",2522
"197","Shannan",2452
"198","Shannan",2504
"199","Shannan",2636
"200","Shannan",2367
"201","Shannan",2455
"202","Shannan",2491
"203","Shannan",2586
"204","Shannan",2439
"205","Shannan",2710
"206","Shannan",2359
"207","Shannan",2469
"208","Shannan",2398
"209","Shannan",2321
"210","Shannan",2348
"211","Shannan",2454
"212","Shannan",2453
"213","Shannan",2525
"214","Shannan",2445
"215","Shannan",2534
"216","Shannan",2451
"217","Shannan",2488
"218","Shannan",2390
"219","Shannan",2508
"220","Shannan",2491
"221","Shannan",2206
"222","Shannan",2469
"223","Shannan",2357
"224","Shannan",2486
"225","Shannan",2376
"226","Shannan",2369
"227","Shannan",2288
"228","Shannan",2565
"229","Shannan",2276
