"","ID","Road_Crossings"
"1","Sweetwater",2272
"2","Sweetwater",2228
"3","Sweetwater",2374
"4","Sweetwater",2309
"5","Sweetwater",2256
"6","Sweetwater",2222
"7","Sweetwater",2253
"8","Sweetwater",2204
"9","Sweetwater",2424
"10","Sweetwater",2369
"11","Sweetwater",2302
"12","Sweetwater",2185
"13","Sweetwater",2359
"14","Sweetwater",2308
"15","Sweetwater",2346
"16","Sweetwater",2348
"17","Sweetwater",2307
"18","Sweetwater",2212
"19","Sweetwater",2128
"20","Sweetwater",2228
"21","Sweetwater",2202
"22","Sweetwater",2247
"23","Sweetwater",2121
"24","Sweetwater",2244
"25","Sweetwater",2331
"26","Sweetwater",2219
"27","Sweetwater",2376
"28","Sweetwater",2346
"29","Sweetwater",2231
"30","Sweetwater",2256
"31","Sweetwater",2310
"32","Sweetwater",2222
"33","Sweetwater",2274
"34","Sweetwater",2182
"35","Sweetwater",2424
"36","Sweetwater",2069
"37","Sweetwater",2159
"38","Sweetwater",2236
"39","Sweetwater",2320
"40","Sweetwater",2344
"41","Sweetwater",2299
"42","Sweetwater",2159
"43","Sweetwater",2280
"44","Sweetwater",2343
"45","Sweetwater",2407
"46","Sweetwater",2196
"47","Sweetwater",2303
"48","Sweetwater",2130
"49","Sweetwater",2209
"50","Sweetwater",2237
"51","Sweetwater",2317
"52","Sweetwater",2165
"53","Sweetwater",2312
"54","Sweetwater",2386
"55","Sweetwater",2258
"56","Sweetwater",2282
"57","Sweetwater",2227
"58","Sweetwater",2327
"59","Sweetwater",2219
"60","Sweetwater",2200
"61","Sweetwater",2281
"62","Sweetwater",2330
"63","Sweetwater",2311
"64","Sweetwater",2246
"65","Sweetwater",2229
"66","Sweetwater",2392
"67","Sweetwater",2139
"68","Sweetwater",2246
"69","Sweetwater",2180
"70","Sweetwater",2326
"71","Sweetwater",2293
"72","Sweetwater",2163
"73","Sweetwater",2288
"74","Sweetwater",2236
"75","Sweetwater",2202
"76","Sweetwater",2244
"77","Sweetwater",2329
"78","Sweetwater",2369
"79","Sweetwater",2186
"80","Sweetwater",2306
"81","Sweetwater",2207
"82","Sweetwater",2214
"83","Sweetwater",2336
"84","Sweetwater",2371
"85","Sweetwater",2283
"86","Sweetwater",2289
"87","Sweetwater",2406
"88","Sweetwater",2226
"89","Sweetwater",2327
"90","Sweetwater",2396
"91","Sweetwater",2214
"92","Sweetwater",2145
"93","Sweetwater",2222
"94","Sweetwater",2184
"95","Sweetwater",2276
"96","Sweetwater",2220
"97","Sweetwater",2344
"98","Sweetwater",2245
"99","Sweetwater",2261
"100","Sweetwater",2187
"101","Sweetwater",2149
"102","Sweetwater",2295
"103","Sweetwater",2220
"104","Sweetwater",2346
"105","Sweetwater",2321
"106","Sweetwater",2323
"107","Sweetwater",2450
"108","Sweetwater",2224
"109","Sweetwater",2315
"110","Sweetwater",2226
"111","Sweetwater",2329
"112","Sweetwater",2245
"113","Sweetwater",2194
"114","Sweetwater",2253
"115","Sweetwater",2204
"116","Sweetwater",2221
"117","Sweetwater",2285
"118","Sweetwater",2262
"119","Sweetwater",2248
"120","Sweetwater",2250
"121","Sweetwater",2211
"122","Sweetwater",2162
"123","Sweetwater",2357
"124","Sweetwater",2278
"125","Sweetwater",2278
"126","Sweetwater",2367
"127","Sweetwater",2256
"128","Sweetwater",2268
"129","Sweetwater",2280
"130","Sweetwater",2203
"131","Sweetwater",2239
"132","Sweetwater",2226
"133","Sweetwater",2315
"134","Sweetwater",2234
"135","Sweetwater",2301
"136","Sweetwater",2308
"137","Sweetwater",2290
"138","Sweetwater",2295
"139","Sweetwater",2223
"140","Sweetwater",2311
"141","Sweetwater",2340
"142","Sweetwater",2232
"143","Sweetwater",2300
"144","Sweetwater",2112
"145","Sweetwater",2300
"146","Sweetwater",2315
"147","Sweetwater",2279
"148","Sweetwater",2203
"149","Sweetwater",2278
"150","Sweetwater",2369
"151","Sweetwater",2212
"152","Sweetwater",2175
"153","Sweetwater",2225
"154","Sweetwater",2249
"155","Sweetwater",2266
"156","Sweetwater",2175
"157","Sweetwater",2310
"158","Sweetwater",2289
"159","Sweetwater",2232
"160","Sweetwater",2305
"161","Sweetwater",2182
"162","Sweetwater",2273
"163","Sweetwater",2326
"164","Sweetwater",2347
"165","Sweetwater",2270
"166","Sweetwater",2102
"167","Sweetwater",2189
"168","Sweetwater",2271
"169","Sweetwater",2253
"170","Sweetwater",2292
"171","Sweetwater",2177
"172","Sweetwater",2165
"173","Sweetwater",2141
"174","Sweetwater",2423
"175","Sweetwater",2255
"176","Sweetwater",2157
"177","Sweetwater",2230
"178","Sweetwater",2375
"179","Sweetwater",2108
"180","Sweetwater",2224
"181","Sweetwater",2213
"182","Sweetwater",2331
"183","Sweetwater",2261
"184","Sweetwater",2332
"185","Sweetwater",2372
"186","Sweetwater",2189
"187","Sweetwater",2440
"188","Sweetwater",2326
"189","Sweetwater",2299
"190","Sweetwater",2395
"191","Sweetwater",2245
"192","Sweetwater",2343
"193","Sweetwater",2248
"194","Sweetwater",2293
