"","ID","Road_Crossings"
"1","Teddy",4534
"2","Teddy",4604
"3","Teddy",4684
"4","Teddy",4467
"5","Teddy",4642
"6","Teddy",4555
"7","Teddy",4703
"8","Teddy",4781
"9","Teddy",4733
"10","Teddy",4648
"11","Teddy",4750
"12","Teddy",4847
"13","Teddy",4630
"14","Teddy",5190
"15","Teddy",4459
"16","Teddy",4849
"17","Teddy",4594
"18","Teddy",4604
"19","Teddy",4837
"20","Teddy",4740
"21","Teddy",4800
"22","Teddy",4597
"23","Teddy",4873
"24","Teddy",4883
"25","Teddy",4601
"26","Teddy",4428
"27","Teddy",4507
"28","Teddy",4670
"29","Teddy",5100
"30","Teddy",4655
"31","Teddy",4859
"32","Teddy",4709
"33","Teddy",4740
"34","Teddy",4759
"35","Teddy",4653
"36","Teddy",4714
"37","Teddy",5015
"38","Teddy",4795
"39","Teddy",4645
"40","Teddy",4662
"41","Teddy",4344
"42","Teddy",4427
"43","Teddy",4803
"44","Teddy",4699
"45","Teddy",4679
"46","Teddy",4687
"47","Teddy",4833
"48","Teddy",5127
"49","Teddy",4456
"50","Teddy",4646
"51","Teddy",4798
"52","Teddy",4907
"53","Teddy",4562
"54","Teddy",4608
"55","Teddy",4718
"56","Teddy",4720
"57","Teddy",4728
"58","Teddy",4908
"59","Teddy",4537
"60","Teddy",4731
"61","Teddy",4906
"62","Teddy",4691
"63","Teddy",4647
"64","Teddy",4575
"65","Teddy",5062
"66","Teddy",4650
"67","Teddy",4958
"68","Teddy",4615
"69","Teddy",4828
"70","Teddy",4884
"71","Teddy",4884
"72","Teddy",4656
"73","Teddy",4730
"74","Teddy",4699
"75","Teddy",4525
"76","Teddy",4710
"77","Teddy",4830
"78","Teddy",4756
"79","Teddy",4777
"80","Teddy",4793
"81","Teddy",4688
"82","Teddy",4630
"83","Teddy",4603
"84","Teddy",4801
"85","Teddy",4657
"86","Teddy",4719
"87","Teddy",4939
"88","Teddy",4578
"89","Teddy",4752
"90","Teddy",4288
"91","Teddy",4814
"92","Teddy",4687
"93","Teddy",4641
"94","Teddy",4719
"95","Teddy",4901
"96","Teddy",4586
"97","Teddy",4789
"98","Teddy",4819
"99","Teddy",4697
"100","Teddy",4921
"101","Teddy",4732
"102","Teddy",4470
"103","Teddy",4762
"104","Teddy",4764
"105","Teddy",4815
"106","Teddy",4552
"107","Teddy",4280
"108","Teddy",4870
"109","Teddy",4817
"110","Teddy",4815
"111","Teddy",4564
"112","Teddy",4892
"113","Teddy",4748
"114","Teddy",4720
"115","Teddy",4707
"116","Teddy",4693
"117","Teddy",4595
"118","Teddy",4915
"119","Teddy",4736
"120","Teddy",4830
"121","Teddy",4982
"122","Teddy",4652
"123","Teddy",4925
"124","Teddy",4470
"125","Teddy",4786
"126","Teddy",5201
"127","Teddy",4677
"128","Teddy",4798
"129","Teddy",4680
"130","Teddy",4647
"131","Teddy",4771
"132","Teddy",4450
"133","Teddy",5167
"134","Teddy",4752
"135","Teddy",4419
"136","Teddy",4768
"137","Teddy",4570
"138","Teddy",4760
"139","Teddy",4743
"140","Teddy",4913
"141","Teddy",4812
"142","Teddy",4705
"143","Teddy",4761
"144","Teddy",4722
"145","Teddy",4685
"146","Teddy",4898
"147","Teddy",4735
"148","Teddy",4752
"149","Teddy",4402
"150","Teddy",5023
"151","Teddy",4611
"152","Teddy",4806
"153","Teddy",4763
"154","Teddy",4902
"155","Teddy",4537
"156","Teddy",4669
"157","Teddy",4922
"158","Teddy",4393
"159","Teddy",4717
"160","Teddy",4627
"161","Teddy",4610
"162","Teddy",4756
"163","Teddy",4593
"164","Teddy",4634
"165","Teddy",4593
"166","Teddy",4668
"167","Teddy",4630
"168","Teddy",4359
"169","Teddy",4502
"170","Teddy",4425
"171","Teddy",4975
"172","Teddy",4781
"173","Teddy",4746
"174","Teddy",4805
"175","Teddy",5130
"176","Teddy",4684
"177","Teddy",4500
"178","Teddy",4644
"179","Teddy",4776
"180","Teddy",4931
"181","Teddy",4785
"182","Teddy",4602
"183","Teddy",4717
"184","Teddy",4603
"185","Teddy",4654
"186","Teddy",4883
"187","Teddy",4666
"188","Teddy",4491
"189","Teddy",4851
"190","Teddy",4933
"191","Teddy",4487
"192","Teddy",4741
"193","Teddy",4464
"194","Teddy",5021
"195","Teddy",4494
"196","Teddy",4786
"197","Teddy",4675
"198","Teddy",4567
"199","Teddy",4682
"200","Teddy",4901
"201","Teddy",4667
"202","Teddy",4488
"203","Teddy",4947
"204","Teddy",4689
"205","Teddy",4853
"206","Teddy",4510
"207","Teddy",5079
"208","Teddy",4525
"209","Teddy",4709
"210","Teddy",4626
"211","Teddy",4616
"212","Teddy",4792
"213","Teddy",4801
"214","Teddy",4836
"215","Teddy",4717
"216","Teddy",4646
"217","Teddy",4514
"218","Teddy",4572
"219","Teddy",4605
"220","Teddy",4604
"221","Teddy",4609
"222","Teddy",4883
"223","Teddy",4812
"224","Teddy",4594
"225","Teddy",4942
"226","Teddy",4926
"227","Teddy",4416
"228","Teddy",4981
"229","Teddy",4453
"230","Teddy",4643
"231","Teddy",4659
"232","Teddy",4473
"233","Teddy",4556
"234","Teddy",4671
"235","Teddy",4572
"236","Teddy",4363
"237","Teddy",4782
"238","Teddy",4611
"239","Teddy",4684
"240","Teddy",4766
"241","Teddy",4884
"242","Teddy",4798
"243","Teddy",4653
"244","Teddy",4571
"245","Teddy",4722
"246","Teddy",4798
"247","Teddy",4642
"248","Teddy",4579
"249","Teddy",4567
"250","Teddy",4955
"251","Teddy",4905
"252","Teddy",4961
"253","Teddy",4523
"254","Teddy",4862
"255","Teddy",4690
"256","Teddy",4463
"257","Teddy",4757
"258","Teddy",4522
"259","Teddy",4930
"260","Teddy",4616
"261","Teddy",4780
"262","Teddy",4502
"263","Teddy",4494
"264","Teddy",4934
"265","Teddy",4905
"266","Teddy",4791
"267","Teddy",4621
"268","Teddy",4838
"269","Teddy",4736
"270","Teddy",4687
"271","Teddy",4917
"272","Teddy",4836
"273","Teddy",4872
"274","Teddy",4873
"275","Teddy",5035
"276","Teddy",4858
"277","Teddy",4769
"278","Teddy",4625
"279","Teddy",4627
"280","Teddy",4943
"281","Teddy",4839
"282","Teddy",4889
"283","Teddy",4895
"284","Teddy",4833
"285","Teddy",4308
"286","Teddy",4435
"287","Teddy",4724
"288","Teddy",4744
"289","Teddy",4721
"290","Teddy",4595
"291","Teddy",4510
"292","Teddy",4534
"293","Teddy",4473
"294","Teddy",5163
"295","Teddy",4436
"296","Teddy",4847
"297","Teddy",4552
"298","Teddy",4816
"299","Teddy",4992
"300","Teddy",4912
"301","Teddy",5209
"302","Teddy",4513
"303","Teddy",4823
"304","Teddy",5007
"305","Teddy",4954
"306","Teddy",5079
"307","Teddy",4903
"308","Teddy",4468
"309","Teddy",4365
"310","Teddy",4682
"311","Teddy",4665
"312","Teddy",5009
"313","Teddy",4666
"314","Teddy",4914
"315","Teddy",4439
"316","Teddy",4864
"317","Teddy",4748
"318","Teddy",4836
"319","Teddy",4543
"320","Teddy",4720
"321","Teddy",4995
"322","Teddy",4651
"323","Teddy",4739
"324","Teddy",4710
"325","Teddy",4901
"326","Teddy",4815
"327","Teddy",4606
"328","Teddy",4924
"329","Teddy",4648
"330","Teddy",4732
"331","Teddy",4536
"332","Teddy",4708
"333","Teddy",4720
"334","Teddy",4752
"335","Teddy",4703
"336","Teddy",4478
"337","Teddy",4578
"338","Teddy",4461
"339","Teddy",4861
"340","Teddy",5008
"341","Teddy",5075
"342","Teddy",4517
"343","Teddy",4706
"344","Teddy",4423
"345","Teddy",5048
"346","Teddy",4709
"347","Teddy",4991
"348","Teddy",4600
"349","Teddy",4518
"350","Teddy",4894
"351","Teddy",4635
"352","Teddy",4563
"353","Teddy",4617
"354","Teddy",4648
"355","Teddy",4851
"356","Teddy",4640
"357","Teddy",4588
"358","Teddy",4886
"359","Teddy",4742
"360","Teddy",4899
"361","Teddy",5106
"362","Teddy",4870
"363","Teddy",4456
"364","Teddy",4542
"365","Teddy",4787
"366","Teddy",4695
"367","Teddy",4617
"368","Teddy",4696
"369","Teddy",4796
"370","Teddy",4886
"371","Teddy",4665
"372","Teddy",4715
"373","Teddy",4703
"374","Teddy",4877
"375","Teddy",4467
"376","Teddy",4562
"377","Teddy",4892
"378","Teddy",4852
"379","Teddy",4921
"380","Teddy",4832
"381","Teddy",4705
"382","Teddy",4769
"383","Teddy",4743
"384","Teddy",4953
"385","Teddy",4630
"386","Teddy",4704
"387","Teddy",4633
"388","Teddy",4953
"389","Teddy",4601
"390","Teddy",4558
"391","Teddy",4856
"392","Teddy",4965
"393","Teddy",4839
"394","Teddy",4754
"395","Teddy",4580
"396","Teddy",4792
"397","Teddy",4819
"398","Teddy",4452
"399","Teddy",4527
"400","Teddy",4940
"401","Teddy",4507
"402","Teddy",4937
"403","Teddy",4700
"404","Teddy",4730
"405","Teddy",4714
"406","Teddy",4644
"407","Teddy",4416
"408","Teddy",4943
"409","Teddy",4672
"410","Teddy",4666
"411","Teddy",4694
"412","Teddy",4763
"413","Teddy",4788
"414","Teddy",4702
"415","Teddy",4972
"416","Teddy",4686
"417","Teddy",4882
"418","Teddy",4974
"419","Teddy",4829
"420","Teddy",4296
"421","Teddy",4503
"422","Teddy",4744
"423","Teddy",5116
"424","Teddy",5068
"425","Teddy",4853
"426","Teddy",4762
"427","Teddy",5140
"428","Teddy",4697
"429","Teddy",4524
"430","Teddy",4503
"431","Teddy",4679
"432","Teddy",4345
"433","Teddy",4591
"434","Teddy",4614
"435","Teddy",4590
"436","Teddy",4623
"437","Teddy",5129
"438","Teddy",4902
"439","Teddy",4925
"440","Teddy",4754
"441","Teddy",4770
"442","Teddy",4593
"443","Teddy",4522
"444","Teddy",4813
"445","Teddy",4821
"446","Teddy",4780
"447","Teddy",4797
"448","Teddy",4782
"449","Teddy",4727
"450","Teddy",4384
"451","Teddy",4811
"452","Teddy",4786
"453","Teddy",4656
"454","Teddy",4688
"455","Teddy",4535
"456","Teddy",4968
"457","Teddy",4654
"458","Teddy",4956
"459","Teddy",4676
"460","Teddy",4758
"461","Teddy",4827
"462","Teddy",4890
"463","Teddy",4871
"464","Teddy",4949
"465","Teddy",4499
"466","Teddy",4757
"467","Teddy",4792
"468","Teddy",4763
"469","Teddy",4703
"470","Teddy",4761
"471","Teddy",5007
"472","Teddy",4899
"473","Teddy",4743
"474","Teddy",4714
"475","Teddy",4619
"476","Teddy",4524
