"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Avery",880,1061.28138897469,25,6177,1420.35726034,0
"2","Avery",905,1023.70956342281,22,6253,1399.01096312909,0
"3","Avery",898,1020.03646538646,18,6193,1408.17629922809,0
"4","Avery",882,1082.99201120354,13,6220,1446.58121962421,0
"5","Avery",882,1046.73292357082,22,6448,1448.11305052414,0
"6","Avery",911,1042.38114559816,25,6170,1414.63522472205,0
"7","Avery",884,1075.64733930646,14,6323,1453.05982052231,0
"8","Avery",845,1065.84218646086,22,6451,1435.5730714102,0
"9","Avery",881,1031.8787833352,26,6083,1419.43685091908,0
"10","Avery",910,985.258139122419,24,6220,1421.35459503008,0
"11","Avery",814,1002.72156314812,26,6477,1429.70035018929,0
"12","Avery",887,1076.00173480362,20,6347,1420.25487943531,0
"13","Avery",918,1005.7174814943,21,6222,1425.37206307293,0
"14","Avery",861,1058.68760027516,24,6593,1468.73470596232,0
"15","Avery",905,1099.90249846222,22,6434,1431.08774433999,0
"16","Avery",893,993.829232099259,31,6259,1394.27554260973,0
"17","Avery",907,1059.25482412714,18,6036,1399.15214605343,0
"18","Avery",809,1034.98462252909,13,6371,1436.45067303129,0
"19","Avery",921,1073.5192462126,14,6416,1443.44217972234,0
"20","Avery",913,1046.41685307127,20,6370,1427.67277142094,0
"21","Avery",841,1015.09849969261,25,6321,1441.03522768433,0
"22","Avery",882,1034.05859144396,16,6626,1438.66097987519,0
"23","Avery",834,1025.74345101695,21,6431,1441.87894110621,0
"24","Avery",877,1018.55844109103,21,6598,1435.35339771097,0
"25","Avery",907,1059.0251681381,16,6320,1423.92629847345,0
"26","Avery",889,1107.99406976586,13,6354,1448.01023384736,0
"27","Avery",916,1111.15602479387,19,6291,1438.96569745931,0
"28","Avery",882,1057.80574939202,24,6203,1428.21874803266,0
"29","Avery",876,1017.87409213396,17,6291,1428.65816741857,0
"30","Avery",944,1042.26065209876,20,6148,1422.92164205014,0
"31","Avery",858,1101.99668007285,15,6240,1450.11988335702,0
"32","Avery",847,1047.52922197337,17,6527,1434.29001752196,0
"33","Avery",935,1049.46635726676,23,6116,1418.56844171592,0
"34","Avery",854,1003.49906667441,23,6235,1418.24575239691,0
"35","Avery",861,1034.53867303318,16,6398,1415.692972481,0
"36","Avery",859,1074.97196019138,18,6411,1440.89311813046,2
