"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","BC_#27_Wyatt",4380,673.642657024507,100,6213,1166.31077649312,6
"2","BC_#27_Wyatt",4029,697.368050483529,94,6720,1148.12755285966,7
"3","BC_#27_Wyatt",4381,669.10093852641,123,6327,1171.08448148855,10
"4","BC_#27_Wyatt",4139,715.148780522894,103,6597,1180.02152243022,6
"5","BC_#27_Wyatt",4370,685.481195784816,119,6744,1161.65534960749,6
"6","BC_#27_Wyatt",4351,650.677945549422,129,6600,1152.68061454194,4
"7","BC_#27_Wyatt",4222,674.024150061166,94,6650,1168.06541975436,11
"8","BC_#27_Wyatt",4366,693.341804184965,104,6513,1192.7633659183,8
"9","BC_#27_Wyatt",4120,688.618245873461,99,6406,1156.38725941763,7
"10","BC_#27_Wyatt",4328,685.781537556876,106,6770,1164.77637878502,5
"11","BC_#27_Wyatt",4295,679.293819528317,114,6419,1156.03205245327,10
"12","BC_#27_Wyatt",4048,699.402291400978,106,6441,1208.6685634285,7
"13","BC_#27_Wyatt",4457,638.610476347932,105,7097,1130.93784876996,10
"14","BC_#27_Wyatt",4340,700.35450864606,100,6774,1193.79348193612,8
"15","BC_#27_Wyatt",4350,655.136127768827,144,6411,1120.77101016944,2
"16","BC_#27_Wyatt",4365,685.579656017754,112,6674,1213.08067875507,5
"17","BC_#27_Wyatt",4196,673.926022821717,111,6490,1159.29984404234,7
"18","BC_#27_Wyatt",4248,695.024917506191,114,6583,1171.18822694195,11
"19","BC_#27_Wyatt",4202,701.928074110541,101,6549,1246.65926268005,6
"20","BC_#27_Wyatt",4198,706.185770026721,108,6461,1172.67044194678,10
"21","BC_#27_Wyatt",4269,654.458852910248,112,6672,1168.72240981375,7
"22","BC_#27_Wyatt",4136,706.578356763074,111,6500,1196.73361345,8
"23","BC_#27_Wyatt",4222,681.300723784797,129,6513,1172.39045710579,6
"24","BC_#27_Wyatt",4345,675.002604072961,101,6836,1169.66577025002,13
"25","BC_#27_Wyatt",4279,675.073116745465,104,6300,1132.93949299177,7
"26","BC_#27_Wyatt",4215,662.867988599668,123,6724,1179.33658163058,10
"27","BC_#27_Wyatt",4306,680.535289398033,105,6545,1171.15626323256,12
"28","BC_#27_Wyatt",4226,686.169768964155,105,6678,1170.21427872981,11
"29","BC_#27_Wyatt",4182,714.314599224724,95,6318,1187.63906542238,8
"30","BC_#27_Wyatt",4346,666.124891390161,113,6419,1162.68422994201,14
"31","BC_#27_Wyatt",4343,661.433109961528,113,6794,1178.33843601909,9
"32","BC_#27_Wyatt",4240,690.42464707191,91,6432,1175.41459012066,5
"33","BC_#27_Wyatt",4214,658.236232483487,115,6503,1130.46312400034,11
"34","BC_#27_Wyatt",4210,700.916031421542,109,6520,1176.79340247898,5
"35","BC_#27_Wyatt",4141,683.568932362909,99,6639,1147.98944287124,12
"36","BC_#27_Wyatt",4345,696.717458303186,107,6617,1189.56995892387,5
"37","BC_#27_Wyatt",4159,690.823587795712,98,6464,1190.56089408255,10
"38","BC_#27_Wyatt",4263,690.44402122222,119,5975,1157.09789584111,8
"39","BC_#27_Wyatt",4185,672.552314658718,122,6297,1180.2293757715,9
"40","BC_#27_Wyatt",4317,687.287261010862,108,6630,1170.1146098509,10
"41","BC_#27_Wyatt",4449,688.397491252985,120,6877,1209.19559282587,9
"42","BC_#27_Wyatt",4204,706.873913943446,107,6924,1213.27821619872,8
"43","BC_#27_Wyatt",4330,693.471996714622,105,6349,1205.54702510134,6
"44","BC_#27_Wyatt",4163,703.346377114401,109,6256,1155.35493525077,9
"45","BC_#27_Wyatt",4245,703.218984459166,82,6436,1172.60481561655,4
"46","BC_#27_Wyatt",4233,694.667551012596,112,6588,1196.7016738821,8
"47","BC_#27_Wyatt",4325,659.359187512772,100,6710,1124.95289473969,9
"48","BC_#27_Wyatt",4258,686.730276451165,110,6479,1167.06033767155,9
"49","BC_#27_Wyatt",4090,683.48621679441,120,6501,1177.29204058812,10
"50","BC_#27_Wyatt",4152,690.599801068693,105,6521,1163.24059651817,11
"51","BC_#27_Wyatt",4064,696.054485186257,95,6480,1186.16136731853,11
"52","BC_#27_Wyatt",4188,666.770007873339,110,6509,1181.66283576397,10
"53","BC_#27_Wyatt",4178,705.05185232337,106,6277,1185.63221333152,3
"54","BC_#27_Wyatt",4222,687.568593063747,109,6660,1214.21715481558,4
"55","BC_#27_Wyatt",4161,699.453165006456,101,6393,1214.65234564047,8
"56","BC_#27_Wyatt",4166,691.389531425609,82,6516,1157.2298376258,7
"57","BC_#27_Wyatt",4180,707.831223382686,103,6630,1171.8238932194,11
"58","BC_#27_Wyatt",4196,689.622064558389,89,6690,1174.09967387914,8
"59","BC_#27_Wyatt",3938,714.422907581021,93,6697,1208.96996270012,3
"60","BC_#27_Wyatt",4310,683.196799463323,108,6490,1194.05741679811,10
"61","BC_#27_Wyatt",4221,671.389995313277,111,6713,1187.65536616571,6
"62","BC_#27_Wyatt",4278,659.089109405776,135,6785,1156.83560172149,4
"63","BC_#27_Wyatt",4306,691.744986810767,101,6863,1192.27900918106,7
"64","BC_#27_Wyatt",4431,679.763897591968,115,6932,1197.74304529842,5
"65","BC_#27_Wyatt",4367,648.814541172118,121,6454,1112.18528494004,10
"66","BC_#27_Wyatt",4161,683.89629504036,121,6848,1190.32342781527,13
"67","BC_#27_Wyatt",4118,665.502697854726,98,6209,1166.89550311154,12
"68","BC_#27_Wyatt",4506,665.29671163942,100,6575,1154.54181075502,9
"69","BC_#27_Wyatt",4416,689.843582025945,106,6708,1181.06914455418,10
"70","BC_#27_Wyatt",4244,707.088078258153,97,6812,1177.85982300958,15
"71","BC_#27_Wyatt",3921,703.373488444544,103,6769,1208.34691717699,8
"72","BC_#27_Wyatt",3966,731.114593089567,103,6514,1210.81849958272,6
"73","BC_#27_Wyatt",4159,702.479544371831,107,6837,1189.54546609817,10
"74","BC_#27_Wyatt",4240,671.597153206186,114,6419,1141.53649991845,6
"75","BC_#27_Wyatt",4410,656.587244216639,134,6708,1179.47390155571,12
"76","BC_#27_Wyatt",4551,652.590338034936,120,6581,1152.83359702528,13
"77","BC_#27_Wyatt",4370,688.368430347337,100,6836,1126.09462586249,7
"78","BC_#27_Wyatt",4225,677.418527224778,131,6676,1164.69293514671,3
"79","BC_#27_Wyatt",4074,674.889630834125,129,6448,1148.27179129825,5
"80","BC_#27_Wyatt",4308,686.150620264037,108,7053,1163.43078573835,15
"81","BC_#27_Wyatt",3955,731.102760964285,83,6600,1167.34024574352,10
"82","BC_#27_Wyatt",4091,702.225463454696,94,6667,1222.43540694354,8
"83","BC_#27_Wyatt",4220,665.959621396497,115,6478,1172.36168593179,5
"84","BC_#27_Wyatt",4406,648.050623681054,118,6352,1134.76178956606,17
"85","BC_#27_Wyatt",4251,689.411484690267,106,6407,1205.17848304855,10
"86","BC_#27_Wyatt",4345,655.362741890058,120,6671,1147.37264638946,11
"87","BC_#27_Wyatt",4197,685.009555826637,114,6504,1174.93117623678,8
"88","BC_#27_Wyatt",4135,702.652307295009,115,6539,1170.382206312,8
"89","BC_#27_Wyatt",4108,691.367211932928,117,6662,1185.67667812213,9
"90","BC_#27_Wyatt",4341,668.95312973756,125,6426,1168.20046537458,8
"91","BC_#27_Wyatt",4220,701.453709066718,86,6544,1193.09783986887,6
"92","BC_#27_Wyatt",4373,692.996642000104,113,6420,1165.80182657945,3
"93","BC_#27_Wyatt",4283,672.947005796781,105,6638,1149.13881817104,6
"94","BC_#27_Wyatt",4353,699.277873702376,106,6709,1202.54958708318,9
"95","BC_#27_Wyatt",4547,627.249579991861,136,6385,1138.4477566128,9
"96","BC_#27_Wyatt",4138,704.143086650232,112,6665,1161.78687146339,9
"97","BC_#27_Wyatt",4222,685.225101945688,104,6546,1140.18034093739,10
"98","BC_#27_Wyatt",4165,696.049795477109,102,6794,1162.44100602909,7
"99","BC_#27_Wyatt",4294,686.815370182636,119,6417,1190.91965950528,5
"100","BC_#27_Wyatt",3990,688.285272883681,96,6246,1138.52719640673,9
"101","BC_#27_Wyatt",4444,660.993543656754,124,6776,1172.33661595576,9
"102","BC_#27_Wyatt",4266,693.873866713053,99,6439,1172.24804919284,11
"103","BC_#27_Wyatt",4149,693.679947381479,124,6604,1191.10192983853,9
"104","BC_#27_Wyatt",4377,651.383751721108,115,6194,1130.77582731666,11
"105","BC_#27_Wyatt",4079,681.64161421855,104,6302,1184.67778322746,8
"106","BC_#27_Wyatt",4252,654.455427473481,108,7032,1161.47847388181,8
"107","BC_#27_Wyatt",4117,720.148307010764,107,6455,1217.70265491311,10
"108","BC_#27_Wyatt",4277,693.875634250862,103,6653,1199.40050624184,11
"109","BC_#27_Wyatt",3914,706.125047001759,98,6359,1175.59495594281,7
"110","BC_#27_Wyatt",4012,674.066645676599,126,6479,1189.02774418505,11
"111","BC_#27_Wyatt",3963,700.669580808761,80,6318,1160.217998565,11
"112","BC_#27_Wyatt",4243,677.392922656546,114,6678,1168.60601733064,7
"113","BC_#27_Wyatt",4003,712.508850071499,101,6593,1185.37669711323,4
"114","BC_#27_Wyatt",4509,651.426168376599,130,6930,1112.25907604143,10
"115","BC_#27_Wyatt",4081,708.329684499807,110,6528,1183.01365001012,9
"116","BC_#27_Wyatt",4350,679.036635458187,116,6445,1153.93985565647,6
"117","BC_#27_Wyatt",4171,690.074840377643,105,6668,1165.85501374029,9
"118","BC_#27_Wyatt",4441,682.116261348947,122,6751,1177.91621212647,9
"119","BC_#27_Wyatt",4316,686.427475000966,102,6811,1157.43575182017,7
"120","BC_#27_Wyatt",4406,658.523219826199,113,6824,1138.67601979109,9
"121","BC_#27_Wyatt",4259,681.992319834561,107,6123,1162.67857808365,4
"122","BC_#27_Wyatt",4176,697.235452764637,98,6852,1179.26736449552,12
"123","BC_#27_Wyatt",4181,685.024654633726,112,6787,1164.90442240913,5
"124","BC_#27_Wyatt",4246,693.577210924558,105,6882,1215.32810822257,10
"125","BC_#27_Wyatt",4365,678.724503071044,121,6634,1165.6845578879,9
"126","BC_#27_Wyatt",4266,690.084289875889,108,6805,1170.41596169,9
"127","BC_#27_Wyatt",4206,696.41709826653,98,6611,1179.44960923199,8
"128","BC_#27_Wyatt",4206,690.04659566913,109,6683,1145.96000712665,12
"129","BC_#27_Wyatt",4274,678.167548880147,122,6328,1143.94137782074,6
"130","BC_#27_Wyatt",4275,696.326145775975,104,6426,1156.97456529385,10
"131","BC_#27_Wyatt",4241,677.491078060724,118,6452,1188.72600893694,9
"132","BC_#27_Wyatt",4260,706.1674780842,96,6531,1179.64038239349,8
"133","BC_#27_Wyatt",4291,683.942300974333,125,6647,1159.76123817509,11
"134","BC_#27_Wyatt",4163,688.764617125531,87,6588,1194.72831657075,9
"135","BC_#27_Wyatt",4360,714.259272121323,99,6685,1193.80962434094,5
"136","BC_#27_Wyatt",4228,679.946048831803,104,6408,1157.71231604465,6
"137","BC_#27_Wyatt",4373,673.728464868752,116,6691,1166.84893032696,4
"138","BC_#27_Wyatt",4513,645.056575393124,114,6566,1153.88240115957,4
"139","BC_#27_Wyatt",4320,663.271372922414,100,6401,1151.4873664396,4
"140","BC_#27_Wyatt",4274,676.223395457086,124,6348,1178.74181576598,6
"141","BC_#27_Wyatt",4197,681.198647342012,108,6819,1179.68023023427,4
"142","BC_#27_Wyatt",3998,686.026781970582,99,6540,1182.34654391989,9
"143","BC_#27_Wyatt",4198,666.522456095071,106,6503,1185.05252331319,10
"144","BC_#27_Wyatt",4340,663.674819661423,124,6963,1170.23108947617,15
"145","BC_#27_Wyatt",4535,644.048645770294,150,6790,1145.1870426477,9
"146","BC_#27_Wyatt",4203,688.152424831423,104,6714,1159.45526472962,7
"147","BC_#27_Wyatt",4381,660.886840014186,123,6988,1161.87049154766,12
"148","BC_#27_Wyatt",4356,665.989818301938,89,6519,1149.93371494482,4
"149","BC_#27_Wyatt",4212,676.488322355912,102,6373,1172.41679462951,9
"150","BC_#27_Wyatt",4460,660.151065341418,117,6709,1181.76373502901,8
"151","BC_#27_Wyatt",4243,677.87639013225,124,6432,1186.47756947237,8
"152","BC_#27_Wyatt",4377,672.729476928904,124,6777,1208.22627518433,7
"153","BC_#27_Wyatt",4234,656.370699336798,125,6187,1153.03808186195,7
"154","BC_#27_Wyatt",4255,684.88321345682,98,6540,1182.08073615163,11
"155","BC_#27_Wyatt",4321,683.242393242214,104,6589,1188.91395377044,8
"156","BC_#27_Wyatt",4014,725.907108458648,89,6408,1189.53391060814,4
"157","BC_#27_Wyatt",4150,690.695903129256,102,6943,1194.39814179379,13
"158","BC_#27_Wyatt",4029,704.30959940068,104,6585,1225.50234888316,11
"159","BC_#27_Wyatt",4037,725.693113470144,100,6814,1177.81208413607,8
"160","BC_#27_Wyatt",4362,686.746505527799,119,6901,1156.43956707602,3
"161","BC_#27_Wyatt",4062,689.870566571458,94,6335,1187.64365971296,9
"162","BC_#27_Wyatt",4020,727.251602948859,88,6392,1213.51472091213,5
"163","BC_#27_Wyatt",4194,709.442029999204,101,6420,1158.55688948303,4
"164","BC_#27_Wyatt",4246,675.96467852207,95,6394,1137.40300499249,3
"165","BC_#27_Wyatt",4405,678.073651635361,98,6727,1166.75725576196,10
"166","BC_#27_Wyatt",4182,681.127851548785,110,6584,1173.73820377413,9
"167","BC_#27_Wyatt",4356,701.545208465815,105,6825,1160.37530878297,7
"168","BC_#27_Wyatt",4084,699.330621382019,105,6707,1156.18344868804,10
"169","BC_#27_Wyatt",4334,665.39255673159,116,6593,1163.82420100451,11
"170","BC_#27_Wyatt",4270,678.786642138825,125,6774,1190.63691457853,5
"171","BC_#27_Wyatt",4364,675.886150091593,104,6991,1156.27024235287,11
"172","BC_#27_Wyatt",4332,690.893766253785,119,6911,1190.95496475254,6
"173","BC_#27_Wyatt",4180,689.913075135454,105,6895,1173.66834943733,11
"174","BC_#27_Wyatt",4219,698.023120369872,104,6434,1144.32488510782,11
"175","BC_#27_Wyatt",4185,666.620832081138,126,6188,1117.75151677934,9
"176","BC_#27_Wyatt",4411,651.337627588141,117,6673,1158.95820103555,7
"177","BC_#27_Wyatt",4300,679.625365053587,115,6253,1150.59727228917,7
"178","BC_#27_Wyatt",4366,686.566238649008,115,6579,1164.38045569751,11
"179","BC_#27_Wyatt",4137,702.124846998349,107,6266,1219.1594378356,7
"180","BC_#27_Wyatt",4138,700.839541620236,99,6945,1195.04791026335,3
"181","BC_#27_Wyatt",4041,720.737321354432,102,6251,1170.31294208024,7
"182","BC_#27_Wyatt",4321,693.502047657407,104,6469,1160.07214090372,8
"183","BC_#27_Wyatt",4107,700.87697590389,111,6632,1178.49134295796,7
"184","BC_#27_Wyatt",4156,671.264425342057,98,6846,1170.54803921469,7
"185","BC_#27_Wyatt",4482,638.729128221139,134,6886,1158.27424329517,5
"186","BC_#27_Wyatt",4362,666.717427526476,112,6628,1151.61896877919,6
"187","BC_#27_Wyatt",4146,693.709808536611,111,6323,1184.1896792422,13
"188","BC_#27_Wyatt",4235,667.793417847506,104,6257,1151.24124139997,5
"189","BC_#27_Wyatt",4293,672.29299842818,115,6411,1179.48095663323,5
"190","BC_#27_Wyatt",4062,686.183209398849,90,6491,1179.40183860995,5
"191","BC_#27_Wyatt",4097,716.227353497294,99,6708,1193.04319667727,7
"192","BC_#27_Wyatt",4304,652.0413831444,125,6672,1167.25235442878,7
"193","BC_#27_Wyatt",4243,677.432408436913,107,6244,1156.32265519454,11
"194","BC_#27_Wyatt",4286,694.196742336031,94,6514,1182.27769642125,3
"195","BC_#27_Wyatt",4392,672.645811741818,94,6503,1141.72824292692,7
