"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Ben",212,2464.77887423829,0,2004,3155.5774460776,0
"2","Ben",179,2375.33753919822,0,2067,3316.29599326019,0
"3","Ben",233,2480.72319749866,1,2016,3164.86244677809,0
"4","Ben",189,2421.15224646798,0,1985,3200.55467251072,0
"5","Ben",182,2577.17273460047,0,2008,3255.75523110475,0
"6","Ben",220,2442.97618246799,1,1881,3182.90301192044,0
"7","Ben",193,2354.0207026771,0,2046,3189.86592715954,0
"8","Ben",170,2600.22345151887,0,2059,3305.8033197158,0
"9","Ben",179,2366.28658026142,0,2066,3206.75518001805,0
"10","Ben",218,2662.20183105792,0,2032,3224.28696167413,0
"11","Ben",176,2493.96217268408,0,1883,3289.3804594025,0
"12","Ben",190,2319.15718076991,1,1994,3105.72901641476,0
"13","Ben",149,2526.33951565928,0,1971,3338.61624057093,0
"14","Ben",210,2411.76541378406,0,1873,3104.29212589494,0
"15","Ben",186,2308.15018291023,0,1991,3225.92070925417,0
"16","Ben",192,2373.15952677062,1,1912,3304.60844766223,0
"17","Ben",157,2478.34183998249,0,1999,3343.82932100116,0
"18","Ben",192,2448.68244505319,0,1984,3243.4836145426,0
"19","Ben",181,2383.97669315858,0,1962,3214.78233901828,0
"20","Ben",188,2461.04943854565,0,2050,3125.11780355849,0
"21","Ben",204,2375.38185337991,1,2142,3205.87845252188,0
"22","Ben",177,2409.21466357232,0,2115,3237.82424433009,0
"23","Ben",173,2479.62320105576,0,1970,3164.82904717137,0
"24","Ben",210,2468.72757052303,0,2114,3184.41376412919,0
"25","Ben",198,2367.62270118613,1,2111,3156.68852474497,0
"26","Ben",208,2418.75849399576,1,1980,3202.17668321993,0
"27","Ben",178,2452.266196249,0,2033,3313.67388119431,0
"28","Ben",192,2604.38059067331,0,2054,3326.01969452095,0
"29","Ben",162,2560.55691033763,0,2153,3312.64415860184,0
"30","Ben",217,2487.42652870963,1,1944,3125.71154954973,0
"31","Ben",187,2566.52956132457,0,2121,3109.25590783964,0
"32","Ben",202,2405.23850409463,1,1861,3190.58914521259,0
"33","Ben",213,2365.13678508342,1,2074,3098.83174396253,0
"34","Ben",192,2454.22399412827,0,2198,3261.25953715484,0
