"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Beverly",675,1590.5361751651,3,7982,1683.21197981994,0
"2","Beverly",666,1636.70497259497,2,7875,1713.05749019904,0
"3","Beverly",607,1728.42948734201,0,7853,1748.44708802988,0
"4","Beverly",691,1711.64013738978,3,7692,1745.43127972527,0
"5","Beverly",636,1661.50329117113,6,7868,1722.42463813755,0
"6","Beverly",580,1681.149419289,2,7764,1713.12014494932,0
"7","Beverly",586,1709.13478740081,0,7888,1729.44444850664,0
"8","Beverly",662,1685.71625969191,4,7882,1726.87832614384,0
"9","Beverly",667,1691.35713492576,5,7494,1750.03845777622,0
"10","Beverly",605,1693.76927349768,1,7720,1736.18158158502,0
"11","Beverly",643,1644.64700881119,1,7833,1738.74163861419,0
"12","Beverly",651,1632.96687104293,2,8034,1686.55080885445,0
"13","Beverly",670,1681.79164938405,2,7925,1689.19347400905,0
"14","Beverly",622,1666.43104680552,1,7754,1725.2737731536,0
"15","Beverly",648,1646.93412581017,7,7957,1728.70415656744,0
"16","Beverly",662,1606.65020053452,5,7852,1697.58832747431,0
"17","Beverly",682,1584.48957304474,1,7955,1695.71795976305,0
"18","Beverly",665,1648.40073971905,2,7533,1715.25423327589,0
"19","Beverly",618,1601.00493847858,6,8004,1705.95673505916,0
"20","Beverly",633,1669.41779814545,3,7754,1709.71750527656,0
"21","Beverly",625,1678.49053878025,5,8117,1703.02588214785,0
"22","Beverly",694,1701.32325806544,2,7844,1709.46840094408,0
"23","Beverly",652,1687.14897838795,0,7713,1734.21243166443,0
"24","Beverly",657,1666.05657058642,0,7821,1693.91738471507,0
"25","Beverly",663,1608.00312810315,4,8258,1694.48924671985,0
"26","Beverly",643,1709.52056360228,1,7806,1715.2005313894,0
"27","Beverly",644,1603.9882916871,2,8053,1686.00966487824,0
"28","Beverly",599,1714.66589299921,0,7736,1712.88199016083,0
"29","Beverly",634,1682.17274389683,1,7622,1737.27681183012,0
"30","Beverly",664,1731.3796330675,1,7764,1740.65879899491,0
"31","Beverly",619,1659.15631767757,2,7906,1714.52123716987,0
"32","Beverly",590,1666.22911226366,2,7920,1711.80482652271,0
"33","Beverly",695,1628.24349536772,3,8013,1680.24802956422,0
"34","Beverly",710,1605.28805726225,1,7960,1705.62394295417,0
"35","Beverly",596,1612.2278393211,0,7950,1732.45440368737,0
"36","Beverly",658,1765.94272888744,3,7834,1725.82317817742,0
"37","Beverly",696,1633.1899073564,1,8126,1710.34943526295,0
"38","Beverly",682,1639.47460714397,0,7877,1704.38329164306,0
"39","Beverly",683,1635.48148504546,0,7832,1717.34719454644,0
"40","Beverly",678,1724.99103538334,1,7659,1734.35369892797,0
"41","Beverly",685,1641.74313578939,3,7866,1703.6257311244,0
"42","Beverly",620,1709.59424927442,2,7819,1742.95289040354,0
"43","Beverly",681,1636.533532514,2,7877,1711.02133325562,0
"44","Beverly",679,1669.88438086672,1,7810,1722.34389875974,0
"45","Beverly",655,1647.07338002743,2,7945,1684.72087532652,0
"46","Beverly",655,1642.33716302606,1,8061,1714.23626013697,0
"47","Beverly",669,1733.12310273162,3,7767,1720.84054798217,0
"48","Beverly",648,1657.41110640073,1,7632,1736.19214536137,0
"49","Beverly",618,1694.03359792424,1,7952,1711.06689546303,0
"50","Beverly",672,1726.78033019,0,7655,1740.09031723618,0
"51","Beverly",682,1604.10415127413,1,8018,1676.7113380673,0
"52","Beverly",643,1719.66281741536,1,7820,1751.43176813883,0
"53","Beverly",727,1645.87114889642,2,7876,1727.0262167864,0
"54","Beverly",623,1591.82400871035,3,7773,1687.50334408767,0
"55","Beverly",641,1708.97044492243,1,7963,1729.12351326443,0
"56","Beverly",645,1600.97045628701,2,8237,1694.97702511895,0
"57","Beverly",627,1680.96339738947,3,7968,1726.90281438629,0
"58","Beverly",690,1665.57068037753,1,7958,1703.45613777056,0
"59","Beverly",654,1645.68588386244,1,7868,1704.06607344012,0
"60","Beverly",658,1685.04573603937,1,7925,1729.49783936088,0
"61","Beverly",652,1668.65040296132,1,7830,1701.82575402438,0
"62","Beverly",629,1659.19034963015,7,7870,1717.79022729497,0
"63","Beverly",647,1609.341399171,3,7890,1702.79713682933,0
"64","Beverly",637,1688.23238122599,2,7753,1723.96665364998,0
"65","Beverly",635,1659.22301979446,1,7877,1718.63212843895,0
"66","Beverly",689,1649.43123468754,4,7787,1705.8731575695,0
"67","Beverly",641,1704.50455145303,2,7714,1747.0869186015,0
"68","Beverly",637,1655.40315887474,3,7850,1732.10177266691,0
"69","Beverly",670,1563.44801145391,4,7975,1696.69468909149,0
"70","Beverly",722,1654.56088767826,2,7733,1710.33569300769,0
"71","Beverly",659,1654.62214723688,4,7830,1720.61511506037,0
"72","Beverly",681,1635.99106148549,0,8015,1665.77402920066,0
"73","Beverly",627,1645.54897805269,1,7998,1708.82659705401,0
"74","Beverly",592,1651.16666363385,2,7925,1726.34988839231,0
"75","Beverly",645,1693.97653518221,2,7704,1742.24638297119,0
"76","Beverly",650,1635.84840242015,7,7912,1705.62107917128,0
"77","Beverly",672,1661.17602391854,0,8014,1696.27247160124,0
"78","Beverly",651,1688.36391318025,4,8004,1723.9404905367,0
"79","Beverly",687,1671.22893207665,0,7905,1713.34199225034,0
"80","Beverly",635,1640.71652331969,3,8186,1678.93250382981,0
"81","Beverly",638,1647.61064475622,1,7849,1712.53749991407,0
"82","Beverly",635,1709.18061796236,1,8021,1702.87020960674,0
"83","Beverly",751,1651.30253189306,3,7925,1691.07809992649,0
"84","Beverly",657,1656.50977789504,2,7846,1698.00585995457,0
"85","Beverly",595,1663.53795914864,3,7944,1717.66916326141,0
"86","Beverly",630,1676.13838017194,1,7732,1747.50908604547,0
"87","Beverly",646,1728.89342134171,2,7745,1739.30284970789,0
"88","Beverly",674,1713.40940610934,2,8077,1718.14571676135,0
"89","Beverly",656,1725.95272716198,2,7782,1765.97949820861,0
"90","Beverly",670,1734.61019951027,0,7631,1754.17314294893,0
"91","Beverly",674,1666.24922001862,0,8028,1705.31796309458,0
"92","Beverly",671,1684.35093596385,2,7670,1737.14453159038,0
"93","Beverly",633,1672.30543565332,1,7852,1714.67997751391,0
"94","Beverly",674,1690.01030391757,2,7886,1733.44225072386,0
"95","Beverly",607,1748.55496671464,1,7755,1729.39192398733,0
"96","Beverly",649,1687.58628399291,1,7890,1711.6407466008,0
"97","Beverly",639,1669.38921689564,5,7890,1740.38175226832,0
"98","Beverly",673,1725.34742057701,0,7650,1745.86939582059,0
"99","Beverly",681,1733.39116033514,3,7815,1750.35272375527,0
"100","Beverly",638,1622.614118113,6,7822,1726.30950868367,0
"101","Beverly",678,1692.84615590591,2,8051,1717.00208102606,0
