"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","BobbiJo",1001,603.092970194604,20,3600,743.146333725552,0
"2","BobbiJo",1111,576.004204139104,31,3758,714.715502279073,0
"3","BobbiJo",1070,595.290725864682,30,3910,742.352915913693,0
"4","BobbiJo",998,595.551652099784,24,3805,766.283725368255,0
"5","BobbiJo",991,566.867308222966,37,3679,731.349673845446,0
"6","BobbiJo",1052,619.536730490317,29,3939,745.682478200137,0
"7","BobbiJo",961,588.227057507925,26,3759,747.614782247353,0
"8","BobbiJo",1031,602.599282646667,33,3851,747.710065049025,0
"9","BobbiJo",1009,608.969000550461,23,3849,749.286686081235,0
"10","BobbiJo",1075,644.492516668638,23,3930,771.558216267623,0
"11","BobbiJo",976,611.579589574637,27,3787,756.888598950048,0
"12","BobbiJo",1068,585.969985065761,25,3781,738.880313322018,0
"13","BobbiJo",1053,607.253030034546,27,3722,735.134644570362,0
"14","BobbiJo",984,570.715056364905,35,3623,735.957116918893,0
"15","BobbiJo",1025,591.474057838187,20,3941,744.802056128967,0
"16","BobbiJo",1032,611.016913758518,23,3851,722.890012284919,0
"17","BobbiJo",1067,624.755176610903,20,3778,771.420062082538,0
"18","BobbiJo",997,604.895475127775,35,3869,736.526602919494,0
"19","BobbiJo",993,645.207834324564,26,3809,749.486593725676,0
"20","BobbiJo",1065,599.85653290071,30,4020,739.584604743312,0
"21","BobbiJo",989,596.086137858842,25,3678,755.930656676765,0
"22","BobbiJo",1015,580.678197969605,30,3763,748.161428287067,0
"23","BobbiJo",1033,576.895481141292,32,3795,749.378781937864,0
"24","BobbiJo",1090,632.713692571807,21,4011,761.770200568589,0
"25","BobbiJo",1027,635.580227602272,19,3750,775.409202497843,0
"26","BobbiJo",1003,600.318518218782,32,3778,739.957436020017,0
"27","BobbiJo",1027,596.370348892908,28,3692,754.786720544101,0
"28","BobbiJo",1073,569.090056203484,37,3854,727.622358299481,0
"29","BobbiJo",1020,591.582151789959,32,4071,753.202991620962,0
"30","BobbiJo",1068,587.874976810092,32,4114,718.894125912903,0
"31","BobbiJo",1007,630.156477148896,30,3693,755.531579116464,0
"32","BobbiJo",1024,583.429782827767,26,3624,741.0660536212,0
"33","BobbiJo",1048,574.126840586197,24,3949,738.284415426948,0
"34","BobbiJo",1008,619.165599444596,25,3780,776.268202445283,0
"35","BobbiJo",1025,621.51898054464,35,3729,757.063073377898,0
"36","BobbiJo",1042,609.525436491316,30,4005,764.198542750805,0
"37","BobbiJo",1026,573.366750044263,28,3762,708.969730452341,0
"38","BobbiJo",1074,582.514029615,33,3687,722.544716418015,0
"39","BobbiJo",1049,603.813355953204,40,3702,742.346565164586,0
"40","BobbiJo",1097,615.680987045691,32,3911,748.834445258528,0
"41","BobbiJo",1005,583.45182575339,25,3670,735.466190695582,0
"42","BobbiJo",1090,598.805937585742,26,3902,751.129793075275,0
"43","BobbiJo",983,615.503944163791,28,3730,767.663985868105,0
"44","BobbiJo",1044,592.654810847388,26,3872,753.69065179733,0
"45","BobbiJo",1031,597.754815529891,17,3677,735.860549030261,0
"46","BobbiJo",1044,619.457312370757,23,3833,756.719748602835,0
"47","BobbiJo",1014,542.391865427138,32,3856,744.965177672228,0
"48","BobbiJo",1060,586.051393384748,30,3858,748.914735460379,0
"49","BobbiJo",986,583.840487841003,29,4008,739.522067085567,0
"50","BobbiJo",1090,590.309750743922,27,3737,730.59418556473,0
"51","BobbiJo",1041,610.849592253858,30,3886,772.665392496497,0
"52","BobbiJo",1007,575.358653194538,26,3777,742.19410940622,0
"53","BobbiJo",1028,600.900518551961,32,3852,750.242365258841,0
"54","BobbiJo",1002,625.05824406669,33,3824,781.207852093328,0
"55","BobbiJo",1036,625.892090752777,24,3849,770.037452073652,0
"56","BobbiJo",1116,626.470620550657,39,3774,766.117250254926,0
"57","BobbiJo",994,597.269379274104,24,4000,753.134025271743,0
"58","BobbiJo",1103,551.928619656653,35,3802,721.976811573995,0
"59","BobbiJo",1074,584.604687184677,32,3923,765.510640631243,0
"60","BobbiJo",1018,657.966169065821,21,3909,783.89453870492,0
