"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Braeden",682,1324.71148735073,5,3137,1566.95895478401,0
"2","Braeden",684,1325.65400424191,4,2917,1673.52571084977,0
"3","Braeden",678,1284.47296082446,6,2666,1697.86976366363,0
"4","Braeden",653,1235.65646722748,9,2482,1684.9390422529,0
"5","Braeden",691,1315.37692565914,2,2549,1679.67196808685,0
"6","Braeden",721,1297.41610081607,8,2786,1611.24512717732,0
"7","Braeden",610,1347.5196776284,4,2664,1646.55912961033,0
"8","Braeden",657,1362.76695586443,3,2723,1642.69418217317,0
"9","Braeden",709,1282.8764148711,2,2809,1662.45875634442,0
"10","Braeden",719,1167.28430742578,1,2733,1576.63146976928,0
"11","Braeden",644,1276.20640810766,3,2895,1687.19038486219,0
"12","Braeden",738,1316.3312933067,3,3120,1654.65667327187,0
"13","Braeden",676,1315.88682363344,4,2759,1623.46745285139,0
"14","Braeden",710,1288.97624072584,5,2628,1607.30816906898,0
"15","Braeden",658,1274.0548207564,2,2598,1644.40140254797,0
"16","Braeden",622,1431.31652555059,1,2527,1657.31689868672,0
"17","Braeden",719,1263.55449173488,3,2914,1645.61915985511,0
"18","Braeden",703,1272.58208460335,3,2635,1688.69183178575,0
"19","Braeden",670,1413.9693095002,1,2608,1631.05184869807,0
"20","Braeden",678,1360.06774359311,5,2738,1697.90360025067,0
"21","Braeden",666,1263.47589345155,8,2641,1721.18978737733,0
"22","Braeden",683,1271.34148764623,10,2755,1663.26449344297,0
"23","Braeden",664,1247.18230793012,4,2800,1633.07115894245,0
"24","Braeden",652,1227.99790768977,7,2857,1595.43655578514,0
"25","Braeden",678,1280.51195290256,4,2688,1653.36783632364,0
"26","Braeden",678,1243.42423246389,4,2809,1578.91501091005,0
"27","Braeden",676,1300.79947540892,6,2830,1671.8933797199,0
"28","Braeden",604,1278.46548626095,5,2428,1635.432270488,0
"29","Braeden",676,1231.28683518514,2,2838,1512.12902451872,0
"30","Braeden",679,1299.31265076497,6,2464,1552.80837760213,0
"31","Braeden",765,1136.93473061876,3,2989,1514.89892560758,0
"32","Braeden",704,1244.20486329345,6,2786,1661.34847297016,0
"33","Braeden",667,1312.02381820162,6,2450,1628.83309090092,0
"34","Braeden",650,1336.07303847524,2,2778,1660.87829775946,0
"35","Braeden",704,1328.63890333085,5,2901,1640.59686285869,0
"36","Braeden",674,1271.08346776669,7,2854,1677.57488251119,0
"37","Braeden",629,1270.83308682943,6,2715,1668.22394056884,0
"38","Braeden",658,1205.52316719131,5,2890,1536.55387328494,1
"39","Braeden",664,1328.80820258567,8,2773,1612.66528795261,0
"40","Braeden",681,1243.343461655,2,2608,1709.35362445041,0
"41","Braeden",636,1404.23695203111,1,2739,1692.29595782333,0
"42","Braeden",732,1268.34760366268,4,2446,1573.30322199037,0
"43","Braeden",717,1224.71113773599,7,2848,1597.50618652922,0
"44","Braeden",660,1318.63630286229,2,2718,1644.98074510567,0
"45","Braeden",680,1237.24302442492,2,2878,1607.37947518878,0
"46","Braeden",640,1536.36020985892,2,2685,1860.9803842595,0
"47","Braeden",664,1255.10776543116,7,2803,1637.40733730109,0
"48","Braeden",724,1381.79000160426,4,2880,1613.9326613508,0
"49","Braeden",688,1339.87846895294,2,2461,1686.10351949745,0
"50","Braeden",609,1230.18848098079,6,2573,1622.8728004733,0
"51","Braeden",751,1326.06615494262,5,2766,1518.2563919101,0
"52","Braeden",680,1367.50481341857,4,2690,1747.29541957467,0
"53","Braeden",668,1256.70536185553,4,2797,1655.28706554813,0
"54","Braeden",667,1348.96697594496,3,3069,1743.56619669723,0
"55","Braeden",740,1268.26116613601,4,3003,1616.6003641106,0
"56","Braeden",711,1152.34195751895,5,2974,1585.80812855559,0
