"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Bunny",0,NA,0,1609,7386.97087340012,0
"2","Bunny",1,4457.45344371388,0,1718,7359.61587420529,0
"3","Bunny",0,NA,0,1633,7430.69921558599,0
"4","Bunny",0,NA,0,1661,7388.69250496895,0
"5","Bunny",0,NA,0,1617,7383.75538031767,0
"6","Bunny",0,NA,0,1591,7417.7956397524,0
"7","Bunny",0,NA,0,1643,7440.3033639146,0
"8","Bunny",0,NA,0,1627,7409.6126479409,0
"9","Bunny",0,NA,0,1650,7466.47216358752,0
"10","Bunny",0,NA,0,1618,7425.43531672658,0
"11","Bunny",0,NA,0,1605,7412.5746873982,0
"12","Bunny",0,NA,0,1687,7376.54681002279,0
"13","Bunny",0,NA,0,1752,7345.21480539765,0
"14","Bunny",0,NA,0,1698,7408.51548628966,0
"15","Bunny",0,NA,0,1625,7404.82855544756,0
"16","Bunny",0,NA,0,1652,7334.48490037162,0
"17","Bunny",0,NA,0,1690,7407.29184260124,0
"18","Bunny",0,NA,0,1674,7396.50241994333,0
"19","Bunny",0,NA,0,1638,7392.94786627962,0
"20","Bunny",0,NA,0,1701,7386.95831050137,0
"21","Bunny",0,NA,0,1625,7417.46673447744,0
"22","Bunny",0,NA,0,1654,7381.16642772597,0
"23","Bunny",0,NA,0,1622,7402.21082028697,0
"24","Bunny",0,NA,0,1585,7412.3146828986,0
"25","Bunny",0,NA,0,1648,7436.3190227944,0
"26","Bunny",2,4830.51629107122,0,1709,7405.54369195713,0
"27","Bunny",0,NA,0,1687,7387.93501130696,0
"28","Bunny",0,NA,0,1764,7405.92305212113,0
"29","Bunny",0,NA,0,1636,7369.29309034185,0
"30","Bunny",0,NA,0,1636,7393.54196070462,0
"31","Bunny",0,NA,0,1572,7398.73094442472,0
"32","Bunny",0,NA,0,1649,7371.42623650841,0
"33","Bunny",0,NA,0,1665,7352.02480648264,0
"34","Bunny",0,NA,0,1761,7358.13339258443,0
"35","Bunny",0,NA,0,1680,7402.05223191686,0
"36","Bunny",0,NA,0,1693,7394.21673377806,0
"37","Bunny",0,NA,0,1721,7397.19054894234,0
"38","Bunny",0,NA,0,1680,7417.5184927935,0
"39","Bunny",0,NA,0,1589,7377.68684933738,0
"40","Bunny",0,NA,0,1550,7436.90865892644,0
"41","Bunny",0,NA,0,1645,7419.930193824,0
"42","Bunny",0,NA,0,1672,7430.75280065293,0
"43","Bunny",0,NA,0,1584,7405.25693755136,0
"44","Bunny",0,NA,0,1631,7341.78181500168,0
"45","Bunny",0,NA,0,1688,7377.77453881024,0
"46","Bunny",0,NA,0,1663,7383.13123706123,0
"47","Bunny",0,NA,0,1592,7356.90351976031,0
"48","Bunny",0,NA,0,1611,7435.75655661823,0
"49","Bunny",0,NA,0,1735,7421.9436813403,0
"50","Bunny",0,NA,0,1536,7392.35430023954,0
"51","Bunny",0,NA,0,1627,7385.30490615468,0
"52","Bunny",0,NA,0,1708,7391.23076385602,0
"53","Bunny",0,NA,0,1591,7336.14775048741,0
"54","Bunny",2,4298.3769733448,0,1726,7375.80039002582,0
"55","Bunny",0,NA,0,1672,7382.42094564299,0
"56","Bunny",0,NA,0,1630,7432.38152002101,0
"57","Bunny",0,NA,0,1649,7361.31641861591,0
"58","Bunny",0,NA,0,1649,7390.9424897249,0
"59","Bunny",0,NA,0,1712,7376.27843113151,0
"60","Bunny",0,NA,0,1725,7391.40769383676,0
"61","Bunny",0,NA,0,1598,7384.94018188194,0
"62","Bunny",0,NA,0,1684,7417.5892545656,0
"63","Bunny",0,NA,0,1659,7402.0299553556,0
"64","Bunny",0,NA,0,1561,7406.78124710807,0
"65","Bunny",0,NA,0,1619,7400.76650432196,0
"66","Bunny",0,NA,0,1599,7370.48604642151,0
"67","Bunny",0,NA,0,1621,7347.82986685371,0
"68","Bunny",1,4598.54761844193,0,1717,7354.05975696777,0
"69","Bunny",0,NA,0,1626,7369.35591772728,0
"70","Bunny",0,NA,0,1610,7393.62211262042,0
"71","Bunny",0,NA,0,1648,7381.70768685472,0
"72","Bunny",0,NA,0,1700,7368.55175948483,0
"73","Bunny",0,NA,0,1643,7391.23033682538,0
"74","Bunny",0,NA,0,1676,7331.63101337107,0
"75","Bunny",0,NA,0,1620,7418.40239749495,0
"76","Bunny",0,NA,0,1589,7399.95722756337,0
"77","Bunny",0,NA,0,1748,7404.94278231192,0
"78","Bunny",0,NA,0,1615,7377.0357571077,0
"79","Bunny",0,NA,0,1625,7385.70232793764,0
"80","Bunny",0,NA,0,1641,7372.92360890589,0
"81","Bunny",0,NA,0,1673,7441.49296882035,0
"82","Bunny",0,NA,0,1734,7412.8625210576,0
"83","Bunny",0,NA,0,1635,7440.25850810419,0
"84","Bunny",0,NA,0,1668,7426.78307134868,0
"85","Bunny",0,NA,0,1652,7399.98047015773,0
"86","Bunny",0,NA,0,1634,7369.04435170601,0
"87","Bunny",0,NA,0,1724,7381.72956879208,0
"88","Bunny",0,NA,0,1640,7399.50703015874,0
"89","Bunny",0,NA,0,1574,7425.34627684945,0
"90","Bunny",0,NA,0,1676,7338.39702506731,0
"91","Bunny",0,NA,0,1682,7370.65080631249,0
"92","Bunny",0,NA,0,1626,7416.96547876294,0
"93","Bunny",0,NA,0,1643,7391.63261586471,0
"94","Bunny",0,NA,0,1732,7407.69641543686,0
"95","Bunny",0,NA,0,1693,7400.86202341976,0
"96","Bunny",0,NA,0,1715,7409.37462150457,0
"97","Bunny",0,NA,0,1657,7381.18337279305,0
"98","Bunny",0,NA,0,1667,7420.69526661387,0
"99","Bunny",0,NA,0,1700,7369.14839419372,0
"100","Bunny",0,NA,0,1623,7452.50171924986,0
"101","Bunny",0,NA,0,1772,7417.2139175736,0
"102","Bunny",0,NA,0,1713,7368.79206960283,0
"103","Bunny",0,NA,0,1652,7404.78443113936,0
"104","Bunny",0,NA,0,1771,7398.77997497836,0
"105","Bunny",0,NA,0,1739,7437.61453843436,0
"106","Bunny",0,NA,0,1587,7370.92973799067,0
"107","Bunny",0,NA,0,1610,7404.20642288365,0
"108","Bunny",0,NA,0,1708,7396.92912441942,0
"109","Bunny",0,NA,0,1671,7367.46189853686,0
"110","Bunny",0,NA,0,1604,7400.31497012292,0
"111","Bunny",0,NA,0,1611,7369.8315582205,0
"112","Bunny",0,NA,0,1701,7439.85241356204,0
"113","Bunny",0,NA,0,1648,7351.52030310386,0
"114","Bunny",0,NA,0,1662,7408.81830893208,0
"115","Bunny",0,NA,0,1626,7417.00701974238,0
"116","Bunny",0,NA,0,1652,7401.23725528643,0
"117","Bunny",0,NA,0,1632,7384.92374084678,0
"118","Bunny",0,NA,0,1604,7385.47292683225,0
"119","Bunny",0,NA,0,1630,7400.07690317438,0
"120","Bunny",0,NA,0,1521,7388.39454449533,0
"121","Bunny",0,NA,0,1682,7367.64165433527,0
"122","Bunny",0,NA,0,1686,7412.42645150998,0
"123","Bunny",0,NA,0,1626,7500.01534069746,0
"124","Bunny",0,NA,0,1689,7408.96542241916,0
"125","Bunny",0,NA,0,1564,7396.28602920388,0
"126","Bunny",0,NA,0,1610,7368.33309440489,0
"127","Bunny",0,NA,0,1631,7363.96043897883,0
"128","Bunny",0,NA,0,1678,7392.9259788625,0
"129","Bunny",0,NA,0,1623,7426.88814740501,0
"130","Bunny",0,NA,0,1648,7406.71170318027,0
"131","Bunny",0,NA,0,1639,7398.49071963986,0
"132","Bunny",0,NA,0,1665,7335.53531185428,0
"133","Bunny",2,4589.34183831385,0,1641,7420.03914103496,0
"134","Bunny",0,NA,0,1641,7447.12282946581,0
"135","Bunny",0,NA,0,1657,7422.9795116261,0
"136","Bunny",0,NA,0,1683,7385.01855456328,0
"137","Bunny",0,NA,0,1628,7370.34490527465,0
"138","Bunny",0,NA,0,1617,7380.41310705211,0
"139","Bunny",0,NA,0,1668,7393.79276241232,0
"140","Bunny",0,NA,0,1671,7391.29282994504,0
"141","Bunny",0,NA,0,1721,7400.00007760557,0
"142","Bunny",0,NA,0,1715,7412.02904692546,0
"143","Bunny",0,NA,0,1571,7391.20308273774,0
"144","Bunny",0,NA,0,1647,7305.41893689528,0
"145","Bunny",0,NA,0,1595,7451.82933305826,0
"146","Bunny",0,NA,0,1625,7403.07111753183,0
"147","Bunny",0,NA,0,1582,7368.58279870125,0
"148","Bunny",0,NA,0,1756,7385.10214560968,0
"149","Bunny",0,NA,0,1600,7358.24577523246,0
"150","Bunny",0,NA,0,1600,7418.8461166229,0
"151","Bunny",0,NA,0,1684,7388.87227108752,0
"152","Bunny",0,NA,0,1569,7411.66532109093,0
"153","Bunny",0,NA,0,1699,7384.98498054419,0
"154","Bunny",0,NA,0,1592,7368.35427922937,0
"155","Bunny",0,NA,0,1634,7387.08307066569,0
"156","Bunny",0,NA,0,1646,7386.06453991493,0
"157","Bunny",0,NA,0,1605,7387.18705000844,0
"158","Bunny",0,NA,0,1602,7412.92022339375,0
"159","Bunny",0,NA,0,1604,7418.21450823157,0
"160","Bunny",0,NA,0,1611,7390.80074049474,0
"161","Bunny",0,NA,0,1622,7432.03585910664,0
"162","Bunny",0,NA,0,1655,7431.37726577495,0
"163","Bunny",0,NA,0,1621,7375.22833534656,0
"164","Bunny",0,NA,0,1702,7409.98079977045,0
"165","Bunny",0,NA,0,1603,7375.0781984722,0
"166","Bunny",0,NA,0,1682,7381.56665009815,0
"167","Bunny",0,NA,0,1629,7369.33363189999,0
"168","Bunny",0,NA,0,1681,7400.22004575232,0
"169","Bunny",0,NA,0,1690,7354.096499587,0
"170","Bunny",0,NA,0,1647,7393.0292136638,0
"171","Bunny",0,NA,0,1643,7381.34232756053,0
"172","Bunny",0,NA,0,1617,7430.01478165088,0
"173","Bunny",0,NA,0,1615,7444.99372554041,0
"174","Bunny",0,NA,0,1588,7344.23192325198,0
"175","Bunny",0,NA,0,1670,7415.97900193619,0
"176","Bunny",0,NA,0,1677,7409.51498242308,0
"177","Bunny",0,NA,0,1740,7376.57644819342,0
"178","Bunny",0,NA,0,1696,7395.72254697359,0
