"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Carrie",921,475.188234111473,21,4991,714.435052640003,1
"2","Carrie",906,495.1596616126,26,4918,735.595338548488,0
"3","Carrie",937,481.56510477487,21,4941,721.555917179675,0
"4","Carrie",914,500.76092467124,24,4921,762.920053133633,0
"5","Carrie",845,522.426070461665,12,4874,749.212152242661,2
"6","Carrie",951,473.997211915912,25,5021,719.954866358022,0
"7","Carrie",951,468.690835418181,22,5017,724.486673349302,0
"8","Carrie",925,446.163064695153,26,5016,689.970061427191,1
"9","Carrie",956,440.072450097138,30,4959,702.980894341063,0
"10","Carrie",959,452.456777288655,26,4837,714.335857530099,1
"11","Carrie",881,488.423368828738,9,5082,738.490828351929,0
"12","Carrie",925,461.957596312421,16,5187,708.624670407404,0
"13","Carrie",912,484.526478457253,25,4836,744.695045376877,0
"14","Carrie",858,494.932585493932,16,5021,725.457169153752,0
"15","Carrie",946,481.694245201469,19,5093,733.134735030735,0
"16","Carrie",929,470.378572644925,21,5172,717.504048381319,0
"17","Carrie",904,491.30740949373,18,5131,749.540059080809,0
"18","Carrie",922,477.677703718169,18,4789,726.293824148243,2
"19","Carrie",938,479.51002564497,24,4966,734.10093592101,0
"20","Carrie",906,463.143444529365,27,4942,715.492390937952,0
"21","Carrie",900,469.372597870955,24,4981,730.605226652067,0
"22","Carrie",900,465.450060038473,23,4982,708.580460998686,0
"23","Carrie",931,491.326739326215,15,4836,725.079093404348,1
"24","Carrie",931,447.358832261476,21,4948,706.194276838079,0
"25","Carrie",901,471.309796651697,21,5302,722.159563753028,2
"26","Carrie",890,463.664245538375,18,5001,716.389436666832,0
"27","Carrie",876,522.382887727036,21,4950,770.634913526821,0
"28","Carrie",967,475.847719615684,35,5446,758.572965070448,1
"29","Carrie",874,499.43382237918,25,4716,763.81074763636,0
"30","Carrie",939,473.191005700674,19,5223,716.987136388941,0
"31","Carrie",894,473.883866596803,23,5003,715.120563619887,0
"32","Carrie",916,477.123071624155,23,5189,716.230767512713,0
"33","Carrie",915,468.444127482048,21,4807,704.025612037963,1
"34","Carrie",913,465.051775086818,18,4986,712.781335464504,1
"35","Carrie",862,486.589837107098,13,5124,745.223984629698,0
"36","Carrie",917,421.808649677064,31,4910,674.500471141402,0
"37","Carrie",915,440.42611916908,19,4878,684.166805661321,0
"38","Carrie",907,478.233297392054,21,4831,729.762237599772,0
"39","Carrie",900,463.544981378798,25,4912,730.325257444265,0
"40","Carrie",953,486.204214521831,19,5176,747.309426962121,1
"41","Carrie",891,482.305097378797,22,4798,723.208935968693,0
"42","Carrie",895,469.173117965276,22,4830,730.207835032551,0
"43","Carrie",862,520.149524125206,11,5042,730.891562743247,0
"44","Carrie",935,464.880346878201,20,5070,719.224681485051,0
"45","Carrie",919,442.671656362078,28,4847,707.082374158723,0
"46","Carrie",891,498.845948879234,25,5228,703.474611518047,0
"47","Carrie",904,466.535615335095,19,5130,723.958978333397,0
"48","Carrie",948,457.165751173834,22,4908,706.15992507837,0
"49","Carrie",925,450.828310659918,23,4938,702.912568105133,0
"50","Carrie",902,482.437551747537,21,5020,728.96514114556,1
"51","Carrie",935,460.877730330501,18,5147,705.478017171848,3
"52","Carrie",899,465.669743126331,20,5057,721.778156026518,0
"53","Carrie",895,441.697845396002,22,4777,699.201483722755,0
"54","Carrie",950,456.924076951812,20,5158,730.184723848936,0
"55","Carrie",866,475.071178897328,15,5092,739.766568494229,0
"56","Carrie",856,469.408251749834,22,5220,732.319506332509,0
"57","Carrie",927,462.153890013883,25,5052,708.180474335184,0
"58","Carrie",934,466.411422363846,23,4999,733.479254620788,1
"59","Carrie",965,426.739886500411,27,4824,678.28243280308,0
"60","Carrie",942,473.438469188756,15,5118,711.952937954198,1
"61","Carrie",944,472.760678810557,28,5014,720.177829070768,0
"62","Carrie",995,464.327935700082,18,5070,725.959799075871,0
"63","Carrie",924,439.8827075322,27,5041,703.482107806041,0
