"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Cassidy",16,768.244488551529,0,63,695.241215965483,0
"2","Cassidy",32,796.529112958723,0,50,857.059236330148,0
"3","Cassidy",24,310.842402181846,0,58,764.79884370894,0
"4","Cassidy",40,381.04409367493,0,40,698.257804961434,0
"5","Cassidy",9,633.109751088532,0,60,735.671089464982,0
"6","Cassidy",20,859.28532823208,0,58,660.130229426401,0
"7","Cassidy",25,803.485347968293,0,56,682.282193962415,0
"8","Cassidy",36,454.232814151946,0,68,649.986573094402,0
"9","Cassidy",26,665.934155404733,0,70,666.11789970111,0
"10","Cassidy",12,941.545137802042,0,49,791.778237467386,0
"11","Cassidy",20,230.09052670455,0,61,745.485936426195,0
"12","Cassidy",6,431.043956667855,0,42,737.537994965767,0
"13","Cassidy",16,816.689036946777,0,45,821.723810645914,0
"14","Cassidy",44,466.654688254796,0,37,797.199847582932,0
"15","Cassidy",44,689.823331245546,0,42,901.312141144671,0
"16","Cassidy",12,337.985597927695,0,53,757.333690619085,0
"17","Cassidy",8,457.43978374349,0,51,706.652058491253,0
"18","Cassidy",7,1154.48502544287,0,74,681.671000753962,0
"19","Cassidy",20,641.356488851792,0,50,695.333836784104,0
"20","Cassidy",18,434.319069802842,0,60,753.735405551287,0
"21","Cassidy",40,491.046562001621,0,44,767.063487945705,0
"22","Cassidy",18,350.526611594914,0,59,675.690847757672,0
"23","Cassidy",36,229.451032372525,0,56,598.434379230626,0
"24","Cassidy",12,570.57881798655,0,64,726.244044761688,0
"25","Cassidy",12,352.093208857955,0,55,675.080930454821,0
"26","Cassidy",22,777.729655782133,0,36,763.958130094866,0
"27","Cassidy",0,NA,0,39,733.322903355069,0
"28","Cassidy",28,805.129337876426,0,32,759.764703733526,0
"29","Cassidy",22,744.380220761395,0,54,692.493022445451,0
"30","Cassidy",31,464.20727651895,0,52,750.040628246635,0
"31","Cassidy",14,818.877458499242,0,51,773.67485056597,0
"32","Cassidy",8,197.09471147246,0,54,611.463638824763,0
"33","Cassidy",38,442.054140071148,0,57,627.95019506293,0
"34","Cassidy",23,779.034702812058,0,41,776.362731095476,0
"35","Cassidy",20,384.224020923378,0,66,624.815525479286,0
"36","Cassidy",18,579.684795694619,0,62,720.337084678297,0
"37","Cassidy",14,701.613769791697,0,47,912.861589161151,0
"38","Cassidy",38,437.566034513467,0,73,691.718259481593,0
"39","Cassidy",18,932.133794910805,0,35,758.212090928879,0
"40","Cassidy",33,452.133032168679,0,56,642.242188870991,0
"41","Cassidy",26,830.615771412085,0,51,761.574120938963,0
"42","Cassidy",30,647.13251506025,0,58,620.180036869904,0
"43","Cassidy",48,437.782968860252,0,61,701.229810484254,0
"44","Cassidy",46,374.233788746547,0,64,629.922076193209,0
"45","Cassidy",34,374.067899661898,0,62,636.606714100524,0
"46","Cassidy",8,210.993211164192,0,67,731.273249267519,0
"47","Cassidy",48,482.330548700582,0,54,723.483076936998,0
"48","Cassidy",22,633.025325463125,0,48,707.092148503353,0
"49","Cassidy",36,699.37726337303,0,70,630.449361327867,0
"50","Cassidy",25,636.71031065924,0,41,709.441243765463,0
"51","Cassidy",12,386.152655991361,0,51,679.479272039545,0
"52","Cassidy",10,363.173758892185,0,49,670.216501112145,0
"53","Cassidy",20,403.466951765309,0,60,781.372255144699,0
"54","Cassidy",20,457.656061750845,0,56,667.016611353887,0
"55","Cassidy",54,535.074141185133,0,51,773.289208363627,0
"56","Cassidy",28,463.393131739989,0,55,687.14303533057,0
"57","Cassidy",60,438.606972343424,0,54,707.831389870236,0
"58","Cassidy",4,1772.91279347314,0,61,727.179877677888,0
"59","Cassidy",10,882.399298371482,0,54,713.316194184734,0
"60","Cassidy",26,486.810063626464,0,38,639.883680069831,0
"61","Cassidy",28,714.864242515698,0,72,571.640776177356,0
"62","Cassidy",20,392.091568464245,0,48,705.264646868164,0
"63","Cassidy",29,671.878335072829,0,60,761.38425933259,0
"64","Cassidy",22,697.897607656599,0,59,703.524765799616,0
"65","Cassidy",34,320.519310237761,0,62,671.945393286938,0
"66","Cassidy",8,1342.92646725919,0,54,777.820617716926,0
"67","Cassidy",40,352.512891929743,0,53,601.77510401492,0
"68","Cassidy",68,503.116434839716,0,60,575.121365705827,0
"69","Cassidy",29,340.898914802904,0,73,626.856838998811,0
"70","Cassidy",48,252.785640059944,0,67,658.746674915961,0
"71","Cassidy",26,379.133242771726,0,38,664.887454443064,0
"72","Cassidy",20,776.670878290233,0,33,772.333971519095,0
"73","Cassidy",34,522.563510637177,0,54,736.237275405815,0
"74","Cassidy",12,542.396875580736,0,54,688.091557576733,0
"75","Cassidy",20,820.286854867422,0,53,733.277048185134,0
"76","Cassidy",40,389.232601549338,0,65,669.507322855481,0
"77","Cassidy",14,399.998357108582,0,52,663.07836360552,0
"78","Cassidy",18,1368.03942414074,0,53,719.05294506072,0
"79","Cassidy",56,525.377549840012,0,60,667.515222685994,0
"80","Cassidy",22,371.108880266672,0,40,637.293702622634,0
"81","Cassidy",4,1157.62175150545,0,56,725.535280991568,0
"82","Cassidy",47,422.827852720524,0,55,572.105307301601,0
"83","Cassidy",16,700.980752868652,0,54,751.242448649399,0
"84","Cassidy",22,409.075592835246,0,62,693.288861184625,0
"85","Cassidy",43,414.652445332342,0,59,669.584505329989,0
"86","Cassidy",13,1100.54132754412,0,61,761.92795847859,0
"87","Cassidy",4,1132.80272084644,0,58,684.130638879227,0
"88","Cassidy",34,490.913150947418,0,47,651.280512035425,0
"89","Cassidy",16,426.605026670426,0,57,714.261093837361,0
"90","Cassidy",54,495.980635910177,0,28,643.188363993104,0
"91","Cassidy",33,458.555369500232,0,36,700.633966985772,0
"92","Cassidy",12,225.787346312971,0,69,599.585711406269,0
"93","Cassidy",57,518.634347010428,2,56,608.63634524517,0
"94","Cassidy",22,720.293277842895,0,50,760.31729963004,0
"95","Cassidy",4,912.626299135218,0,49,716.29519035784,0
"96","Cassidy",36,678.851467358931,0,54,731.132787251622,0
"97","Cassidy",54,425.677168605609,0,54,765.55224889802,0
"98","Cassidy",10,539.591460271143,0,75,653.691643422002,0
"99","Cassidy",32,611.01683452476,0,59,662.39080862886,0
"100","Cassidy",38,423.097615779151,0,55,666.838951525621,0
"101","Cassidy",27,608.518493301937,0,60,708.784510908134,0
"102","Cassidy",34,524.137830207296,0,54,726.440356617436,0
"103","Cassidy",10,655.888059864249,0,47,749.88199921059,0
"104","Cassidy",22,584.009940936934,0,61,674.717374233153,0
"105","Cassidy",32,381.497700882744,0,40,673.883360597373,0
"106","Cassidy",50,576.110625595641,0,43,690.540910554573,0
"107","Cassidy",26,323.488194029104,0,67,622.739691943089,0
"108","Cassidy",28,671.822273141457,0,48,714.678531815793,0
"109","Cassidy",32,628.751646947887,0,41,793.648819372749,0
"110","Cassidy",20,1093.95452921224,0,54,688.956760546034,0
"111","Cassidy",40,500.324112145499,0,65,721.156406660839,0
"112","Cassidy",16,392.513019237273,0,46,722.739050103646,0
"113","Cassidy",40,402.584062064926,0,56,684.335411763585,0
"114","Cassidy",12,1219.85181763399,0,39,738.506213339781,0
"115","Cassidy",26,361.46804321855,0,51,659.108562348235,0
"116","Cassidy",8,1251.72630989783,0,47,865.555802933314,0
"117","Cassidy",28,382.606152947854,0,45,730.147981950841,0
"118","Cassidy",10,1504.17498415495,0,51,788.590671405251,0
"119","Cassidy",49,475.453395613337,0,59,720.904299011737,0
"120","Cassidy",26,574.112316381551,0,46,773.702769403764,0
"121","Cassidy",20,385.47169368588,0,44,706.379320383272,0
"122","Cassidy",32,409.250351370325,0,51,730.21981695026,0
"123","Cassidy",37,443.100013079514,0,59,689.09593117507,0
"124","Cassidy",58,493.327317128977,0,60,730.069698968251,0
"125","Cassidy",20,675.712747095732,0,49,831.048286179686,0
"126","Cassidy",10,739.097168047412,0,69,698.826537749613,0
"127","Cassidy",29,710.501781624369,0,50,869.019301741746,0
"128","Cassidy",18,796.510072479576,0,53,704.131328877941,0
"129","Cassidy",16,528.804890427622,0,59,697.98688656894,0
"130","Cassidy",41,344.283113789114,0,68,609.409720495619,0
"131","Cassidy",24,618.381137707756,0,52,739.71894449431,0
"132","Cassidy",30,401.238134730392,0,53,735.152375723716,0
"133","Cassidy",26,770.77639952675,0,58,736.798975991536,0
"134","Cassidy",18,958.20382205798,0,43,822.503226725624,0
"135","Cassidy",26,338.09712001654,0,47,735.725473634898,0
"136","Cassidy",11,659.120669917929,0,63,770.898174701637,0
"137","Cassidy",30,358.671135326258,0,55,725.076501480759,0
"138","Cassidy",28,661.07294590887,0,58,689.619887600331,0
"139","Cassidy",33,426.241773877561,0,46,791.843671377396,0
"140","Cassidy",24,845.116688783299,0,44,677.188864592765,0
"141","Cassidy",34,348.553656386956,0,68,670.125264873055,0
"142","Cassidy",73,492.197265183537,0,70,698.529498861377,0
"143","Cassidy",18,481.745306927484,0,64,737.934488145052,0
"144","Cassidy",16,807.200732707717,0,49,788.499195377012,0
"145","Cassidy",8,1706.70893176251,0,61,692.341376175723,0
"146","Cassidy",25,332.664527734392,0,60,694.405875507844,0
"147","Cassidy",10,553.539493778323,0,77,780.661575260241,0
"148","Cassidy",44,578.352935436511,0,53,663.378584167794,0
"149","Cassidy",48,402.950259586874,0,74,668.012266478148,0
"150","Cassidy",18,538.398545420049,0,58,692.500450930677,0
"151","Cassidy",22,142.030269123495,0,66,618.463549593278,0
"152","Cassidy",4,1157.557021549,0,43,767.530199260172,0
"153","Cassidy",20,328.73491814978,0,46,758.746565264648,0
"154","Cassidy",30,295.766457690614,0,64,657.529407056773,0
"155","Cassidy",12,1022.30569921066,0,46,855.98948874551,0
"156","Cassidy",38,392.674528215691,0,61,681.001657154397,0
"157","Cassidy",34,548.282660220856,0,57,685.937808065065,0
"158","Cassidy",46,356.969234361395,0,51,742.453484840911,0
"159","Cassidy",36,289.700973975709,0,50,664.740016807344,0
"160","Cassidy",14,948.840486048707,0,52,773.957021751191,0
"161","Cassidy",12,652.941350231399,0,55,725.490421000652,0
"162","Cassidy",20,769.148945196866,0,53,778.504870047292,0
"163","Cassidy",28,405.890935827738,0,47,681.28200743787,0
"164","Cassidy",46,468.316376462175,0,46,715.497264213461,0
"165","Cassidy",20,617.680383447165,0,58,700.194298103858,0
"166","Cassidy",14,84.9874522332915,0,53,736.548014659081,0
"167","Cassidy",24,440.908812222962,0,56,663.38110382837,0
"168","Cassidy",6,647.086289424691,0,47,774.862083852462,0
"169","Cassidy",26,495.994398197725,0,45,651.01215610483,0
"170","Cassidy",46,402.412460880989,0,48,644.285710342466,0
"171","Cassidy",30,686.243106785548,0,62,757.629943303185,0
"172","Cassidy",28,777.646266170845,0,53,651.030169435034,0
"173","Cassidy",20,493.546176764942,0,65,608.350601427114,0
"174","Cassidy",42,375.070568692016,0,51,771.541831558978,0
"175","Cassidy",36,464.142083032512,0,59,690.397680414725,0
"176","Cassidy",14,187.698022348533,0,57,670.339181224735,0
"177","Cassidy",52,307.542863676881,0,63,654.702288313068,0
"178","Cassidy",30,562.476659517181,0,47,668.157445685801,0
"179","Cassidy",36,397.693647376041,0,50,708.955431255879,0
"180","Cassidy",20,647.33449989037,0,64,727.789516580239,0
"181","Cassidy",14,238.585265807535,0,64,676.309233367794,0
"182","Cassidy",36,284.669188292141,0,73,684.768261278022,0
"183","Cassidy",6,1012.78743019414,0,54,651.708073044149,0
"184","Cassidy",8,303.277646424065,0,47,754.077498314316,0
"185","Cassidy",41,406.55666603131,0,51,662.341408542646,0
"186","Cassidy",28,752.634873448079,0,57,638.171336015726,0
"187","Cassidy",34,320.339492960721,0,43,687.029203334106,0
"188","Cassidy",15,899.474589093908,0,69,726.365330487579,0
"189","Cassidy",56,415.457089692974,0,44,656.505401247603,0
"190","Cassidy",20,337.548350225547,0,63,651.40640456866,0
