"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Catherine",6,3043.07831153406,0,107,4040.04443256487,0
"2","Catherine",12,2860.19335460583,0,105,3920.51993869537,0
"3","Catherine",8,2881.92610999585,0,94,3830.77819007099,0
"4","Catherine",2,2734.29309408464,0,88,3962.08700812264,0
"5","Catherine",10,3187.92185299436,0,89,3993.77912331714,0
"6","Catherine",6,3380.70849142902,0,96,3915.78178159991,0
"7","Catherine",9,3111.70384193727,0,101,3660.67571438809,0
"8","Catherine",8,3122.24722510698,0,122,3817.41479209939,0
"9","Catherine",10,3331.63972263403,0,89,3769.05348809187,0
"10","Catherine",6,2980.99749627984,0,73,3811.26792905874,0
"11","Catherine",10,3151.49464521029,0,99,3829.47854975091,0
"12","Catherine",6,2965.20046456744,0,93,3827.36891207525,0
"13","Catherine",9,3351.79870124777,0,90,3767.0674295942,0
"14","Catherine",4,3501.04322620015,0,90,4067.94335188735,0
"15","Catherine",2,3449.1726949719,0,88,3978.63760436442,0
"16","Catherine",8,3372.21157151357,0,96,3831.23554784725,0
"17","Catherine",12,3332.04467308022,0,81,3852.71805413315,0
"18","Catherine",4,3052.79514881622,0,99,3855.21498840602,0
"19","Catherine",6,3289.21619528477,0,96,3825.34495161139,0
"20","Catherine",4,3040.65344799814,0,97,4038.55086151072,0
"21","Catherine",0,NA,0,92,4191.57505911719,0
"22","Catherine",10,3337.43138505484,0,110,3853.12226269353,0
"23","Catherine",7,2995.6416698595,0,99,3853.00964884639,0
"24","Catherine",6,3446.57252737371,0,91,3825.76300296931,0
"25","Catherine",4,2788.45973044138,0,102,3966.84044577169,0
"26","Catherine",2,3466.4136194832,0,96,3995.82005556474,0
"27","Catherine",4,3065.21846140229,0,83,3841.23078383446,0
"28","Catherine",7,3163.03000002722,0,78,3708.68183697316,0
"29","Catherine",1,3443.23318517739,0,109,4017.69057413545,0
"30","Catherine",6,3143.4065225881,0,76,3942.79156249347,0
"31","Catherine",8,3228.46827446039,0,103,3795.03265190132,0
"32","Catherine",8,3261.28647442232,0,101,4103.50856775465,0
"33","Catherine",6,3024.49767958824,0,102,3796.57544583628,0
"34","Catherine",0,NA,0,82,3958.56204929193,0
"35","Catherine",2,3395.05570411638,0,85,3978.21334665212,0
"36","Catherine",2,3541.74692210662,0,92,3912.44609356696,0
"37","Catherine",12,3129.56510875743,0,81,3878.26662074194,0
"38","Catherine",12,3019.36722008344,0,104,3833.99828712666,0
"39","Catherine",2,3006.26690957007,0,101,3669.66551732062,0
"40","Catherine",5,2983.06398617299,0,104,3768.62130517424,0
"41","Catherine",4,2914.87000128913,0,98,3816.95310617891,0
"42","Catherine",6,2894.57219628883,0,108,3673.72526750373,0
"43","Catherine",0,NA,0,94,3966.94357615703,0
"44","Catherine",4,3158.10670233587,0,83,3800.78692999791,0
"45","Catherine",6,3042.09455278107,0,81,3886.20679865985,0
"46","Catherine",4,3325.26699103421,0,85,3929.86719634894,0
"47","Catherine",9,3039.78866377809,0,82,3799.32332563403,0
"48","Catherine",2,3170.37581206104,0,89,3902.68198381894,0
"49","Catherine",0,NA,0,98,3786.69964007479,0
"50","Catherine",4,3020.35930901018,0,92,3713.56475989126,0
"51","Catherine",7,2931.20779005121,0,83,3814.4973716639,0
"52","Catherine",6,3300.99471426688,0,88,3918.19278972811,0
"53","Catherine",11,3218.04173179015,0,84,3797.76811458669,0
