"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Charlie",770,632.341090916164,70,1688,949.365193321322,0
"2","Charlie",810,552.771988124076,78,1835,887.302425759593,0
"3","Charlie",898,651.735845576433,66,1912,881.01469806161,0
"4","Charlie",876,573.777249548128,67,1771,921.731468605481,0
"5","Charlie",870,643.529507430961,70,1850,917.757669180299,0
"6","Charlie",959,555.037011065761,80,1787,944.815209131816,0
"7","Charlie",881,620.29832082915,74,1652,943.179879111208,0
"8","Charlie",880,619.491595425065,62,1783,931.498545551123,0
"9","Charlie",865,579.049448724284,66,1881,883.001833241229,0
"10","Charlie",835,609.64568420798,70,1864,931.58480042386,0
"11","Charlie",902,652.78224214665,62,1997,895.584219342752,0
"12","Charlie",820,588.861690158765,52,1884,899.071933468689,0
"13","Charlie",847,589.641222439423,57,1763,880.742386166208,0
"14","Charlie",854,597.289399440437,68,1885,914.929786089654,0
"15","Charlie",776,540.646147298942,60,2049,924.988656800055,0
"16","Charlie",867,635.470964879819,56,1724,927.871750791405,0
"17","Charlie",828,569.736413540746,79,1819,857.648174438928,0
"18","Charlie",908,633.600293401252,73,1712,977.797431370496,0
"19","Charlie",858,612.625606621538,75,1676,935.302914834692,0
"20","Charlie",825,552.742291747182,50,1907,879.603257519027,0
"21","Charlie",892,513.750349763866,93,1686,886.264759138189,0
"22","Charlie",860,572.61140842791,55,1769,900.740815479438,0
"23","Charlie",951,649.197421877958,53,2050,901.172645192194,0
"24","Charlie",885,609.323891648968,81,1901,897.219985915602,0
"25","Charlie",780,566.805467322566,102,1804,849.675824405234,0
"26","Charlie",814,590.652342019263,64,1893,930.776410350431,0
"27","Charlie",844,614.153330869464,57,1795,900.842358257081,0
"28","Charlie",794,519.79344515757,69,1718,888.507671817648,0
"29","Charlie",828,598.916965314336,67,1801,912.317096065097,0
"30","Charlie",904,575.205719249136,65,1952,922.943870158483,0
"31","Charlie",940,609.985453805321,64,1742,914.752627192884,0
"32","Charlie",907,584.082642097528,68,2014,888.162469989585,0
"33","Charlie",776,576.920140091881,77,1899,940.671947626956,0
"34","Charlie",780,474.370743913348,73,1887,875.302427695895,0
"35","Charlie",822,591.113466774473,73,1579,939.857530564023,0
"36","Charlie",908,585.509683285532,62,1969,918.160144757199,0
"37","Charlie",861,650.90907982755,56,1986,952.781400515826,0
"38","Charlie",930,573.285317037157,67,1840,878.720343433258,0
"39","Charlie",845,564.179971500389,67,1709,929.834257846332,0
"40","Charlie",914,563.209599418815,80,1872,923.559583580221,0
"41","Charlie",983,548.02000860079,70,1865,878.137860187415,0
"42","Charlie",737,561.319589899119,71,1878,887.13585139709,0
"43","Charlie",969,619.740461693417,59,1805,884.243817422193,0
"44","Charlie",856,609.205702756933,70,1825,882.081856269872,0
"45","Charlie",837,652.357276608765,69,1612,917.335569442416,0
"46","Charlie",850,636.303075766933,65,1927,923.621909520507,0
"47","Charlie",771,573.63116906329,68,1930,873.84977504622,0
"48","Charlie",832,619.735745538603,75,1627,919.436102389865,0
"49","Charlie",733,557.661384314136,50,1964,924.985746597521,0
"50","Charlie",864,561.549983904625,69,1942,917.423500343702,0
"51","Charlie",925,660.04878637647,78,2024,894.583620016036,0
"52","Charlie",783,568.604008978331,60,1930,895.024121990023,0
"53","Charlie",919,703.117601191579,63,2073,877.985316489915,0
"54","Charlie",910,587.856617028951,65,1886,859.624183572523,0
"55","Charlie",792,584.603077753103,74,1753,883.648117193434,0
"56","Charlie",839,537.064192977767,65,1779,903.46767689494,0
"57","Charlie",736,634.700680742907,65,1934,883.456562643464,0
"58","Charlie",825,623.357435273824,62,1917,961.883158866441,0
"59","Charlie",902,620.450155053553,61,1793,905.804642680779,0
"60","Charlie",843,562.070735639251,70,1888,864.237567189069,0
"61","Charlie",793,533.128615775236,68,1785,889.020657473858,0
"62","Charlie",805,560.298617226941,82,1920,886.648917942081,0
"63","Charlie",902,530.225471702718,84,1830,950.893870403691,0
"64","Charlie",842,664.404045751535,57,1829,927.136900945484,0
"65","Charlie",834,547.961261989646,77,1658,953.273677626597,0
"66","Charlie",895,558.422070010904,73,1709,891.884978775474,0
"67","Charlie",842,542.785500814911,75,2028,897.469294540482,0
"68","Charlie",1043,603.518011437252,67,1983,905.820315935837,0
"69","Charlie",790,617.762520733947,81,1767,874.800307627317,0
"70","Charlie",839,616.89037856758,53,1708,895.582710970534,0
"71","Charlie",876,626.73398910258,69,1788,889.571243611319,0
"72","Charlie",991,646.796034501801,71,1905,885.644260169947,0
"73","Charlie",819,550.750199684652,69,1729,871.70988714776,0
"74","Charlie",808,525.00530190575,80,1712,908.839212655552,0
"75","Charlie",943,603.031631105199,55,2041,913.685522434025,0
"76","Charlie",839,639.213457079829,55,1763,896.857478678841,0
"77","Charlie",919,565.070023814569,77,1717,899.179051459527,0
"78","Charlie",901,586.023435608609,61,1927,910.055250635654,0
"79","Charlie",845,682.896727511521,72,1893,937.382434681368,0
"80","Charlie",779,592.669494608073,67,1935,939.147247021065,0
"81","Charlie",917,574.631474431264,71,1763,903.960334731096,0
"82","Charlie",842,639.375223083954,68,1911,855.759727536961,0
"83","Charlie",913,622.919425563913,75,1948,907.013745250119,0
"84","Charlie",841,602.053720646327,75,1768,909.422135834878,0
"85","Charlie",733,585.855935836945,82,1867,906.460596108087,0
"86","Charlie",832,607.561986854533,72,1761,900.684959180116,0
"87","Charlie",839,584.56134194549,77,1879,929.175434507662,0
"88","Charlie",853,630.237009450422,68,1871,919.174529671334,0
"89","Charlie",882,622.2924199424,53,1803,920.800953089798,0
"90","Charlie",825,616.419722430468,55,1783,892.276758489711,0
"91","Charlie",822,632.545072209789,76,1740,907.150898801237,0
"92","Charlie",805,634.544587104519,48,1784,860.167754406779,0
"93","Charlie",886,680.682784478057,53,1925,904.271540193499,0
"94","Charlie",901,649.564763306658,65,1876,860.601275924711,0
"95","Charlie",802,626.486977353229,69,2057,881.934894961136,0
"96","Charlie",891,589.629784014439,68,1895,960.319978933398,0
"97","Charlie",784,517.448283558689,56,1985,846.628248029945,0
"98","Charlie",910,608.5159960869,67,1878,956.653082050804,0
"99","Charlie",936,539.310971867518,74,1968,840.488468852387,0
"100","Charlie",736,483.040289132683,82,1899,851.981307751002,0
"101","Charlie",770,552.962816255791,77,1574,881.791529566251,0
"102","Charlie",757,614.604422273395,50,1896,925.613318810043,0
"103","Charlie",923,578.919091679975,62,1805,876.788496054083,0
"104","Charlie",837,543.850083355699,76,1735,898.67679131649,0
"105","Charlie",799,641.096357800663,67,2007,838.710528117001,0
"106","Charlie",884,594.451564101015,63,1813,893.59926681025,0
"107","Charlie",906,589.260173467081,78,1771,904.510211572204,0
"108","Charlie",807,573.778769490893,60,1673,926.790364111855,0
"109","Charlie",928,541.519354226787,68,2068,940.680174856833,0
"110","Charlie",916,641.283447048834,72,1852,930.073452215248,0
"111","Charlie",805,530.993417306139,53,1779,859.041528885556,0
"112","Charlie",932,535.605334107055,66,2008,900.144743693827,0
"113","Charlie",710,524.699355713646,47,1589,934.094504805887,0
"114","Charlie",889,585.445681395839,68,1892,941.470641861304,0
"115","Charlie",824,631.689149239504,55,1891,876.119795992959,0
"116","Charlie",963,654.580839620549,56,1951,922.575216506977,0
"117","Charlie",783,591.00826979281,79,1862,884.308708883011,0
"118","Charlie",904,599.080862479786,79,1860,871.601509170855,0
"119","Charlie",858,561.670361021907,86,1924,873.658066797239,0
"120","Charlie",812,580.498977409763,60,1790,921.528099326429,0
"121","Charlie",771,602.981973409601,63,1691,904.766240277491,0
"122","Charlie",902,595.812137300986,67,1886,846.553175476395,0
"123","Charlie",975,623.352077097127,55,1762,888.349131928933,0
"124","Charlie",813,605.091773392105,70,1790,932.159998579677,0
"125","Charlie",793,599.274196572518,83,1857,930.351049193933,0
"126","Charlie",792,529.379818807092,78,1579,946.827098482131,0
"127","Charlie",694,493.270931442949,62,2050,893.473946801756,0
"128","Charlie",845,516.869519632963,76,1699,901.824255920917,0
"129","Charlie",802,514.751011440125,87,1863,882.896397804575,0
"130","Charlie",794,577.967349452109,54,1912,900.741758351636,0
"131","Charlie",968,574.190921713261,74,1697,933.823631039457,0
"132","Charlie",810,551.434598307897,52,1769,887.778645729609,0
