"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Cynthia",699,2278.49052180398,0,3692,2435.01338221784,0
"2","Cynthia",682,2231.32432076623,0,3807,2427.57114653518,0
"3","Cynthia",743,2169.1669642789,0,3760,2442.79225274885,0
"4","Cynthia",731,2220.94209477847,0,3874,2431.94909440463,0
"5","Cynthia",690,2230.05049944702,1,3781,2422.00256087748,0
"6","Cynthia",723,2242.0351185009,0,3838,2412.29174058724,0
"7","Cynthia",613,2261.06486280488,0,3829,2446.13468834099,0
"8","Cynthia",710,2240.73475774654,0,3734,2426.57430779134,0
"9","Cynthia",663,2255.62925153592,0,3631,2462.59255286781,0
"10","Cynthia",697,2281.81339895827,0,3797,2448.55163320752,0
"11","Cynthia",717,2248.37740141386,0,3890,2433.70661392957,0
"12","Cynthia",701,2268.33902038017,2,3745,2425.56265631823,0
"13","Cynthia",732,2255.83459341029,0,3647,2436.72533551747,0
"14","Cynthia",665,2201.93238055677,1,3821,2415.34384860575,0
"15","Cynthia",688,2181.5486421602,0,3839,2420.0725188773,0
"16","Cynthia",716,2262.71135900964,0,3754,2442.69826350846,0
"17","Cynthia",746,2233.65555203774,0,3672,2412.71129170416,0
"18","Cynthia",682,2254.58381223791,1,3880,2404.91802951231,0
"19","Cynthia",769,2199.15360244277,0,3837,2430.90862063617,0
"20","Cynthia",760,2204.62369773482,0,3891,2417.07833246414,0
"21","Cynthia",726,2177.10079609168,0,3870,2407.18025188551,0
"22","Cynthia",675,2247.4730128488,0,3734,2431.80783281128,0
"23","Cynthia",687,2238.17717053815,0,3939,2433.59577356601,0
"24","Cynthia",733,2273.66294018877,0,3937,2420.85950264511,0
"25","Cynthia",667,2286.86436573467,0,3742,2422.37386430288,0
"26","Cynthia",706,2269.36742826303,0,3756,2450.34123510823,0
"27","Cynthia",696,2225.96705050926,0,3897,2435.55956582778,0
"28","Cynthia",753,2215.0828180782,1,3787,2393.74191899641,0
"29","Cynthia",677,2262.40751479025,1,3744,2469.36147162031,0
"30","Cynthia",684,2264.65774853011,0,3755,2418.85767372566,0
"31","Cynthia",713,2217.74616205955,0,3734,2401.73134828274,0
"32","Cynthia",708,2207.51348533451,0,3760,2386.3103498511,0
"33","Cynthia",710,2207.25827471034,0,3674,2420.37486670814,0
"34","Cynthia",666,2225.65542411692,0,3744,2413.00480685546,0
"35","Cynthia",749,2200.02448983064,0,3675,2399.49480842762,0
"36","Cynthia",680,2266.8586602989,1,3977,2396.20536614124,0
"37","Cynthia",715,2189.22536798695,0,3973,2420.49970827618,0
"38","Cynthia",710,2187.30147573301,0,3918,2412.9359979578,0
"39","Cynthia",722,2241.21152620294,1,3796,2413.51668999147,0
"40","Cynthia",699,2259.15227232856,0,3833,2418.96928804676,0
"41","Cynthia",717,2232.00117191779,0,3823,2410.59798571505,0
"42","Cynthia",714,2219.95466738656,1,3592,2425.1443516796,0
"43","Cynthia",684,2184.94918407158,0,3689,2403.99050455544,0
"44","Cynthia",711,2174.89053618805,0,3893,2435.13222085392,0
"45","Cynthia",688,2268.39459470237,0,3696,2451.57243466644,0
"46","Cynthia",720,2242.36149646757,0,3806,2423.23243621975,0
"47","Cynthia",751,2232.94489300301,0,3815,2440.77493564843,0
"48","Cynthia",628,2237.075894209,0,3598,2475.45725307536,0
"49","Cynthia",729,2149.61154904716,0,3931,2376.71445037554,0
"50","Cynthia",693,2207.78137034913,2,3792,2412.28007104214,0
"51","Cynthia",766,2221.91481563113,0,4000,2419.61293313635,0
"52","Cynthia",659,2281.57917439146,0,3832,2388.79096463388,0
"53","Cynthia",664,2311.95038107823,0,3767,2432.61809153504,0
"54","Cynthia",787,2245.88154344089,0,3848,2404.26573611885,0
"55","Cynthia",674,2219.93712762555,0,3977,2397.65342468523,0
"56","Cynthia",693,2222.66695493111,0,3905,2419.61819585737,0
"57","Cynthia",772,2192.64278729427,0,3878,2399.60504088799,0
"58","Cynthia",700,2255.95552151451,0,3766,2399.52977852804,0
"59","Cynthia",731,2228.25737902709,0,3699,2425.93712878089,0
"60","Cynthia",658,2236.22187155661,1,3769,2415.43478611765,0
"61","Cynthia",714,2208.41961861853,0,3643,2425.6789490465,0
"62","Cynthia",766,2220.80220916431,0,3998,2388.64773794685,0
"63","Cynthia",710,2267.45765216833,0,3837,2445.79402054058,0
"64","Cynthia",730,2242.87130419103,1,3855,2442.51676904589,0
"65","Cynthia",714,2219.61342214872,0,3762,2419.21363832567,0
"66","Cynthia",705,2231.93649916426,1,3826,2436.10217676422,0
"67","Cynthia",667,2226.05189407635,0,3839,2432.02172712528,0
"68","Cynthia",648,2252.41541667206,0,3682,2432.41132126868,0
"69","Cynthia",693,2235.8103692133,0,3716,2429.79818599499,0
"70","Cynthia",698,2222.37548972,0,3821,2420.82780359045,0
"71","Cynthia",698,2231.49237262117,0,3901,2440.0015761697,0
"72","Cynthia",704,2213.83647643379,0,3657,2424.29477721328,0
"73","Cynthia",693,2243.30659901718,1,3750,2384.26714994128,0
"74","Cynthia",701,2221.15456784697,1,3933,2399.98665001659,0
"75","Cynthia",719,2184.35913761821,0,3735,2427.40470269568,0
"76","Cynthia",661,2199.28527920326,0,3834,2370.68268596666,0
"77","Cynthia",711,2246.06945287603,0,3881,2416.62134653088,0
"78","Cynthia",688,2255.41649168179,1,3680,2460.26521369476,0
"79","Cynthia",715,2265.37467891565,0,3740,2409.33503864613,0
"80","Cynthia",702,2250.56696090533,1,3525,2431.16496126718,0
"81","Cynthia",734,2230.31049124486,0,3820,2421.41009994194,0
"82","Cynthia",667,2252.39880729181,0,3787,2432.82921366696,0
"83","Cynthia",708,2245.2216060214,0,3854,2404.90271594158,0
"84","Cynthia",663,2232.28437342127,1,3750,2469.16422849638,0
"85","Cynthia",721,2203.20366211295,0,3767,2438.31828810125,0
"86","Cynthia",743,2261.14647742358,0,3748,2426.37600970546,0
"87","Cynthia",759,2127.36021894117,1,3744,2420.17821081868,0
"88","Cynthia",660,2214.05502189627,2,3764,2447.67388277052,0
"89","Cynthia",719,2205.56187940469,2,3667,2434.3244683369,0
"90","Cynthia",708,2285.08331045574,0,3865,2418.08302949596,0
"91","Cynthia",704,2198.82021283041,0,3886,2416.12447271795,0
"92","Cynthia",728,2192.41912777126,0,3855,2409.72247225861,0
"93","Cynthia",743,2214.91353876943,0,3802,2420.05159224313,0
"94","Cynthia",640,2246.27272471985,0,3746,2452.7028940564,0
"95","Cynthia",720,2212.14375478782,2,3730,2394.22292192826,0
"96","Cynthia",664,2289.81213068035,0,3823,2465.70414466122,0
"97","Cynthia",758,2251.26257866488,1,3666,2459.14586859544,0
"98","Cynthia",726,2201.20965674556,0,3759,2453.61762841252,0
"99","Cynthia",750,2200.89504644717,0,3922,2440.45953112833,0
"100","Cynthia",675,2229.69113594549,0,3812,2443.75022207375,0
"101","Cynthia",691,2230.30078273721,0,3859,2437.85302543771,0
"102","Cynthia",692,2264.83111208814,0,3758,2425.37249948992,0
"103","Cynthia",703,2253.27746940179,0,3721,2418.30293866192,0
"104","Cynthia",742,2192.49014142806,0,3746,2398.06978682113,0
"105","Cynthia",716,2215.78179759061,0,3734,2445.65022967638,0
"106","Cynthia",691,2259.29891708296,1,3768,2411.42726174929,0
"107","Cynthia",725,2232.33978186607,0,3882,2384.61294424711,0
"108","Cynthia",680,2252.07944253297,0,3967,2440.1963148005,0
"109","Cynthia",711,2234.90557466209,1,3837,2440.31094413144,0
"110","Cynthia",685,2255.2373745938,0,3546,2486.8496184628,0
"111","Cynthia",707,2218.21039279966,0,3771,2443.95547989105,0
"112","Cynthia",689,2239.89197809265,1,3831,2396.49206648146,0
"113","Cynthia",688,2229.13749665275,0,3748,2431.00894871647,0
"114","Cynthia",683,2213.28231239072,0,3918,2433.54382553177,0
"115","Cynthia",668,2205.55502573105,0,3849,2401.83578812305,0
"116","Cynthia",649,2252.06863657602,0,3631,2458.36267278684,0
"117","Cynthia",740,2198.89952154581,1,3756,2407.56251569697,0
"118","Cynthia",693,2222.94331629807,0,3655,2455.91541150183,0
"119","Cynthia",688,2223.67699316032,0,3668,2443.85359606637,0
"120","Cynthia",651,2250.48273539512,0,4009,2423.59169014263,0
"121","Cynthia",691,2210.33025267936,0,3709,2425.80768691071,0
"122","Cynthia",732,2177.16244328053,2,3795,2419.80094085331,0
"123","Cynthia",735,2208.29335351283,1,3908,2414.67026511918,0
"124","Cynthia",654,2248.19236893383,0,3917,2411.12722791011,0
"125","Cynthia",723,2239.24526619757,0,3827,2423.29780672027,0
"126","Cynthia",737,2177.22107991181,0,3825,2414.87786984974,0
"127","Cynthia",692,2289.06750656689,0,4078,2449.62633796688,0
"128","Cynthia",707,2194.22272197381,0,3682,2408.88359263739,0
"129","Cynthia",681,2231.51950581551,0,3654,2445.39197784662,0
"130","Cynthia",722,2208.07687859814,0,3783,2417.45350986044,0
"131","Cynthia",715,2214.24626788548,1,3780,2407.38938213345,0
"132","Cynthia",705,2254.81939756701,0,3701,2448.79612274928,0
"133","Cynthia",728,2242.39150353941,0,3799,2396.40921885825,0
"134","Cynthia",668,2217.98982298926,0,3720,2440.05317338562,0
"135","Cynthia",747,2214.26684119822,0,3875,2414.93221339023,0
"136","Cynthia",731,2192.77538097922,0,3818,2392.93310537711,0
"137","Cynthia",703,2181.46105792967,1,3785,2389.1046495783,0
"138","Cynthia",717,2201.66719466596,0,3653,2404.9968458239,0
"139","Cynthia",741,2184.55504168594,0,3984,2415.24386801684,0
"140","Cynthia",728,2259.99920739096,0,3713,2446.01406697267,0
"141","Cynthia",679,2264.18824351838,1,3836,2407.44136692792,0
"142","Cynthia",712,2274.21653444768,0,3892,2440.20359177546,0
"143","Cynthia",737,2252.02401445368,0,3765,2420.10503945164,0
"144","Cynthia",690,2256.89733021757,0,3893,2410.83114507835,0
"145","Cynthia",692,2285.02731071054,0,3597,2436.21645664358,0
"146","Cynthia",717,2263.88827308447,0,3834,2421.61161561693,0
"147","Cynthia",702,2259.94009746594,1,3898,2433.79699685584,0
"148","Cynthia",676,2220.01157027045,1,3855,2415.67308343918,0
"149","Cynthia",717,2245.64458814589,0,3815,2423.12506801408,0
"150","Cynthia",687,2196.2706621965,0,3744,2391.55925617583,0
"151","Cynthia",687,2198.23271873073,0,3764,2412.60524778738,0
"152","Cynthia",669,2230.88834464304,0,3830,2414.56737971104,0
"153","Cynthia",726,2243.9638281483,1,3643,2420.1545255757,0
"154","Cynthia",636,2244.86502984143,1,3672,2437.74050122298,0
"155","Cynthia",743,2215.25026572139,0,3710,2437.02242698134,0
"156","Cynthia",716,2233.48983063156,0,3717,2417.38634863301,0
"157","Cynthia",682,2252.94865732902,1,3905,2431.41392767807,0
"158","Cynthia",711,2246.40156177607,0,3770,2440.31229541357,0
"159","Cynthia",699,2254.26431638438,1,3927,2421.89821696532,0
"160","Cynthia",755,2243.68603865809,0,3768,2425.38498805769,0
"161","Cynthia",679,2228.2845440668,0,3825,2417.85398838162,0
"162","Cynthia",734,2220.56447259227,1,3842,2399.81771283763,0
"163","Cynthia",698,2233.37892941472,0,3866,2434.27308390441,0
"164","Cynthia",668,2182.77495380694,0,3721,2395.98496407283,0
"165","Cynthia",716,2221.33228694382,0,3763,2406.12544021424,0
"166","Cynthia",730,2207.95141810962,0,3465,2440.80519840735,0
"167","Cynthia",715,2223.34340666392,0,3761,2459.99806329311,0
"168","Cynthia",692,2255.55375152331,0,3923,2427.62486383233,0
"169","Cynthia",764,2270.81842202365,1,3835,2417.35808603007,0
"170","Cynthia",719,2215.24549802885,0,4034,2412.12409894395,0
"171","Cynthia",738,2221.71848256009,0,3823,2407.90500513633,0
"172","Cynthia",710,2192.63662616777,0,3839,2347.68764584149,0
"173","Cynthia",691,2198.61871647931,0,3574,2443.29883696875,0
"174","Cynthia",764,2194.14901780858,1,3878,2417.25156293575,0
"175","Cynthia",677,2255.08761149412,1,3805,2435.59230090152,0
"176","Cynthia",689,2237.59481418933,0,3724,2414.21698377294,0
"177","Cynthia",701,2234.40149662178,0,3806,2424.16830848295,0
"178","Cynthia",709,2203.57578065974,1,3914,2414.17047047291,0
"179","Cynthia",737,2224.93422668115,0,3889,2410.00111732998,0
"180","Cynthia",753,2258.48761922704,0,3827,2402.00513679168,0
"181","Cynthia",719,2217.09754216211,0,3836,2405.56806333319,0
"182","Cynthia",702,2271.22986445241,0,3679,2421.23482958666,0
"183","Cynthia",688,2207.65170007361,0,3634,2444.27471716628,0
