"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Danielle",298,4677.57709170667,1,1281,5107.62567725789,0
"2","Danielle",86,5516.14113857132,0,250,6977.25230191773,0
"3","Danielle",1234,4849.8242307321,7,3815,5049.550934423,0
"4","Danielle",606,4611.50126374603,1,2534,6105.18113600619,0
"5","Danielle",882,4074.85614107981,8,3644,5017.16747554652,2
"6","Danielle",282,7545.20362351385,0,747,6799.80046081649,0
"7","Danielle",329,3362.76198763115,1,1272,5013.93405040568,0
"8","Danielle",9,5393.30095305671,0,70,8653.78332927079,0
"9","Danielle",375,5419.89081384956,0,2045,5516.91877933093,0
"10","Danielle",783,5751.04618994262,1,3235,5729.63465676701,0
"11","Danielle",1310,3331.14478405496,14,4571,4231.04772485492,1
"12","Danielle",441,2826.64169115672,9,1408,4273.543194806,0
"13","Danielle",93,5973.77500780673,0,585,7238.9140022051,0
"14","Danielle",64,6172.12654814387,2,290,4747.68461287583,0
"15","Danielle",34,4436.05767069884,0,153,5099.57439449467,0
"16","Danielle",455,6367.8917989264,1,1775,6634.25474931622,0
"17","Danielle",994,5417.30829873003,2,2781,4649.1645412762,2
"18","Danielle",763,2810.3987864258,8,2703,4100.6801831216,5
"19","Danielle",224,6511.1335422604,0,875,7538.59663385987,0
"20","Danielle",60,7403.61287378005,0,234,4963.93094524897,0
"21","Danielle",378,4536.02519190699,1,1289,5440.0709312712,0
"22","Danielle",106,3412.56133719837,1,282,2509.50992975707,0
"23","Danielle",63,3131.08271843006,0,266,4924.39655598143,0
"24","Danielle",551,8436.5328335277,0,2544,7552.20962262549,2
"25","Danielle",308,5964.01708334292,0,1007,5144.92186694949,0
"26","Danielle",830,6615.56291491104,1,3458,6939.27825255975,0
"27","Danielle",515,5050.33899715298,2,2352,5944.57221593925,0
"28","Danielle",460,7445.23456216859,0,1842,9086.54857384857,1
"29","Danielle",227,6554.19523781486,1,1137,8122.61435270117,0
"30","Danielle",151,10117.094311398,2,502,7976.10693720798,0
"31","Danielle",639,2826.63708698079,7,2373,3998.68732272812,1
"32","Danielle",665,5223.75879944346,2,2983,5671.50094165925,0
"33","Danielle",141,7519.22954238347,2,658,8369.06562836685,0
"34","Danielle",362,5076.75792197532,2,1301,5971.6712922656,1
"35","Danielle",108,3486.43527411675,0,469,3049.63928035729,0
"36","Danielle",347,5089.74526491288,3,1541,6406.60810794967,0
"37","Danielle",364,7505.68579743926,1,1254,8192.73646384802,0
"38","Danielle",164,7838.99761254363,0,770,7279.39085244369,0
"39","Danielle",108,8901.57171206469,0,679,6322.81749159382,0
"40","Danielle",35,10361.3417157555,0,137,9209.2478210199,0
"41","Danielle",287,3141.3318665139,1,1175,4551.50782270215,1
"42","Danielle",140,1745.17448402271,2,645,3454.63092637915,0
"43","Danielle",1492,5717.42741790408,3,5681,6590.26812632117,1
"44","Danielle",101,4202.30331377075,0,259,4946.27714029483,0
"45","Danielle",645,3107.5607237459,4,2202,4684.4631097199,1
"46","Danielle",194,7244.68712400249,1,1039,8257.4913679661,0
"47","Danielle",642,4969.63955668,6,2802,6789.7931475832,2
"48","Danielle",1120,5014.89603604883,5,4121,5698.06527522755,0
"49","Danielle",371,4590.56317144655,3,1077,4222.49867538696,1
"50","Danielle",1313,4115.93758051734,9,4517,5391.79858826918,0
"51","Danielle",102,13236.1445545915,1,275,10048.5030208049,0
"52","Danielle",1281,4839.69498991199,4,3483,5567.76032369939,1
"53","Danielle",85,5829.93432950505,0,332,4009.20670442116,0
"54","Danielle",876,5834.53003821493,10,3454,6514.69986426142,1
"55","Danielle",510,4513.30144234498,3,1699,6384.22938127628,1
"56","Danielle",110,7246.2581198669,1,661,6819.67018021337,0
"57","Danielle",191,9381.05404996174,0,955,9179.18126848198,0
"58","Danielle",1039,5293.54149992047,5,3358,5473.88042200713,0
"59","Danielle",504,3488.53331760198,3,1469,4657.89305042936,0
"60","Danielle",390,6101.05611205476,0,1650,5484.76531781193,0
"61","Danielle",33,5981.26767892293,0,102,7370.60217320151,0
"62","Danielle",896,3251.85742403515,10,3435,3830.58775900977,3
"63","Danielle",213,3843.82756857741,0,782,4026.62844948007,0
"64","Danielle",101,4300.90774399656,0,529,5746.26123108441,0
