"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Dave",163,1019.01201755233,3,549,1050.32411278087,0
"2","Dave",187,960.832997089339,2,608,1035.38651123323,0
"3","Dave",177,871.952985641309,2,530,1074.17501499195,0
"4","Dave",291,923.872874949435,2,764,1056.58509228116,0
"5","Dave",250,874.453360875062,2,692,1078.15565312183,0
"6","Dave",233,954.993805525136,3,687,1114.02978571153,0
"7","Dave",188,908.688995410201,1,582,1021.04694595196,0
"8","Dave",232,961.504199672194,4,640,1171.27150256836,0
"9","Dave",184,942.851313786041,7,572,998.944186657553,0
"10","Dave",219,800.582274993419,3,588,1012.29316644084,0
"11","Dave",163,1045.2390334195,1,542,1117.24065163781,0
"12","Dave",343,769.951886208956,3,731,1037.72708582534,0
"13","Dave",176,987.780031193401,2,606,1104.12243634664,0
"14","Dave",204,975.352153221671,2,585,1037.49137367087,0
"15","Dave",290,816.838150533516,2,736,995.503131836817,1
"16","Dave",292,893.49999308925,4,721,1117.911296557,0
"17","Dave",221,935.087766232098,3,548,1144.30830405668,0
"18","Dave",248,876.920721254686,3,725,1035.70634349052,0
"19","Dave",213,968.370347516531,1,606,1143.70658584331,0
"20","Dave",223,972.841802459529,0,598,1057.46977584562,0
"21","Dave",236,857.958080819569,3,616,1029.53001101202,0
"22","Dave",256,814.730551497327,4,655,1025.45167889817,0
"23","Dave",196,892.300043659385,2,623,1060.04467705342,0
"24","Dave",193,960.854023495529,0,648,1123.30965600684,0
"25","Dave",255,932.026415548871,3,652,1150.70676615441,0
"26","Dave",203,938.301364977981,1,665,1013.90673944518,0
"27","Dave",187,920.621009815964,1,611,1058.69000537202,0
"28","Dave",213,963.683855524512,0,622,1145.36520038728,0
"29","Dave",187,1103.09209038925,1,640,1143.41655717483,0
"30","Dave",169,1028.99091410473,2,609,989.809497117748,0
"31","Dave",289,825.44356126158,2,680,1041.07010133834,0
"32","Dave",203,866.404711809344,1,690,987.579599349255,0
"33","Dave",250,823.845154641868,4,574,998.553419657257,0
"34","Dave",259,826.199257668533,3,757,1034.36046700787,0
"35","Dave",262,838.299435404069,1,691,1142.5321167415,0
"36","Dave",123,1167.81489848728,6,439,1113.45494620489,0
"37","Dave",202,852.37106671936,2,643,1063.0029183755,0
"38","Dave",210,923.710442604849,2,658,1086.55086380333,0
"39","Dave",204,984.111668192627,2,605,1112.29792098429,0
"40","Dave",202,837.382211407637,2,593,1032.91904291805,0
"41","Dave",296,815.186907912924,5,778,1070.00852916431,0
"42","Dave",153,1123.45256666435,3,569,1035.13109882895,0
"43","Dave",224,900.02767045193,2,589,1106.92999872977,0
"44","Dave",253,933.218892392386,2,698,1018.86974436227,0
"45","Dave",145,1030.13453512134,0,486,1129.86098854957,0
"46","Dave",203,952.223308414279,4,566,1133.96802212131,1
"47","Dave",250,923.409302412723,0,626,1088.56517393171,1
"48","Dave",180,949.524811302159,2,560,1094.70388864947,0
"49","Dave",222,875.041477697347,1,659,1041.49716742076,0
"50","Dave",183,1016.56521264643,4,603,1132.97523887481,0
"51","Dave",264,794.365175682091,1,696,1091.05956596263,0
"52","Dave",194,899.453006708881,6,607,1090.74542433832,0
"53","Dave",274,875.835918425112,5,718,1092.81736105286,0
"54","Dave",185,891.422572493157,4,581,1108.89519788644,0
"55","Dave",189,950.500512571406,0,580,1128.27511748349,0
"56","Dave",306,972.766746719913,0,787,1211.90151737974,1
"57","Dave",249,979.982115093756,1,713,1124.25920031127,1
"58","Dave",274,870.03293213616,3,660,1070.67778656612,0
"59","Dave",258,919.668920708367,1,603,1061.94772967943,0
"60","Dave",198,1085.05893669718,1,616,1068.40566708344,0
"61","Dave",197,961.092966128568,3,581,1083.58581153905,0
"62","Dave",225,913.186320524114,0,649,1042.4576514569,0
"63","Dave",217,927.33826733921,3,627,1078.37917725204,0
"64","Dave",208,956.202319287934,1,611,1075.26318956391,1
"65","Dave",232,951.118120859299,3,574,1104.51514419161,0
"66","Dave",219,930.280276548257,3,627,1065.23902630383,0
"67","Dave",213,963.05188568963,1,594,1117.4011251162,0
"68","Dave",230,967.435709444359,1,645,1058.34031487123,0
"69","Dave",247,931.583393241083,2,634,1104.80452501413,0
"70","Dave",240,1074.12732966381,2,708,1104.79157864135,0
"71","Dave",295,792.772189277887,2,683,1035.0863022603,1
"72","Dave",270,965.20403755308,6,737,1197.80700630167,0
"73","Dave",249,903.87565941501,1,680,1101.64978836214,0
"74","Dave",237,905.772162021754,1,687,1084.32691371381,0
"75","Dave",247,1153.99964588727,1,668,1250.99396045721,0
"76","Dave",279,905.907119479441,4,651,1075.88634212492,0
"77","Dave",262,909.864561363471,1,688,1078.2756430433,0
"78","Dave",199,973.19978635533,1,660,1119.6667418541,0
"79","Dave",234,965.249973311503,1,670,1032.60041399984,0
"80","Dave",181,945.361665720628,2,590,1038.17375175389,0
"81","Dave",242,887.618202158785,1,603,1074.62484703894,0
"82","Dave",165,1096.04836179938,3,664,1063.15181635642,0
"83","Dave",340,797.231405392479,6,842,1016.39467825763,0
"84","Dave",181,933.607811269392,0,612,1037.85717205018,0
"85","Dave",234,907.733650211419,0,690,1072.42862084583,1
"86","Dave",232,866.431090876773,3,631,1133.57760285984,0
"87","Dave",252,942.154680462526,4,666,1078.74977766269,0
"88","Dave",216,924.404632779216,2,646,1074.17176893225,0
"89","Dave",192,865.197242491983,2,597,1016.83292211603,0
"90","Dave",313,950.959508520263,1,655,1164.34886571999,1
"91","Dave",213,780.191192490637,3,619,1043.33331026998,0
"92","Dave",204,962.716634052711,3,644,1065.48778316808,0
"93","Dave",199,994.522543951759,2,623,982.502086403985,2
"94","Dave",204,950.031300070694,1,631,1107.4313083905,0
"95","Dave",234,956.270599712894,4,650,1150.69643221167,0
"96","Dave",226,898.460906251013,2,634,1083.89517523532,0
"97","Dave",280,757.678352028337,4,648,973.976485639984,0
"98","Dave",246,847.040814643689,2,647,1025.79227259712,0
"99","Dave",200,927.998956232555,2,573,1121.11508440387,0
"100","Dave",289,960.753052232306,2,774,1159.39695128618,0
"101","Dave",228,997.972454532378,0,628,1102.34774745565,0
"102","Dave",282,734.058881817306,3,675,1054.01418105865,0
"103","Dave",196,842.685622939565,2,681,1018.40218968132,0
"104","Dave",229,882.549567691195,1,620,1050.30598934815,0
"105","Dave",189,913.518281005285,3,609,1016.60250817316,0
"106","Dave",246,863.78249434533,4,699,1088.81023625581,0
"107","Dave",289,802.918569368,1,707,1061.79188095523,0
"108","Dave",273,873.761336239513,2,708,1096.4555139118,0
"109","Dave",228,917.997525478655,1,615,1074.00436828904,0
"110","Dave",267,855.990750833916,2,704,1068.39169043648,1
"111","Dave",292,917.13658730177,4,781,1059.00925828289,1
"112","Dave",300,896.771568534842,2,740,1104.84255970889,0
"113","Dave",259,865.773702752769,1,548,971.637331055325,1
"114","Dave",249,962.68900250995,5,637,1084.69338446736,0
"115","Dave",231,914.310318856336,1,662,1032.36692591868,0
"116","Dave",181,1026.87718105963,3,623,1032.92167854911,0
"117","Dave",243,932.820186382486,6,615,1102.12441783192,0
"118","Dave",189,990.037263118789,2,569,1038.59667776187,0
"119","Dave",225,944.530538296498,2,693,1010.01068251374,1
"120","Dave",226,893.43430330653,4,596,1047.72931897255,0
"121","Dave",181,997.363465951957,2,559,1065.22856334836,0
"122","Dave",242,922.677262282238,2,655,1122.45616302313,0
"123","Dave",242,1041.98036891356,1,752,1153.53094816588,0
"124","Dave",315,811.463702288121,7,717,1075.68505110089,0
"125","Dave",217,922.003770542016,3,615,1071.99569858537,0
"126","Dave",224,922.171011393936,4,638,1129.32322775428,0
"127","Dave",223,876.345979900949,5,696,1083.47139099245,0
"128","Dave",193,948.946606130803,0,624,1142.46028809245,0
"129","Dave",202,904.297571629694,0,583,1058.47000732089,0
"130","Dave",228,927.079903357054,1,654,1068.79287992912,0
"131","Dave",216,922.981576464202,4,573,1115.45221850607,0
