"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Elsie",201,852.395556452633,4,1771,1232.33097222614,1
"2","Elsie",246,855.035700557705,2,1631,1264.62279715947,0
"3","Elsie",196,794.953331195471,7,1591,1265.2848418536,0
"4","Elsie",195,863.908305004606,3,1705,1271.61229344856,0
"5","Elsie",215,798.233745915732,2,1859,1224.05831153296,0
"6","Elsie",175,847.300387324027,3,1759,1258.3051102457,0
"7","Elsie",242,885.38835445448,2,1916,1270.45102569861,0
"8","Elsie",180,897.899014261686,4,1681,1275.53902460199,0
"9","Elsie",214,768.935918233872,7,1781,1255.73399328208,0
"10","Elsie",213,831.889056146791,1,1742,1273.3024905342,0
"11","Elsie",161,818.221997719332,5,1539,1253.47250106076,0
"12","Elsie",201,883.252416842787,6,1811,1273.01346827583,0
"13","Elsie",183,847.619579760994,1,1913,1258.58941358462,1
"14","Elsie",211,893.314964824696,0,1702,1259.44268852724,0
"15","Elsie",219,914.173441650374,2,1691,1279.83893488157,0
"16","Elsie",204,860.88938475833,0,1576,1251.17810374481,0
"17","Elsie",198,837.74399105074,5,1754,1225.96070744125,0
"18","Elsie",192,878.371222220309,0,1713,1283.57461191199,0
"19","Elsie",194,871.737533454279,1,1704,1249.27413486675,0
"20","Elsie",218,878.840202441558,1,1599,1245.77764053623,2
"21","Elsie",206,700.260194384512,1,1633,1247.38834297986,0
"22","Elsie",190,808.852694798547,2,1784,1228.55780376028,0
"23","Elsie",243,797.11744980572,3,1689,1249.95349233926,0
"24","Elsie",210,858.751178140282,0,1613,1260.38040960999,0
"25","Elsie",192,779.224532380044,7,1531,1257.4513547974,0
"26","Elsie",199,910.962305996125,5,1758,1263.8152058523,0
"27","Elsie",236,915.176095834779,1,1856,1227.72412981425,0
"28","Elsie",245,768.659105849868,5,1538,1240.04373877611,0
"29","Elsie",166,798.976376355703,1,1645,1259.96480372625,0
"30","Elsie",204,703.146154787171,1,1680,1208.31532078439,0
"31","Elsie",188,848.062609731208,1,1588,1265.08153635405,0
"32","Elsie",219,741.605199248178,2,1604,1224.98073662872,0
"33","Elsie",218,915.401933491942,3,1741,1253.05559577502,0
"34","Elsie",170,807.607032577122,3,1661,1269.22099988016,0
"35","Elsie",190,876.496905362478,3,1776,1277.06696852383,0
"36","Elsie",175,915.129516746989,0,1702,1260.43974944098,0
"37","Elsie",207,784.165177624993,1,1915,1259.63620147651,0
"38","Elsie",217,744.448418413924,4,1660,1213.36359119609,0
"39","Elsie",225,845.086930474181,3,1635,1227.68946343401,0
"40","Elsie",207,831.030996261524,1,1664,1246.97857037643,1
"41","Elsie",218,908.610064305138,6,1549,1256.88803902499,0
"42","Elsie",196,911.989034474467,2,1542,1232.57873435689,0
"43","Elsie",235,728.512364285195,2,1709,1199.79290784038,0
"44","Elsie",200,730.82817524976,1,1473,1247.87985439309,0
"45","Elsie",223,783.144468743246,5,1706,1262.66307794694,0
"46","Elsie",180,847.197433927016,0,1590,1279.58171782235,0
"47","Elsie",207,805.244243703608,0,1978,1234.68480327601,0
"48","Elsie",199,789.231865592378,4,1594,1253.39962274508,0
"49","Elsie",195,891.828004518951,0,1626,1256.55118794345,3
"50","Elsie",188,868.594019584524,3,1729,1217.79418211946,1
"51","Elsie",210,854.568342936334,3,1699,1236.1368218787,0
"52","Elsie",226,771.26526607399,5,1655,1253.25842429472,0
"53","Elsie",211,782.208306091333,0,1737,1235.54590360396,0
"54","Elsie",201,748.404425764728,1,1697,1232.55812898818,0
"55","Elsie",233,895.217388845348,2,1817,1259.39166624821,0
"56","Elsie",180,856.361162341023,4,1667,1269.38081849477,0
"57","Elsie",206,839.064551637254,1,1672,1259.49220730045,0
"58","Elsie",194,841.008623509158,3,1760,1264.74663814015,0
"59","Elsie",193,868.491606322629,1,1526,1234.05939820652,0
"60","Elsie",231,849.938206626113,3,1617,1251.74681368419,0
"61","Elsie",227,851.401068366707,1,1633,1248.36281674509,0
"62","Elsie",178,754.576733968005,1,1716,1258.07560893631,0
"63","Elsie",195,845.238417926758,4,1757,1280.4385335594,0
"64","Elsie",202,800.506080054247,2,1663,1258.3066450581,0
"65","Elsie",200,936.663386352831,0,1831,1248.29580208048,0
"66","Elsie",187,878.429636637668,0,1531,1209.3265466021,1
"67","Elsie",232,752.17550030046,4,1561,1264.18128797587,0
"68","Elsie",225,772.554784915044,3,1714,1213.02234882253,0
"69","Elsie",212,840.394109483103,3,1692,1237.3453200368,1
"70","Elsie",225,782.000680616454,0,1731,1230.35359345805,1
"71","Elsie",242,802.143688034392,2,1672,1229.9347658616,0
"72","Elsie",207,829.904546554107,4,1684,1256.77016929632,0
"73","Elsie",164,816.324582264083,0,1603,1274.47989497903,0
"74","Elsie",215,828.210274953463,4,1680,1255.86627044253,0
"75","Elsie",177,854.109659746132,3,1656,1268.9376439878,0
"76","Elsie",204,870.646175851184,3,1730,1262.641193554,0
"77","Elsie",149,758.201377689844,0,1639,1266.48361095723,0
"78","Elsie",241,874.261015549207,1,1693,1249.65712598924,2
"79","Elsie",211,884.103031139608,2,1527,1226.24109335657,1
"80","Elsie",206,874.904203054376,2,1641,1277.19780458384,0
"81","Elsie",184,775.069433323959,1,1580,1260.54032106388,0
"82","Elsie",204,869.047043601344,1,1654,1248.94436907774,0
"83","Elsie",213,746.119333859582,1,1736,1236.5838012302,0
"84","Elsie",268,864.109995241625,2,1734,1231.38537852829,0
"85","Elsie",245,855.849057261683,1,1921,1232.44207613025,0
"86","Elsie",197,850.453415777772,2,1616,1281.55336531851,0
"87","Elsie",164,774.531460676131,0,1778,1262.78881701711,0
"88","Elsie",204,837.641809470084,2,1720,1253.09424738861,1
"89","Elsie",192,826.28741060872,3,1628,1247.04202750777,0
"90","Elsie",178,913.586680585369,0,1664,1256.29188529227,0
"91","Elsie",175,797.382664866714,1,1742,1280.07326432256,0
"92","Elsie",198,926.636649701986,5,1734,1266.66471714504,0
"93","Elsie",189,789.014536091315,4,1668,1248.2148672966,0
"94","Elsie",209,844.379694706318,0,1653,1256.43544213648,2
"95","Elsie",172,814.042174631263,1,1644,1230.50124730414,0
"96","Elsie",232,766.106039095052,3,1867,1246.32648282499,0
"97","Elsie",253,816.072028657649,3,1778,1240.27069133376,0
"98","Elsie",212,779.208153560178,2,1677,1272.76160999945,0
"99","Elsie",220,889.072668346465,2,1746,1255.92061115207,0
"100","Elsie",175,928.137725328234,0,1915,1247.7759852611,0
"101","Elsie",221,781.566728380916,2,1739,1255.08789574164,0
"102","Elsie",189,836.065800561993,3,1727,1271.54671177603,0
