"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","EmmaClaire",862,619.700869843589,15,4776,908.376981459452,0
"2","EmmaClaire",787,628.736178542354,13,4463,923.026203349585,0
"3","EmmaClaire",795,624.455405866329,21,4576,940.067344372329,0
"4","EmmaClaire",882,623.923063299757,13,5055,908.439244894922,0
"5","EmmaClaire",769,620.58987851745,16,4519,937.204393054421,0
"6","EmmaClaire",866,545.853207809876,21,4773,856.129546498503,1
"7","EmmaClaire",810,622.569523189688,13,4630,939.847807703574,0
"8","EmmaClaire",847,614.486791520858,12,4812,920.948855950674,0
"9","EmmaClaire",810,670.868940726199,20,4909,950.189021713475,1
"10","EmmaClaire",809,609.036164290281,16,4549,918.521410080267,0
"11","EmmaClaire",862,592.962280541368,25,4641,848.741723330982,1
"12","EmmaClaire",819,604.680085732403,23,4513,928.391352314856,0
"13","EmmaClaire",774,632.576938974307,15,4457,919.09720640427,0
"14","EmmaClaire",831,613.453340562653,17,4641,899.486883750574,0
"15","EmmaClaire",800,627.775064303295,19,4872,969.942148663195,0
"16","EmmaClaire",853,652.249745563929,12,4587,962.843935288608,0
"17","EmmaClaire",883,584.830197829998,18,4815,891.085938131127,0
"18","EmmaClaire",774,636.379563835178,20,4545,919.583948490411,1
"19","EmmaClaire",817,623.052778076275,20,4817,918.648405383276,0
"20","EmmaClaire",846,603.221812081848,19,4750,885.97381261514,0
"21","EmmaClaire",875,578.368988179141,17,4708,880.493386827229,0
"22","EmmaClaire",851,580.943226960212,22,4789,887.632273882077,0
"23","EmmaClaire",822,625.732420420509,20,4816,916.944237669744,0
"24","EmmaClaire",865,630.336376360839,27,4868,911.859335094427,0
"25","EmmaClaire",828,641.105256437925,11,4773,941.180730576083,0
"26","EmmaClaire",834,591.873141911816,26,4863,863.272363246817,0
"27","EmmaClaire",827,621.829667355629,19,4639,941.996492616372,1
"28","EmmaClaire",814,584.965038712029,24,4695,880.580825034257,1
"29","EmmaClaire",846,614.895812628817,22,4726,900.170280877237,0
"30","EmmaClaire",817,621.933832188081,18,4761,923.483125463404,0
"31","EmmaClaire",824,606.388705989421,22,4669,898.504994136676,0
"32","EmmaClaire",828,610.98256132501,12,4506,887.596209075362,0
"33","EmmaClaire",845,590.132501262221,22,4701,908.453391509813,0
"34","EmmaClaire",846,609.64219888707,15,4626,909.660717878965,0
"35","EmmaClaire",869,571.224482025548,27,4805,880.123962052356,0
"36","EmmaClaire",790,613.569320868216,18,4670,960.432617180844,0
"37","EmmaClaire",832,619.087850794171,16,4582,933.924007666482,0
"38","EmmaClaire",764,634.79805643697,17,4772,932.567060896012,0
"39","EmmaClaire",788,644.299020309877,23,4687,955.021403911491,0
"40","EmmaClaire",855,626.192476006757,15,4704,908.983389451647,0
"41","EmmaClaire",784,671.413681321805,12,4545,965.200655091723,0
"42","EmmaClaire",811,634.492503112039,13,4414,929.315650623645,0
"43","EmmaClaire",836,641.037002410916,17,4688,943.84730865905,0
"44","EmmaClaire",823,670.547508614877,23,4670,955.416499853007,0
"45","EmmaClaire",823,596.911048504282,18,4626,910.843113673535,3
"46","EmmaClaire",843,619.970859708776,19,4789,928.622202150076,0
"47","EmmaClaire",868,653.64206523502,22,4783,934.352822457881,0
"48","EmmaClaire",829,619.108819226918,23,4726,921.756983659017,0
"49","EmmaClaire",818,643.686869656778,26,4568,914.65261208376,0
"50","EmmaClaire",858,600.164336134287,23,4748,893.365639999834,0
"51","EmmaClaire",831,615.725907200915,19,4598,897.093987603295,0
"52","EmmaClaire",833,575.803930163556,15,4542,864.874964500393,0
"53","EmmaClaire",825,575.841524000182,23,4732,873.657395831322,0
"54","EmmaClaire",859,613.927394095594,19,4807,894.788503140601,0
"55","EmmaClaire",850,583.688845262215,19,5038,883.093121422342,1
"56","EmmaClaire",828,611.993994890116,25,4636,912.345566791189,0
"57","EmmaClaire",849,602.250662297753,17,4876,903.43605891905,0
"58","EmmaClaire",835,586.250232060576,11,4473,857.387839569096,0
"59","EmmaClaire",868,643.225851631031,16,4574,889.006089509322,0
"60","EmmaClaire",832,622.821223954684,24,4555,908.742724032728,0
"61","EmmaClaire",788,617.487258928865,20,4598,943.40120159276,0
"62","EmmaClaire",855,655.759234674483,20,4861,935.73158611087,0
"63","EmmaClaire",844,630.064670668607,19,5049,934.922418112945,0
"64","EmmaClaire",793,619.995378490208,19,4670,929.151783858198,0
"65","EmmaClaire",822,631.834143715165,23,4661,920.593414654429,0
"66","EmmaClaire",842,583.936380290284,18,4800,922.588263853016,0
"67","EmmaClaire",809,649.950858819919,18,4535,930.218181068809,0
"68","EmmaClaire",815,629.003965708841,10,4692,899.836404817273,0
"69","EmmaClaire",827,615.821314596768,20,4649,922.411935675959,1
"70","EmmaClaire",835,616.246778114619,22,4709,926.265544568411,0
"71","EmmaClaire",882,636.447469051131,16,4805,927.010352608322,0
"72","EmmaClaire",826,637.738746520088,10,4412,924.071917124629,0
"73","EmmaClaire",850,651.362332133833,14,4742,902.386335807094,0
"74","EmmaClaire",790,640.348548951399,13,4553,917.541615780492,1
