"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Hal",257,2422.7345833394,0,1714,2844.62898996479,0
"2","Hal",268,2474.48098803074,0,1657,2858.68632015798,0
"3","Hal",236,2553.34837423459,0,1687,2863.53851601745,0
"4","Hal",217,2455.5988661188,0,1539,2944.53873593224,0
"5","Hal",246,2541.4879048112,0,1609,2930.16630596235,0
"6","Hal",249,2480.6213714631,1,1648,2958.58528179914,0
"7","Hal",252,2631.73171558173,0,1569,2943.59479265884,0
"8","Hal",259,2491.48413183179,0,1610,2761.28968660384,0
"9","Hal",266,2568.76761597159,0,1716,2905.53121566113,0
"10","Hal",244,2590.53925763645,1,1608,2982.32133935533,0
"11","Hal",254,2618.75393335969,1,1483,2794.61727145067,0
"12","Hal",229,2493.96697634699,0,1637,2894.52409314591,0
"13","Hal",211,2576.032685227,0,1540,2946.5444203082,0
"14","Hal",255,2536.85218437088,0,1529,2855.80176257153,0
"15","Hal",267,2449.17367805147,2,1547,2782.4382263571,0
"16","Hal",248,2629.0253456235,0,1599,3035.86925211843,0
"17","Hal",211,2406.55444808612,0,1537,2971.82724643894,0
"18","Hal",273,2474.42732351091,0,1647,2786.78345854068,0
"19","Hal",219,2582.63852329876,0,1596,2931.33841394373,0
"20","Hal",230,2642.56848152332,0,1545,2941.56497650327,0
"21","Hal",241,2357.90190560119,0,1488,3002.51720715645,0
"22","Hal",240,2489.80234952452,0,1654,2924.89379352468,0
"23","Hal",230,2574.86355306346,0,1641,2882.10619859204,0
"24","Hal",262,2473.57108540612,3,1508,2855.17031496376,0
"25","Hal",229,2621.93496487494,0,1528,3053.33017651016,0
"26","Hal",258,2525.09474669324,0,1752,2856.42978529062,0
"27","Hal",249,2468.54932658196,0,1736,2751.20015917028,0
"28","Hal",247,2526.42318368776,0,1595,2969.54187640139,0
"29","Hal",253,2543.74681621995,0,1588,2850.6389750593,0
"30","Hal",237,2639.78998800257,0,1613,2966.11682811839,0
"31","Hal",220,2482.33561751679,1,1670,3093.94545861339,0
"32","Hal",253,2400.06294510143,0,1708,2738.97339150223,0
"33","Hal",242,2318.66948071781,1,1693,2630.04137898351,0
"34","Hal",268,2494.66500211924,0,1686,2652.44312991699,0
"35","Hal",243,2424.11165501685,0,1772,2828.43362335054,0
"36","Hal",224,2588.25814943245,0,1516,2962.39098320127,0
"37","Hal",258,2499.48639293254,0,1629,2809.05768845268,0
"38","Hal",234,2507.33311073811,0,1600,2840.79764614109,0
"39","Hal",247,2511.1288473013,0,1713,2837.93566719219,0
"40","Hal",242,2554.29767768,0,1729,2888.07517857818,0
"41","Hal",252,2502.08767506775,0,1709,2924.11419586479,0
"42","Hal",242,2429.86608378078,0,1737,2878.91198229951,0
"43","Hal",261,2429.63020260192,0,1671,2892.86377374995,0
"44","Hal",237,2576.19352151584,0,1567,2909.91783537948,0
"45","Hal",253,2344.45205429139,0,1721,2807.22699940581,0
"46","Hal",227,2597.75534156353,0,1591,2896.1738942164,0
"47","Hal",246,2493.45432356415,1,1725,2883.4338700513,0
"48","Hal",233,2646.20958000112,1,1592,2934.31777612618,0
"49","Hal",260,2534.04380274329,0,1646,2755.90293898548,0
