"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Jack",64,4003.78943783402,0,66,767.443085203866,0
"2","Jack",68,4127.60164255007,0,29,811.807251391416,0
"3","Jack",62,3895.37589140535,0,60,647.571066725155,0
"4","Jack",46,3795.15689368114,0,65,868.137137523316,0
"5","Jack",66,4059.1330905083,0,48,854.486168197956,0
"6","Jack",46,4483.1268629218,0,41,956.053688448357,0
"7","Jack",52,3963.17100656966,0,50,861.447787750301,0
"8","Jack",54,4096.25798542384,0,30,918.884572995662,0
"9","Jack",43,4401.74149634363,0,50,876.625894671442,0
"10","Jack",88,4365.45910128813,0,37,818.880114434031,0
"11","Jack",47,3675.66795673149,0,58,770.54685952112,0
"12","Jack",62,4074.11352246382,0,82,779.265736790937,0
"13","Jack",64,4587.10512626715,1,35,976.823429238093,0
"14","Jack",52,4196.26363790648,0,58,1096.21419284862,0
"15","Jack",76,3915.32462084412,0,80,674.302161313402,0
"16","Jack",68,4211.88731928189,0,54,737.39201483937,0
"17","Jack",74,4307.40003281711,0,52,804.56550841513,0
"18","Jack",60,4162.07596559042,0,66,745.728586029514,0
"19","Jack",54,4373.92932120671,0,34,764.17192209126,0
"20","Jack",58,3910.19159596152,0,60,1245.18399960912,0
"21","Jack",44,4086.81253905056,0,44,827.596740456469,0
"22","Jack",68,4239.92403719501,0,53,872.577267134881,0
"23","Jack",70,3969.47547788854,0,56,671.450641021102,0
"24","Jack",54,4093.31652082397,0,43,749.865477801827,0
"25","Jack",72,4367.37454467504,0,37,807.491495465858,0
"26","Jack",54,3725.77672930031,0,44,1373.03334073055,0
"27","Jack",66,3837.68632286998,1,82,1092.93199917051,0
"28","Jack",57,4291.37566097409,1,49,688.714695110991,0
"29","Jack",76,3505.78264204625,0,75,844.039694326545,0
"30","Jack",58,4628.7245064436,0,37,747.534188659807,0
"31","Jack",52,4015.2199831002,1,74,1152.62285445641,0
"32","Jack",68,3690.16959448927,1,102,729.502524448845,0
"33","Jack",70,3880.11020884338,0,78,870.664918510945,0
"34","Jack",38,3808.12540276223,0,64,744.681107375033,0
"35","Jack",52,4083.62253353383,0,33,829.896079957336,0
"36","Jack",56,3833.81725619077,0,43,806.317413441774,0
"37","Jack",80,4100.66952726286,0,85,786.491098398753,0
"38","Jack",52,4260.37987346284,0,48,850.869134187418,0
"39","Jack",74,4512.06605035688,0,43,731.552508107419,0
"40","Jack",58,3805.62250007235,0,75,772.830574624272,0
"41","Jack",53,4125.81719215366,2,42,851.116051105551,0
"42","Jack",56,3925.80548295372,0,44,645.892898762117,0
"43","Jack",56,4111.69583683353,0,58,732.876722048145,0
"44","Jack",66,4180.94844629842,0,62,642.852409252415,0
"45","Jack",56,4163.05187314591,0,35,858.008360806525,0
"46","Jack",54,4524.80408553635,0,51,1119.79971287794,0
"47","Jack",76,4048.20064930967,0,48,828.093248790447,0
"48","Jack",48,4555.51891957932,0,17,914.67101525411,0
"49","Jack",61,3905.546315648,0,62,700.878397564565,0
"50","Jack",68,4061.33200034864,0,60,791.222272852817,0
"51","Jack",48,3935.4614006514,0,44,783.432685850226,0
"52","Jack",68,4113.33596633128,0,41,801.82375739884,0
"53","Jack",70,3928.15932894377,1,71,661.92181280887,0
"54","Jack",46,3968.18661821933,0,61,781.520646369809,0
"55","Jack",54,3736.5928955631,0,67,716.965549241518,0
"56","Jack",60,3957.23606475668,1,45,624.495411886084,0
"57","Jack",66,4056.80586456027,0,30,829.721089359104,0
"58","Jack",60,4191.18029049825,0,17,1019.52791649771,0
"59","Jack",76,3939.80431384201,0,57,937.003731299177,0
"60","Jack",62,4270.27961782492,0,25,791.4883371854,0
"61","Jack",62,4568.93155909083,0,68,693.890486320089,0
"62","Jack",64,4216.31238908232,0,21,1103.61659631513,0
"63","Jack",58,3779.19561643614,0,51,878.601738326246,0
"64","Jack",60,4422.09187952006,0,48,776.174104559277,0
"65","Jack",68,4009.75543207455,0,40,783.178141784184,0
"66","Jack",108,4389.36050828156,1,25,802.9296826177,0
"67","Jack",48,4421.48420170849,1,33,666.678327085061,0
"68","Jack",60,4008.18856694914,0,33,685.537393520275,0
"69","Jack",56,4530.76871527017,0,38,715.442298012647,0
"70","Jack",54,3890.34690760907,0,27,779.484483279532,0
"71","Jack",63,3986.30553707758,0,53,709.83097231644,0
"72","Jack",68,3828.23552824421,1,66,702.10608541297,0
"73","Jack",72,4227.56593780853,0,52,789.857451306659,0
"74","Jack",40,4506.0530582459,0,43,897.486765276929,0
"75","Jack",62,3819.73585701911,1,83,744.587607278496,0
"76","Jack",56,4158.13245068713,0,44,631.02649738831,0
"77","Jack",82,4091.79629303028,0,50,708.27822461103,0
"78","Jack",68,3938.55454126652,0,50,997.360900967469,0
"79","Jack",58,3949.09571536775,0,45,787.668396058274,0
"80","Jack",56,4131.42073111021,0,20,615.971676578056,0
"81","Jack",62,3608.2677770895,0,73,697.452726827752,0
"82","Jack",82,4057.39529012616,1,52,806.271176947498,0
"83","Jack",88,4116.29316983448,1,67,786.922501655145,0
"84","Jack",58,3891.76410720808,1,45,655.317604153359,0
"85","Jack",56,4226.95369725859,0,34,911.403655833547,0
"86","Jack",48,3778.19917057247,2,72,859.396446137028,0
"87","Jack",61,4475.59768123764,0,41,718.912071051949,0
"88","Jack",64,3558.13770401538,1,65,748.729991853922,0
"89","Jack",68,4007.44091321343,0,53,883.386237998803,0
"90","Jack",72,4029.3137394391,0,66,735.281387954617,0
"91","Jack",57,4323.31302077794,0,50,688.619843746279,0
"92","Jack",70,4131.60749149529,2,47,736.409758854457,0
"93","Jack",60,4159.98262188845,0,54,796.672065328606,0
"94","Jack",76,4203.13931744751,0,43,923.627625114914,0
"95","Jack",50,3653.3995487611,0,54,701.129830690724,0
"96","Jack",74,3717.9385894898,1,50,764.985582064587,0
"97","Jack",48,4104.07479103474,0,44,1084.22979454532,0
"98","Jack",70,4186.97048227912,0,59,804.394634649383,0
"99","Jack",64,3993.49047909204,0,80,730.42533970419,0
"100","Jack",72,4212.93481732895,0,43,928.473394026465,0
"101","Jack",48,3744.08685008298,0,52,689.051053654428,0
"102","Jack",72,3931.29745353736,0,76,943.533838884894,0
"103","Jack",50,4346.05596299753,0,23,643.784345190431,0
"104","Jack",76,4310.40611621881,0,24,879.508415791524,0
"105","Jack",70,3971.68964341035,1,67,756.945661536112,0
"106","Jack",50,4170.26014093011,0,37,928.497053706422,0
"107","Jack",60,4185.26677063132,0,49,876.839415453818,0
"108","Jack",56,4138.99492012766,0,61,1069.94046235547,0
"109","Jack",50,4259.8507094999,1,68,718.171831241702,0
"110","Jack",54,3801.51796395318,0,47,877.905102291367,0
"111","Jack",38,3774.36155067286,0,39,871.360629274214,0
"112","Jack",68,4354.60526424563,0,55,775.938163364566,0
"113","Jack",68,4054.03281682382,0,51,867.421258330704,0
"114","Jack",76,4519.09033371049,0,32,821.522602329848,0
"115","Jack",48,4038.33657715077,0,29,848.282421969537,0
"116","Jack",76,4009.30232135483,0,51,803.842386923769,0
"117","Jack",66,4292.04123126714,0,37,883.354616222954,0
"118","Jack",64,3846.22885742482,0,61,718.947023939115,0
"119","Jack",70,4283.29969907738,0,34,809.382821895881,0
"120","Jack",70,4156.84768569129,0,40,802.442054012633,0
"121","Jack",68,4064.65248281401,0,51,893.060692685579,0
"122","Jack",56,4110.57418909319,0,46,832.402080862339,0
"123","Jack",56,3556.14431808216,2,76,702.188567073023,0
"124","Jack",74,4299.28712931064,0,31,873.328949446932,0
"125","Jack",72,4153.76234952801,1,73,880.264484858456,0
"126","Jack",78,3999.50181065808,0,41,770.929801280374,0
"127","Jack",60,4259.63587112152,0,36,835.076503777565,0
"128","Jack",48,4200.98273131299,0,47,937.175692341786,0
"129","Jack",54,4362.85575816518,0,17,987.067918783448,0
"130","Jack",74,3862.24160700575,1,43,731.768475987583,0
"131","Jack",56,3744.50038663485,0,67,902.249396075065,0
"132","Jack",54,3945.16193865379,1,44,723.552406782435,0
"133","Jack",60,4173.8350600801,0,37,931.766954477074,0
"134","Jack",46,3803.62743198503,0,62,762.62765693492,0
"135","Jack",52,4088.28129504288,0,41,712.067386136553,0
"136","Jack",66,4207.29345998736,0,35,633.793940230402,0
"137","Jack",62,4475.56665200388,0,29,943.264253975531,0
"138","Jack",54,4054.72749033978,0,60,728.148649003642,0
"139","Jack",58,3932.82574771662,0,56,888.257053961684,0
"140","Jack",94,4305.40876205632,0,44,753.57677444283,0
"141","Jack",46,4081.66209178437,0,50,1035.85202645574,0
"142","Jack",56,4038.01920742675,0,43,881.71030010043,0
"143","Jack",64,4084.00612181389,0,59,769.054489263635,0
"144","Jack",64,4093.80902352522,0,60,810.983957562004,0
"145","Jack",62,3834.11524615213,0,51,689.822388916831,0
"146","Jack",72,4114.89722288742,0,28,1045.4057904247,0
"147","Jack",57,3551.58750244389,0,50,760.347581913135,0
"148","Jack",58,3951.7527258674,0,47,735.714359467651,0
"149","Jack",43,4204.01929384719,0,59,709.012994516645,0
"150","Jack",46,4021.14567520952,0,43,860.335242123713,0
"151","Jack",64,3965.14402637737,0,51,800.775911427501,0
"152","Jack",46,3826.5451183969,0,82,949.824985065435,0
"153","Jack",48,3992.21178770645,0,45,825.459194668592,0
"154","Jack",68,3295.1826710955,1,94,621.41646385977,0
"155","Jack",52,4473.68873716821,0,32,962.131211022035,0
"156","Jack",62,4323.85044981362,0,90,759.979885043736,0
"157","Jack",70,4356.0657104135,0,43,814.006400184026,0
"158","Jack",58,4053.72500174086,0,22,818.916153419637,0
"159","Jack",72,4211.90410759853,0,30,812.231443483577,0
"160","Jack",48,4056.91400864361,0,74,722.982686567052,0
"161","Jack",62,4388.99723069947,0,29,1010.0662110618,0
"162","Jack",58,4405.86510466105,1,48,769.998152332881,0
"163","Jack",70,4016.80379386533,0,56,934.301614214413,0
"164","Jack",58,4329.17897775793,0,30,952.343560128452,0
"165","Jack",62,3957.36007927926,0,53,620.586312189662,0
"166","Jack",66,3658.08550392667,1,86,796.749543551579,0
"167","Jack",62,4520.55428681988,0,36,805.675557712238,0
"168","Jack",84,4317.37585778166,0,42,864.330241520874,0
"169","Jack",62,4029.98725607595,0,54,737.650701233924,0
"170","Jack",86,4076.50078917025,0,47,760.622183354688,0
"171","Jack",70,4290.16042112408,0,81,922.390973110454,0
"172","Jack",86,4142.23336966482,0,41,702.461903221241,0
"173","Jack",56,4435.80425316689,0,26,832.269691089873,0
"174","Jack",84,3988.77488716782,0,44,729.973409301738,0
"175","Jack",67,3729.27859188135,0,43,766.925532724677,0
"176","Jack",64,4145.80308904512,0,28,948.449333975904,0
"177","Jack",74,4359.20268739922,0,50,778.360365000632,0
"178","Jack",64,4144.67004339871,0,22,884.112598338246,0
"179","Jack",60,3832.40264431321,0,68,789.394900486435,0
"180","Jack",62,4277.4085092078,0,63,743.70726148503,0
"181","Jack",52,3984.57885374408,0,41,757.118191581915,0
"182","Jack",72,4400.38030784988,0,37,714.133155342434,0
"183","Jack",58,4139.82407275605,0,19,861.434228442366,0
"184","Jack",60,3866.22915066477,0,57,831.058563519901,0
"185","Jack",52,3851.13644166865,0,67,768.464218134706,0
"186","Jack",62,4247.57453522608,0,53,961.826337827644,0
"187","Jack",80,4247.33845595477,0,47,776.783000092804,0
"188","Jack",72,4228.94231639557,0,55,774.221392855849,0
"189","Jack",74,4291.589829137,0,33,712.997051753092,0
