"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Jonathan",568,714.815260622111,15,2184,850.30524863498,0
"2","Jonathan",581,808.451159680828,9,2113,828.062184120857,0
"3","Jonathan",563,791.193101294213,19,2141,848.071775161617,0
"4","Jonathan",528,771.484975780253,13,2135,845.123532719922,0
"5","Jonathan",539,764.572364265358,12,2125,881.082448537626,0
"6","Jonathan",560,751.686795131103,4,2298,852.929871056095,0
"7","Jonathan",553,821.336615605475,13,2245,878.803388582433,0
"8","Jonathan",554,768.777000544839,10,2128,837.543425829143,0
"9","Jonathan",571,708.88402241019,19,2270,763.797759161771,0
"10","Jonathan",562,741.10934290627,11,2225,811.780250093583,0
"11","Jonathan",539,749.71651324638,10,2089,836.640347373818,0
"12","Jonathan",584,754.418761554701,9,2265,844.664003873175,0
"13","Jonathan",555,771.806517550492,13,2233,879.725849800536,0
"14","Jonathan",595,745.722105494432,12,2211,851.584668074783,0
"15","Jonathan",534,704.177142983706,19,2131,799.489404127866,0
"16","Jonathan",580,732.106320623056,13,2138,817.821348810916,0
"17","Jonathan",546,725.69363775763,18,2095,857.909549651344,0
"18","Jonathan",575,706.535237802447,10,2289,842.38290843183,0
"19","Jonathan",546,808.316522423324,15,2179,909.250733596694,0
"20","Jonathan",618,777.212523131367,16,2238,840.095443854253,0
"21","Jonathan",559,734.77967291767,13,2137,816.179906117004,0
"22","Jonathan",572,670.491822086116,10,2200,769.750470468541,0
"23","Jonathan",547,743.11425157627,13,2142,827.554920775846,0
"24","Jonathan",547,766.86936637458,11,2056,877.352615452727,0
"25","Jonathan",599,801.322180679657,15,2186,868.84413924356,0
"26","Jonathan",576,705.014579455143,14,2189,782.847065466984,0
"27","Jonathan",569,811.102078575267,4,1939,869.438855581611,0
"28","Jonathan",564,753.056376428667,13,2286,853.048396165478,0
"29","Jonathan",573,724.748080068595,21,2202,808.156979830162,0
"30","Jonathan",567,711.96957649533,16,2251,804.254308326326,0
"31","Jonathan",575,750.456083298542,15,2063,814.85802387468,0
"32","Jonathan",588,774.157092624731,17,2214,841.266342411051,0
"33","Jonathan",586,775.676265102771,6,2140,855.855484057322,0
"34","Jonathan",586,728.330842034322,15,2184,857.439517767226,0
"35","Jonathan",566,738.187305209489,11,2177,807.14496934553,0
"36","Jonathan",547,791.648847811604,12,2288,942.65118801393,0
"37","Jonathan",559,759.448342622023,16,2168,871.023468021622,0
"38","Jonathan",560,727.589865363992,11,2179,812.671283732335,0
"39","Jonathan",571,770.36596097786,9,2201,890.262881490306,0
"40","Jonathan",563,687.943507812363,17,2201,815.560694477743,0
"41","Jonathan",575,772.398165119462,18,2010,836.98493168178,0
"42","Jonathan",563,750.368663048686,18,2178,856.570747370265,0
"43","Jonathan",562,745.559903503773,8,2196,843.920945524333,0
"44","Jonathan",541,756.024861576362,9,2157,823.055024237278,0
"45","Jonathan",633,771.332886724728,10,2148,861.762158556119,0
"46","Jonathan",586,697.540955511036,17,2197,804.18152013396,0
"47","Jonathan",565,746.137723818737,14,2054,831.07820370894,0
"48","Jonathan",561,738.262031137588,6,2197,833.447223079103,0
"49","Jonathan",594,749.398688290784,9,2229,844.398977652761,0
"50","Jonathan",569,751.328510957306,11,2202,841.315790547452,0
"51","Jonathan",563,712.671325707856,8,2239,835.729846358478,0
"52","Jonathan",607,764.288997466329,13,2176,858.531084763832,0
"53","Jonathan",583,758.342177405087,11,2149,843.763383206939,0
"54","Jonathan",554,819.536673286926,18,2167,915.038423720984,0
"55","Jonathan",579,719.336546930599,9,2140,845.39342498789,0
"56","Jonathan",558,785.746196046899,5,2304,884.37218918053,0
"57","Jonathan",546,780.313046486385,6,2320,857.088293783471,0
"58","Jonathan",557,708.413865578889,10,2144,798.386835213162,0
"59","Jonathan",582,798.826194819879,11,2282,902.058828462365,0
"60","Jonathan",604,740.104338383033,10,2160,828.325631189791,0
"61","Jonathan",595,723.916970663539,11,2118,790.755233886751,0
"62","Jonathan",507,741.81401679171,8,2104,831.659731474684,0
"63","Jonathan",576,749.610328556594,10,2135,860.988333581858,0
"64","Jonathan",579,760.123803738662,12,2188,807.589551158486,0
"65","Jonathan",542,765.588532554458,9,2153,811.561181256178,0
"66","Jonathan",568,658.84386351532,22,2230,823.152796649348,0
"67","Jonathan",534,774.576834190468,13,2269,886.64296273255,0
"68","Jonathan",514,717.393028131423,13,2153,832.760326217979,0
"69","Jonathan",636,723.276154252596,14,2269,816.765147223897,0
"70","Jonathan",555,808.198242841939,13,2329,908.735156808804,0
"71","Jonathan",527,809.25134430422,11,2336,889.064752302073,0
"72","Jonathan",564,689.675150266021,10,2117,776.932460671941,0
"73","Jonathan",565,776.216246293335,9,2206,853.207735679042,0
"74","Jonathan",565,771.07954766399,16,2227,859.84454125392,0
"75","Jonathan",528,669.100495090979,10,2111,789.283717988531,0
"76","Jonathan",552,692.482483585857,7,2254,800.464882135276,0
"77","Jonathan",561,767.918096685977,19,2271,908.798258521895,0
"78","Jonathan",603,746.171403354933,13,2275,794.493163433881,0
"79","Jonathan",571,692.193779354203,8,2046,778.646716451211,0
"80","Jonathan",596,747.761103594581,9,2199,882.406029684108,0
"81","Jonathan",577,744.376636998464,9,2202,836.177903621789,0
"82","Jonathan",540,705.817567073936,7,2227,846.192442499344,0
"83","Jonathan",551,740.792711113472,21,2264,828.12364996498,0
"84","Jonathan",535,710.417514544876,12,2149,827.136154950233,0
"85","Jonathan",610,786.091411302552,10,2213,821.231627737164,0
"86","Jonathan",592,746.136123802353,10,2414,829.725886935828,0
"87","Jonathan",574,746.658546577834,10,2298,839.442963679868,0
"88","Jonathan",555,786.895017886096,11,2213,886.434487986264,0
"89","Jonathan",538,774.030534494733,11,2348,872.471220446494,0
"90","Jonathan",597,735.930455283589,9,2048,861.134085846697,0
"91","Jonathan",575,770.472951455384,12,2247,827.399533750161,0
"92","Jonathan",588,759.102632588379,15,2318,873.161592910719,0
"93","Jonathan",533,714.501327496176,15,2194,822.3416951026,0
"94","Jonathan",582,762.734202939799,12,2147,861.799258418922,0
"95","Jonathan",602,731.173272033575,13,2162,836.351689788852,0
"96","Jonathan",592,712.337784664894,19,2314,818.517535044834,0
"97","Jonathan",558,663.176034743491,12,2195,813.675474331766,0
"98","Jonathan",615,729.63417887338,12,2148,854.089518368912,0
"99","Jonathan",551,657.260247714656,10,2119,791.819281336922,0
"100","Jonathan",597,725.27567454879,13,2259,834.068454985849,0
"101","Jonathan",547,756.516119054826,10,2191,865.373687870103,0
"102","Jonathan",516,723.484580769938,9,2176,849.982614478533,0
"103","Jonathan",556,731.860101311149,10,2231,844.179080154565,0
"104","Jonathan",580,701.642571590174,6,2113,814.932468623899,0
"105","Jonathan",577,750.516669917683,13,2196,787.926998328393,0
"106","Jonathan",599,769.453613685744,11,2107,818.901279466465,0
"107","Jonathan",568,720.031499189285,7,2275,795.550549548328,0
"108","Jonathan",587,730.453559359367,10,2138,850.620390103351,0
"109","Jonathan",594,753.980673384589,17,2258,888.541066831822,0
"110","Jonathan",537,724.828862065536,7,2337,869.966929118522,0
"111","Jonathan",590,787.089198763813,11,2187,853.703957569656,0
"112","Jonathan",533,761.476940977264,17,2114,889.102141568045,0
"113","Jonathan",567,759.242072904093,18,2055,855.51602445741,0
"114","Jonathan",555,723.25304785133,15,2187,858.655467067643,0
"115","Jonathan",556,732.384286951979,14,2181,839.933619945982,0
"116","Jonathan",527,751.099980416776,15,2101,856.093091638959,0
"117","Jonathan",520,711.770482824625,16,2160,844.527828706317,0
"118","Jonathan",556,752.590389868624,16,2098,792.681875017132,0
"119","Jonathan",542,691.043606163159,21,2128,789.265195909824,0
"120","Jonathan",549,723.856331743896,15,2385,855.601638940504,0
"121","Jonathan",583,706.989688100912,13,2175,787.583450949888,0
"122","Jonathan",557,720.913788818549,14,2387,826.520193818796,0
"123","Jonathan",550,742.837057635915,15,2098,886.221241326048,0
"124","Jonathan",536,738.225153489065,13,2273,869.846023808932,0
"125","Jonathan",600,746.209843589506,16,2140,815.855357034031,0
"126","Jonathan",569,694.226466820981,19,2128,814.068006360653,0
"127","Jonathan",520,752.502545309788,10,2123,871.320658056678,0
"128","Jonathan",557,652.18848471292,12,2266,802.335812169113,0
"129","Jonathan",525,748.060304164679,8,2219,878.075777898431,0
"130","Jonathan",569,722.195963141238,13,2221,845.513315548781,0
"131","Jonathan",545,783.138695615474,16,2242,857.773856673083,0
"132","Jonathan",541,781.523521161878,14,2224,857.265352036897,0
"133","Jonathan",517,762.085936147103,10,1933,855.747336950299,0
"134","Jonathan",544,801.524667565111,13,2237,873.850291326723,0
"135","Jonathan",537,777.727663397162,17,2107,841.81681140028,0
"136","Jonathan",544,792.24319727598,9,2181,875.226684178559,0
"137","Jonathan",565,778.365530686525,13,2117,824.108020165908,0
"138","Jonathan",581,731.835918640289,15,2251,847.448537503349,0
"139","Jonathan",510,773.579476428227,9,2201,874.085754548916,0
"140","Jonathan",563,771.26486906269,14,2262,895.028918713024,0
"141","Jonathan",544,747.031511429292,13,2094,808.60310680973,0
"142","Jonathan",584,721.53946390604,14,2249,826.11702014449,0
"143","Jonathan",536,768.670081240586,13,2169,854.408594209058,0
"144","Jonathan",543,740.74129751757,16,2280,832.383277613211,0
"145","Jonathan",589,744.403549408068,8,2288,849.310678496646,0
"146","Jonathan",531,746.214165592296,17,2186,829.147630488683,0
"147","Jonathan",594,738.529445283069,10,2125,795.240859468758,0
"148","Jonathan",586,718.715278004821,11,2169,817.832450138591,0
"149","Jonathan",572,780.231247683706,12,2153,895.754572189908,0
"150","Jonathan",548,801.05683474999,7,2109,881.054300383953,0
"151","Jonathan",526,761.648120004567,7,2159,845.210201724718,0
"152","Jonathan",564,811.909800855163,15,2094,884.272657658659,0
"153","Jonathan",568,735.727245822592,10,2270,835.874331193322,0
"154","Jonathan",540,794.381624158972,13,2316,875.64211172157,0
"155","Jonathan",537,733.087912122839,7,2166,885.737630126897,0
"156","Jonathan",552,715.764790419815,15,2234,803.411270454648,0
"157","Jonathan",581,801.680033146011,9,2293,892.681918031938,0
"158","Jonathan",544,746.23807299078,9,2173,856.109978694033,0
"159","Jonathan",568,778.489629189558,15,2275,851.410378735071,0
"160","Jonathan",528,762.631887802088,9,2107,859.950661398658,0
"161","Jonathan",597,782.003948405148,12,2201,856.814154485535,0
"162","Jonathan",594,714.863379564306,14,2162,808.571917794559,0
"163","Jonathan",564,737.564384038676,11,2198,847.619808112956,0
"164","Jonathan",560,746.811926477701,13,2197,909.393939414561,0
"165","Jonathan",536,761.166561677,8,2145,877.039144846066,0
"166","Jonathan",563,775.866665001714,11,2167,855.478779737228,0
"167","Jonathan",573,721.21254469931,10,2188,841.373560088604,0
"168","Jonathan",600,736.288049780689,6,2276,830.391255931948,0
"169","Jonathan",593,711.386997601724,5,2323,830.47901859157,0
"170","Jonathan",511,711.419933259746,12,2140,832.250037522825,0
"171","Jonathan",595,706.251931807794,15,2270,780.865117782448,0
"172","Jonathan",600,716.07021462464,11,2314,809.264148928794,0
"173","Jonathan",557,715.065519613978,11,2269,862.412194156192,0
"174","Jonathan",570,773.220575427872,14,2252,878.225719635656,0
"175","Jonathan",547,756.292099870381,8,2208,869.026542058431,0
"176","Jonathan",565,687.615973213234,12,2200,799.479537579735,0
"177","Jonathan",551,791.414364781495,14,2234,830.411789852596,0
"178","Jonathan",592,751.732383534831,7,2189,805.940179320717,0
"179","Jonathan",599,728.123861419667,14,2181,821.540116232724,0
"180","Jonathan",600,766.053828030199,12,2158,915.231589448845,0
"181","Jonathan",608,771.344688750306,7,2193,822.560429261925,0
"182","Jonathan",604,714.611592240307,9,2199,819.500308551351,0
"183","Jonathan",549,745.37932912444,14,2136,852.73281170614,0
"184","Jonathan",552,739.250393339972,19,2158,862.281991062884,0
"185","Jonathan",608,720.623670191919,10,2397,860.398456506185,0
"186","Jonathan",536,770.583493712001,7,2332,890.139257250721,0
"187","Jonathan",570,787.972010859885,7,2122,846.396564792336,0
