"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Lisa",210,3001.92927614116,0,3040,3737.13825415794,0
"2","Lisa",200,2903.95975353203,0,2872,3766.49106196324,0
"3","Lisa",221,2960.44880567265,0,2957,3755.93805752724,0
"4","Lisa",222,2970.84337805268,0,2966,3771.87793475773,0
"5","Lisa",159,3059.1128067717,0,2916,3821.43505344729,0
"6","Lisa",232,2940.97335288821,0,2998,3719.23646467749,0
"7","Lisa",209,2898.37877611888,0,3009,3745.68588323138,0
"8","Lisa",204,2940.43873457488,0,2915,3763.57276639027,0
"9","Lisa",197,3023.31570377758,0,2931,3790.52644389465,0
"10","Lisa",205,3028.71288753823,0,2947,3707.00777474052,0
"11","Lisa",209,2902.08247168137,0,2941,3762.1058560045,0
"12","Lisa",246,2946.21718060309,0,2900,3725.14228380856,0
"13","Lisa",227,2957.34621590338,0,2935,3740.67655430999,0
"14","Lisa",204,2980.89857665206,0,2834,3738.15499046036,0
"15","Lisa",200,2960.91497125053,0,3094,3703.6676147507,0
"16","Lisa",213,2954.634791644,0,2998,3749.34477835668,0
"17","Lisa",199,2930.38079246559,0,2969,3699.28794096041,0
"18","Lisa",201,2969.99426181959,0,2928,3749.98477944593,0
"19","Lisa",184,2977.47475570319,0,2954,3770.65263360757,0
"20","Lisa",202,2921.4477752524,0,3048,3751.68170747853,0
"21","Lisa",219,2995.67132422291,0,2971,3699.81007482418,0
"22","Lisa",184,2951.34749980242,0,2882,3735.66956941449,0
"23","Lisa",200,2996.64079337984,0,3026,3738.35591097646,0
"24","Lisa",242,2926.73231748138,0,2987,3708.76294117351,0
"25","Lisa",175,2972.66519319821,0,2936,3775.94521210534,0
"26","Lisa",218,2926.07437806791,0,3022,3761.53128926876,0
"27","Lisa",200,3015.81750579566,0,3037,3764.62510404914,0
"28","Lisa",226,2978.05157594025,0,2904,3769.69841838417,0
"29","Lisa",206,2917.97647941061,0,3005,3806.58743827716,0
"30","Lisa",190,2940.09209786875,0,3028,3757.50256470976,0
"31","Lisa",208,2967.13616395182,0,2939,3798.70948838339,0
"32","Lisa",183,2992.19679995019,0,2935,3762.27265624376,0
"33","Lisa",223,3018.39046741918,0,2859,3770.80562455437,0
"34","Lisa",214,2879.56940931863,0,2924,3742.12058894828,0
"35","Lisa",238,2959.65365192386,0,2922,3751.95015071423,0
"36","Lisa",213,2954.15252631785,0,2878,3751.95229393225,0
"37","Lisa",192,2992.34189848705,0,2844,3767.82764584645,0
"38","Lisa",181,2978.53470084755,0,2830,3764.49723599711,0
"39","Lisa",194,2949.61188967154,0,2855,3731.32076825542,0
"40","Lisa",183,2958.79449055524,0,2945,3781.7934516292,0
"41","Lisa",213,2879.5603411825,0,3013,3662.76908052938,0
"42","Lisa",199,2897.25169285968,0,2940,3719.91748861956,0
"43","Lisa",227,2899.06715388357,0,2850,3744.07413283999,0
"44","Lisa",219,2857.04434195356,0,2998,3738.71225727609,0
"45","Lisa",194,2916.10025698784,0,2847,3798.0220147654,0
"46","Lisa",207,2958.05387078926,0,2958,3760.92319450769,0
"47","Lisa",198,3008.55232584305,0,3030,3786.92373394196,0
"48","Lisa",219,2963.42846671161,0,2863,3759.20669230054,0
"49","Lisa",191,2963.16740159858,0,3033,3798.85059995893,0
"50","Lisa",191,2969.3896000095,0,2920,3747.83473794688,0
"51","Lisa",145,2927.378730125,0,3018,3805.93893601052,0
"52","Lisa",186,3005.01032622079,0,2991,3783.13959979498,0
"53","Lisa",191,2834.34463745257,0,3004,3715.99670393091,0
"54","Lisa",207,2865.86006177024,0,3000,3702.86762978374,0
"55","Lisa",211,3003.02214810033,0,2879,3815.31579449279,0
"56","Lisa",204,3007.27326687481,0,2922,3726.02046011145,0
"57","Lisa",245,2917.39984874313,0,2900,3676.79843037021,0
"58","Lisa",197,2977.05880022001,0,2889,3773.54650825625,0
"59","Lisa",200,2917.18680915955,0,2964,3743.12479715497,0
"60","Lisa",204,3013.78513735754,0,3024,3740.38305890159,0
"61","Lisa",223,2915.12723428025,0,2992,3718.36606638358,0
"62","Lisa",187,2939.78262530497,0,2968,3815.04128421365,0
"63","Lisa",234,2932.83437060505,0,2940,3751.71391750239,0
"64","Lisa",176,3011.24646484211,0,2931,3754.87855386669,0
"65","Lisa",197,2920.20225774481,0,2980,3750.50157332196,0
"66","Lisa",196,2957.1240797612,0,2887,3692.85594259341,0
"67","Lisa",238,2965.75371345739,0,2909,3701.43250661401,0
"68","Lisa",197,2888.0136048432,0,3014,3717.85238368628,0
