"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Luna",847,2488.21339132358,0,3912,2737.8430765461,0
"2","Luna",815,2510.03674076377,0,4058,2737.49385870822,0
"3","Luna",843,2469.61501419637,0,3891,2704.39325392869,0
"4","Luna",779,2459.02118513406,0,3867,2721.90671133792,0
"5","Luna",805,2451.77104616485,0,3952,2695.85367142013,0
"6","Luna",811,2504.6092022263,0,4053,2714.5829669263,0
"7","Luna",865,2412.35473685107,0,3919,2651.93694164604,1
"8","Luna",886,2478.28178359142,0,3882,2671.42172242512,0
"9","Luna",830,2472.72554055789,0,4022,2693.94091264955,0
"10","Luna",920,2432.90038459155,0,4019,2676.7680009213,0
"11","Luna",801,2458.88853648939,0,3951,2697.56790477315,0
"12","Luna",822,2465.58300177813,0,4042,2681.09960709097,0
"13","Luna",825,2472.71248838364,0,3847,2685.58572869595,0
"14","Luna",863,2440.13981874714,0,3981,2667.76677062578,0
"15","Luna",846,2476.15933748074,0,4039,2720.99923890547,0
"16","Luna",814,2446.77087317134,0,3938,2678.3679804411,0
"17","Luna",796,2463.44712882589,0,3883,2707.08133615674,0
"18","Luna",864,2457.41302108544,0,4072,2688.38465694538,0
"19","Luna",815,2477.80457217422,0,3895,2718.45541899132,0
"20","Luna",810,2442.31709603417,0,3896,2656.59986912544,0
"21","Luna",838,2479.43480730345,0,4106,2713.70597329355,0
"22","Luna",877,2439.23154398702,0,3995,2685.4194846125,0
"23","Luna",813,2494.55304683723,0,4039,2708.52098269534,0
"24","Luna",812,2509.47592540015,0,4005,2725.47764542803,0
"25","Luna",851,2510.57498678516,0,3998,2733.71329509789,1
"26","Luna",837,2456.99619529754,0,3958,2656.53526662801,0
"27","Luna",876,2464.73084080011,0,3906,2693.55322619422,0
"28","Luna",865,2438.65989708666,0,4043,2662.51413686127,0
"29","Luna",842,2490.28070021594,0,4002,2732.36837657751,0
"30","Luna",873,2484.74019004239,0,4019,2704.45222864303,0
"31","Luna",856,2454.98912803749,0,4052,2704.45050217217,0
"32","Luna",831,2473.42776109597,0,3979,2714.78323793524,0
"33","Luna",850,2492.43088631611,0,4040,2729.47909087843,0
"34","Luna",848,2532.29182545627,0,4073,2735.7982892632,0
"35","Luna",855,2481.67169129988,0,4042,2693.47374497466,0
"36","Luna",826,2447.59541575427,0,4053,2681.53790099778,0
"37","Luna",793,2491.76960725651,0,4001,2710.12874151453,0
"38","Luna",829,2474.91142092279,0,4011,2708.31498319512,0
"39","Luna",819,2502.20388790651,0,4080,2719.1611050803,0
"40","Luna",834,2461.18454527525,0,3934,2707.74336989729,0
"41","Luna",857,2434.43191526189,0,3846,2649.57573922106,0
"42","Luna",851,2342.51276377074,0,3971,2637.41450486647,0
"43","Luna",893,2463.6060922375,0,4058,2691.85305631066,0
"44","Luna",855,2444.00171299881,0,4029,2672.17790265059,0
"45","Luna",828,2463.50145235116,0,4058,2689.98973030117,0
"46","Luna",887,2462.59987431382,0,3926,2674.86661187975,0
"47","Luna",828,2393.01700853408,0,3938,2668.85154456367,0
"48","Luna",839,2436.68685894386,0,3833,2673.03549805164,0
"49","Luna",833,2478.70489805806,0,3937,2683.74627796149,0
"50","Luna",845,2436.56922715603,0,3940,2704.39898465397,0
"51","Luna",816,2484.97795024334,0,3920,2710.9713365155,0
"52","Luna",818,2460.79534829188,0,4024,2682.44348092381,0
"53","Luna",840,2466.93809523427,0,3998,2668.12741451465,0
"54","Luna",781,2436.75815645929,0,3914,2683.5191846343,0
"55","Luna",842,2438.02684427155,0,3933,2641.86546351878,0
"56","Luna",844,2501.94912996635,0,3843,2705.09814291651,0
"57","Luna",811,2463.62353383085,0,4013,2714.09665470313,0
"58","Luna",855,2487.94001237274,0,3881,2671.33638559906,0
"59","Luna",797,2444.14066709568,0,4013,2704.17744329542,0
"60","Luna",815,2484.73347697397,0,3951,2718.76952270236,0
