"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Margaret",1468,598.045258803459,44,5082,1003.13952505209,3
"2","Margaret",1300,608.110781386693,33,5256,1032.69242654785,3
"3","Margaret",1219,650.628353855064,18,5237,1037.75697113912,2
"4","Margaret",1238,634.540047198386,12,5322,1045.08081657363,5
"5","Margaret",1316,644.072290373437,24,5159,1033.14816535915,4
"6","Margaret",1263,664.959219673788,18,5120,1027.21340165477,5
"7","Margaret",1368,605.840065315682,25,5250,1039.32404405662,5
"8","Margaret",1422,646.74122877871,30,5170,1030.19668204692,1
"9","Margaret",1315,618.854856931002,28,5245,1013.70617157102,2
"10","Margaret",1328,646.752569397207,27,5104,1050.71867043589,4
"11","Margaret",1300,630.363836468555,25,5240,1025.09832276065,8
"12","Margaret",1201,645.985127160967,26,5284,1057.00809000679,2
"13","Margaret",1439,651.515544563909,27,4872,1044.41671047063,2
"14","Margaret",1311,635.734883406926,21,5305,1031.22619793156,4
"15","Margaret",1322,599.237072678034,33,4891,1054.4035915136,8
"16","Margaret",1264,639.050356674811,26,4906,1026.42735103182,2
"17","Margaret",1252,627.835723330637,20,4794,1032.337523232,6
"18","Margaret",1365,658.307673597695,23,5290,1040.76207282482,2
"19","Margaret",1278,616.984498694606,32,5191,1004.66763349328,2
"20","Margaret",1310,638.144832561241,28,5168,1047.52008616302,0
"21","Margaret",1441,623.112397941695,35,5146,1034.51211569499,1
"22","Margaret",1348,649.160092861886,26,5081,1035.60368152086,4
"23","Margaret",1248,620.847557328783,24,4821,1032.66543917073,0
"24","Margaret",1281,626.399728112331,23,5016,1040.32301970697,4
"25","Margaret",1382,607.072153872519,27,5264,1009.02224896622,7
"26","Margaret",1315,634.773868875356,29,5198,1043.37650232941,0
"27","Margaret",1375,615.988975585991,38,5056,1041.76688968513,0
"28","Margaret",1266,612.517315752736,38,5077,1034.81161042438,6
"29","Margaret",1365,649.928580624398,21,5313,1025.44237786982,4
"30","Margaret",1258,655.503435093938,20,5259,1065.61591977238,1
"31","Margaret",1295,670.005697442487,27,5075,1034.87807028055,0
"32","Margaret",1368,585.874872556155,23,5136,1033.16209958684,0
"33","Margaret",1246,642.437994943274,22,5044,1030.09728421213,5
"34","Margaret",1518,632.442243965606,29,5452,1020.31387835666,6
"35","Margaret",1211,610.083604825305,25,5130,1050.47710409534,1
"36","Margaret",1499,606.6491528051,35,5319,1021.68129655185,8
"37","Margaret",1419,586.831764959918,26,5160,1036.41943426891,1
"38","Margaret",1241,649.262527839787,27,5270,1043.38484305569,2
"39","Margaret",1397,655.841279673874,32,5326,1016.83585429816,3
"40","Margaret",1240,663.382338741377,28,5287,1038.31739284346,5
"41","Margaret",1424,641.339738567832,26,4984,1031.1341324257,2
"42","Margaret",1316,706.756676125199,18,4959,1085.54444325152,2
"43","Margaret",1234,636.375018556379,22,4873,1025.33065622895,7
"44","Margaret",1328,603.553504702223,36,5108,1015.18167257151,0
