"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Minnie",259,649.248208505024,4,1513,802.538549328464,0
"2","Minnie",260,619.147670752675,5,1438,757.660281760848,0
"3","Minnie",293,660.928474906271,6,1544,721.128384606384,0
"4","Minnie",315,617.00866007512,6,1602,711.490393973131,0
"5","Minnie",264,629.964865920338,4,1405,737.230783547345,0
"6","Minnie",223,597.785752771724,2,1442,690.445546683575,0
"7","Minnie",232,597.057504116507,5,1499,659.930716652157,0
"8","Minnie",289,620.762938555157,4,1650,756.750322441455,0
"9","Minnie",277,545.006170061917,7,1500,699.811714184022,0
"10","Minnie",256,674.4217124217,5,1551,796.42950029051,0
"11","Minnie",256,632.364894713661,1,1500,755.950547333745,0
"12","Minnie",256,611.22493673692,1,1466,739.376106267422,0
"13","Minnie",254,662.655252706577,5,1534,788.621227877519,0
"14","Minnie",254,628.769738679362,7,1509,802.322791645098,0
"15","Minnie",255,674.70582390705,5,1449,750.941553569367,0
"16","Minnie",271,623.972565875994,8,1521,705.763287028104,0
"17","Minnie",254,595.210616668231,5,1464,703.368158628594,0
"18","Minnie",242,552.454374208154,11,1542,719.558280477544,0
"19","Minnie",258,598.10381249016,4,1496,745.755569723438,0
"20","Minnie",276,614.957315032627,2,1463,760.862051223757,0
"21","Minnie",232,595.891869736275,2,1484,730.597843896091,0
"22","Minnie",250,636.974803242567,3,1459,791.470321186983,0
"23","Minnie",282,626.730692253764,5,1437,745.432885484768,0
"24","Minnie",250,624.903951944414,4,1425,671.813598438367,0
"25","Minnie",252,669.203273191,2,1517,775.197191400456,0
"26","Minnie",236,614.759413627779,3,1593,752.961276371776,0
"27","Minnie",251,649.217797926625,5,1572,807.410188317466,0
"28","Minnie",246,612.61717172345,4,1600,713.287387304569,0
"29","Minnie",240,568.406167608797,8,1508,694.414354467443,0
"30","Minnie",246,628.188174199671,7,1556,716.465624566454,0
"31","Minnie",267,621.317041604836,5,1451,726.823625286993,0
"32","Minnie",265,672.561603086605,2,1549,792.159705373737,0
"33","Minnie",238,600.040426005584,10,1428,710.794822190115,0
"34","Minnie",256,605.890638997871,4,1480,754.394662691688,0
"35","Minnie",250,633.907062374663,5,1479,773.069524392769,0
"36","Minnie",276,648.970340038552,9,1523,746.462451114631,0
"37","Minnie",218,597.345646534077,4,1410,749.15292275532,0
"38","Minnie",276,612.16435145574,2,1489,779.040458949187,0
"39","Minnie",275,634.896860429674,4,1548,706.321241397211,0
"40","Minnie",239,623.870583086394,1,1615,765.254802618526,0
"41","Minnie",300,618.18795874584,9,1618,743.545683628066,0
"42","Minnie",256,595.427829403399,6,1545,702.897357580984,0
"43","Minnie",222,641.240601676292,5,1518,755.557729423823,0
"44","Minnie",266,612.422110525495,6,1484,724.854917441345,0
"45","Minnie",262,602.65690873459,3,1696,734.672327049565,0
"46","Minnie",280,615.125596663249,4,1481,721.492855239765,0
"47","Minnie",256,634.029451007174,4,1494,753.275618634675,0
"48","Minnie",262,646.137578511324,4,1461,766.606746060497,0
"49","Minnie",288,642.064965749551,2,1514,786.499456742043,0
"50","Minnie",298,654.943976389419,4,1592,747.539618809968,0
"51","Minnie",252,623.023863355026,3,1497,703.053290772163,0
"52","Minnie",272,601.289703544682,5,1482,707.111711150987,0
"53","Minnie",247,604.377941423846,2,1474,771.682839690054,0
"54","Minnie",264,594.105588303071,3,1535,759.348140830966,0
"55","Minnie",238,627.261471020344,7,1353,744.144100437691,0
"56","Minnie",260,601.102042627312,5,1456,717.70450558194,0
"57","Minnie",279,619.915658884363,6,1460,765.774444865011,0
"58","Minnie",243,550.482336331096,6,1504,711.789990163741,0
"59","Minnie",240,598.846699010408,8,1531,758.435535915489,0
"60","Minnie",253,584.236630546226,10,1418,693.048558739055,0
"61","Minnie",292,611.612071522529,1,1630,719.689747186245,0
"62","Minnie",270,582.605130023055,4,1544,695.10215015389,0
"63","Minnie",258,607.816408088574,5,1494,741.778438488542,0
"64","Minnie",271,627.437199074837,3,1577,736.417357985725,0
"65","Minnie",296,536.266966037462,9,1517,688.569516513435,0
"66","Minnie",240,609.065091465633,7,1516,749.202816360764,0
"67","Minnie",240,586.333952840399,7,1514,684.401715654427,0
"68","Minnie",228,643.185679924669,2,1549,716.228356676782,0
"69","Minnie",270,635.308706453837,7,1524,752.987962934004,0
"70","Minnie",252,603.613094683387,11,1507,744.333296664735,0
"71","Minnie",285,597.565538943065,6,1452,708.18239034236,0
"72","Minnie",272,595.434792946255,6,1442,688.004718780482,0
"73","Minnie",254,584.451630477149,4,1479,738.147041227038,0
"74","Minnie",244,562.781791506331,4,1619,729.385086062885,0
"75","Minnie",224,597.152611866717,1,1439,733.802675403051,0
"76","Minnie",228,662.866744813101,4,1446,737.44094318403,0
"77","Minnie",224,605.261539423915,8,1478,781.668003759803,0
"78","Minnie",254,662.207192257984,3,1485,726.451558186252,0
"79","Minnie",254,593.757088218053,5,1533,692.784675049765,0
"80","Minnie",248,609.428678830117,5,1512,706.614834931022,0
"81","Minnie",254,592.485746880066,3,1552,710.167921503597,0
"82","Minnie",258,637.928824677637,5,1539,767.889731868457,0
"83","Minnie",268,606.406937973846,1,1487,719.957222735529,0
"84","Minnie",272,638.736623984337,4,1582,678.396101066523,0
"85","Minnie",238,614.981694903313,3,1518,729.909405221659,0
"86","Minnie",254,633.477596330302,0,1497,754.322409315399,0
"87","Minnie",229,650.132246813073,4,1438,771.137008750679,0
"88","Minnie",220,601.237605327269,6,1479,760.120626406466,0
"89","Minnie",232,634.251360263687,1,1496,708.671542578097,0
"90","Minnie",246,549.99749336708,9,1493,731.860403620447,0
"91","Minnie",251,639.965085105054,3,1485,746.305694820032,0
"92","Minnie",261,618.047093744634,3,1384,755.689291058071,0
"93","Minnie",262,623.082660470509,3,1520,692.600282584228,0
"94","Minnie",230,587.180671916477,7,1566,752.027556902688,0
"95","Minnie",261,612.190122067936,6,1426,732.551342249503,0
"96","Minnie",248,658.55562963027,3,1486,754.428771026314,0
"97","Minnie",270,639.564953180306,4,1517,763.119136148462,0
"98","Minnie",251,678.8428378907,1,1541,766.45095465562,0
"99","Minnie",298,619.551638419,6,1524,744.056127522392,0
"100","Minnie",234,541.499623155757,6,1410,703.221182984979,0
"101","Minnie",254,590.876930446498,7,1602,730.841188010275,0
"102","Minnie",249,629.052457057109,5,1447,723.736331798047,0
"103","Minnie",259,603.719799797302,4,1557,737.683250626125,0
"104","Minnie",272,639.21184897627,2,1545,747.623020219459,0
"105","Minnie",233,604.139444084414,4,1589,721.285062506372,0
"106","Minnie",238,615.297091828093,5,1478,738.787084304052,0
"107","Minnie",248,619.651246160409,6,1513,759.870505621838,0
"108","Minnie",266,660.136123160479,4,1537,766.787637129766,0
"109","Minnie",252,682.193564068446,2,1533,751.845585656847,0
"110","Minnie",264,619.713470255576,1,1546,751.265830062761,0
"111","Minnie",268,649.686135782101,6,1482,695.637717417389,0
"112","Minnie",260,691.033833019598,5,1517,827.512082952008,0
"113","Minnie",289,634.30931346643,7,1568,754.791324859797,0
"114","Minnie",280,635.289896991407,5,1556,735.435356223121,0
"115","Minnie",283,639.513642849175,8,1438,760.700144615991,0
"116","Minnie",236,641.508100927424,7,1402,743.739542378767,0
"117","Minnie",240,634.661552678006,4,1441,776.111603605469,0
"118","Minnie",266,636.379897223909,4,1578,738.770038085014,0
"119","Minnie",263,606.883646782746,5,1504,711.47608853636,0
"120","Minnie",256,629.653518473547,2,1423,692.877985932305,0
"121","Minnie",260,628.438394255366,2,1517,743.065419917644,0
"122","Minnie",282,633.843725157449,7,1523,742.133674488192,0
"123","Minnie",263,565.500037221034,7,1456,759.52495652554,0
"124","Minnie",272,640.636628468323,4,1476,676.857049020331,0
"125","Minnie",282,634.361320814428,4,1508,691.649962794983,0
"126","Minnie",232,619.723469718344,3,1415,703.94979559071,0
"127","Minnie",270,658.794165207307,4,1418,717.496953697213,0
"128","Minnie",258,576.880703659069,3,1498,737.329365784358,0
"129","Minnie",270,610.165347890199,5,1459,783.965688646758,0
"130","Minnie",234,690.022117774311,3,1513,780.882055855211,0
"131","Minnie",268,582.106951848531,7,1520,747.666531803695,0
"132","Minnie",244,631.76393496757,3,1417,752.815472156132,0
"133","Minnie",256,604.011231136284,6,1500,719.640311355854,0
"134","Minnie",274,669.144086623887,3,1452,821.046526090543,0
"135","Minnie",279,639.252225220718,2,1484,762.710048371926,0
"136","Minnie",286,581.569606109249,8,1577,722.461847404433,0
"137","Minnie",267,610.303167892169,5,1374,737.08207076086,0
"138","Minnie",274,636.506367560723,6,1607,745.788017287433,0
"139","Minnie",259,572.077152342646,6,1486,765.616672404272,0
"140","Minnie",235,604.735644345757,4,1498,709.945838318927,0
"141","Minnie",248,569.297302223709,6,1384,695.037878511013,0
"142","Minnie",258,662.208982176403,3,1576,735.721037099289,0
"143","Minnie",266,557.561321804523,4,1521,690.443608622077,0
"144","Minnie",278,625.525588829864,6,1497,734.127109288027,0
"145","Minnie",276,640.450051205461,4,1581,721.338732922193,0
"146","Minnie",267,620.22059519781,5,1430,722.20779166305,0
"147","Minnie",260,615.830058278783,3,1494,759.918092722978,0
"148","Minnie",236,580.43461213832,5,1440,718.023703712426,0
"149","Minnie",324,636.235299793306,9,1630,743.765749156427,0
"150","Minnie",264,598.132205714246,7,1486,737.387697373618,0
"151","Minnie",226,601.165693009979,3,1528,707.390562450847,0
"152","Minnie",270,615.350025864166,1,1450,720.118497896832,0
"153","Minnie",282,629.13780420132,3,1524,742.177557163516,0
"154","Minnie",244,524.985061757164,7,1448,668.17197941746,0
"155","Minnie",283,640.040681429551,2,1534,745.61731599744,0
"156","Minnie",264,547.111159901834,4,1545,737.055016980562,0
"157","Minnie",264,585.053298955152,2,1555,706.925191016511,0
"158","Minnie",290,615.50634617762,6,1522,752.933597431387,0
"159","Minnie",249,627.879865904648,5,1522,791.122849318161,0
"160","Minnie",244,642.616187871928,1,1542,706.722943175375,0
"161","Minnie",184,577.173538076678,4,1352,724.804140635324,0
"162","Minnie",263,587.850798331623,6,1457,702.746982094169,0
"163","Minnie",270,626.633870429378,7,1556,817.77738661145,0
"164","Minnie",246,649.029759890983,2,1616,748.524838532287,0
"165","Minnie",252,643.885639703101,3,1483,761.819778045191,0
"166","Minnie",272,588.632091381506,6,1511,742.597046604763,0
"167","Minnie",242,613.61641351718,2,1498,778.674581245447,0
"168","Minnie",248,616.352293165977,3,1452,726.626024967431,0
"169","Minnie",252,578.826973568744,4,1424,717.765854871226,0
"170","Minnie",266,634.116669080949,7,1508,730.581705400313,0
"171","Minnie",268,621.239153148787,5,1608,707.649801586596,0
"172","Minnie",234,622.478653823195,4,1453,746.064349262495,0
"173","Minnie",192,655.892733107519,3,1399,728.23066078434,0
"174","Minnie",241,610.946048757982,10,1561,733.08614884325,0
"175","Minnie",246,583.684150981668,7,1409,753.869390243741,0
"176","Minnie",258,608.198393475481,2,1535,679.71728860696,0
"177","Minnie",256,599.985049543562,6,1408,777.249260051708,0
"178","Minnie",288,611.524736904973,9,1593,740.185906345519,0
"179","Minnie",274,661.332934203494,3,1640,764.028251809615,0
"180","Minnie",234,602.993338825504,5,1509,721.514111177656,0
"181","Minnie",255,624.964450463566,3,1534,739.282728222377,0
"182","Minnie",250,621.248441232889,1,1537,751.229506509636,0
"183","Minnie",234,621.272988349111,4,1415,755.176223779506,0
"184","Minnie",213,590.442220602992,1,1528,716.284027967567,0
"185","Minnie",258,634.993883168265,3,1512,730.351566308138,0
"186","Minnie",278,593.997291016571,4,1610,740.015092603445,0
"187","Minnie",262,621.081205098475,2,1552,716.645793740327,0
"188","Minnie",248,631.187644724117,4,1571,746.380933227331,0
"189","Minnie",248,548.922948200073,4,1517,693.745354170442,0
"190","Minnie",252,634.768893246074,5,1506,749.485868144796,0
"191","Minnie",286,558.128423380317,10,1496,677.157287221966,0
"192","Minnie",242,613.378265236456,5,1462,763.161607356516,0
"193","Minnie",248,628.628171499963,4,1454,709.054285899847,0
"194","Minnie",256,638.415993735954,5,1519,733.140877696471,0
"195","Minnie",242,605.774735318106,3,1559,726.36010729916,0
"196","Minnie",260,597.983509507811,3,1527,782.657181559954,0
"197","Minnie",264,653.838513075716,4,1549,746.139718086679,0
"198","Minnie",297,588.81028039096,8,1541,717.941179498681,0
"199","Minnie",236,603.086589566904,3,1494,721.59286581935,0
"200","Minnie",263,621.646442493509,7,1522,726.01030034872,0
"201","Minnie",238,616.084925304326,3,1486,714.558830984565,0
"202","Minnie",252,585.637594042757,5,1487,718.148500037572,0
"203","Minnie",277,661.065602486992,0,1484,802.071225336237,0
"204","Minnie",286,616.396029969102,6,1572,782.622859299511,0
"205","Minnie",284,607.943396932164,8,1636,757.02525528524,0
"206","Minnie",222,687.970706362578,2,1424,806.120321665363,0
"207","Minnie",266,645.95540241555,5,1500,700.125880210295,0
"208","Minnie",250,588.849105883022,0,1440,710.335544633069,0
"209","Minnie",234,615.033295239182,1,1553,767.832232230287,0
"210","Minnie",217,573.557042336029,3,1419,720.340024026792,0
"211","Minnie",259,600.917273207319,6,1431,767.553297336065,0
"212","Minnie",238,627.799903780777,5,1449,745.348941357878,0
"213","Minnie",241,643.404910501507,5,1490,701.849462099123,0
"214","Minnie",252,589.102850382989,8,1478,707.439066796514,0
"215","Minnie",284,598.706309141969,4,1619,708.94101108977,0
"216","Minnie",256,625.360300491065,6,1466,716.335818822129,0
"217","Minnie",259,615.833168043975,4,1480,702.959157243003,0
"218","Minnie",271,591.006959742664,6,1486,674.007426880456,0
"219","Minnie",307,609.907444987781,8,1486,746.96938011623,0
"220","Minnie",298,611.422030945008,7,1503,751.291516820559,0
"221","Minnie",283,668.201689174677,2,1622,827.38985404137,0
"222","Minnie",249,599.262598419766,5,1459,720.26473329957,0
"223","Minnie",245,602.810516271385,1,1547,718.757315634958,0
"224","Minnie",252,623.070718903955,2,1568,759.622382181471,0
"225","Minnie",259,605.43169399004,4,1418,710.665511712313,0
"226","Minnie",262,576.287052755837,2,1556,700.008572912472,0
"227","Minnie",246,626.176112713373,4,1661,737.633667052624,0
"228","Minnie",281,664.288611813119,8,1478,748.036534048447,0
"229","Minnie",275,589.417569112647,5,1556,717.702216547027,0
"230","Minnie",274,622.295654482482,3,1446,724.80867460129,0
"231","Minnie",303,631.346413467788,5,1552,796.906140677227,0
"232","Minnie",302,683.339918435145,7,1640,788.716993987878,0
"233","Minnie",283,617.843687734435,6,1482,722.98889089932,0
"234","Minnie",259,642.070243216486,2,1435,716.723395867678,0
"235","Minnie",240,680.293890448229,2,1403,788.439515794975,0
"236","Minnie",276,600.532836547483,6,1617,712.150339453798,0
"237","Minnie",244,627.726178646747,2,1503,778.802080824053,0
"238","Minnie",285,627.508887259321,3,1516,725.82100060614,0
"239","Minnie",282,607.622235314351,2,1515,692.047121449057,0
"240","Minnie",256,584.213746046819,4,1611,747.171001104463,0
"241","Minnie",248,604.793876203819,6,1466,765.214854677345,0
"242","Minnie",261,648.522971237183,5,1506,758.492392990419,0
"243","Minnie",293,616.414153462847,5,1442,785.970130197084,0
"244","Minnie",264,605.617625693587,4,1557,713.720170011999,0
"245","Minnie",248,608.802216916713,6,1525,721.719440942654,0
"246","Minnie",240,609.021493373596,0,1432,730.22964012039,0
"247","Minnie",266,655.682915905852,7,1527,734.795812113476,0
"248","Minnie",280,633.580291004779,5,1572,733.957271319389,0
"249","Minnie",254,654.186299221457,6,1417,769.875602618313,0
"250","Minnie",254,608.044150361986,4,1526,725.071083044633,0
"251","Minnie",276,664.703765744444,5,1456,760.723296472816,0
"252","Minnie",261,596.782656512277,6,1503,729.00508399387,0
"253","Minnie",236,560.695692005203,7,1292,678.061126316581,0
"254","Minnie",236,611.073636144998,5,1506,726.149885330366,0
"255","Minnie",237,598.119048531074,2,1474,724.969177812527,0
"256","Minnie",284,564.24183935722,7,1424,692.677381990423,0
"257","Minnie",229,614.212433003997,5,1464,722.517905555017,0
"258","Minnie",273,660.270816735562,1,1560,813.941357834025,0
"259","Minnie",236,612.972373057676,1,1661,717.046894665437,0
"260","Minnie",268,636.103547640798,6,1420,755.319542897266,0
"261","Minnie",254,558.148888727203,7,1566,773.392712205831,0
"262","Minnie",270,636.253549968703,3,1612,727.994610961314,0
"263","Minnie",262,629.57550110962,4,1478,773.755272938787,0
"264","Minnie",274,604.153304313955,4,1442,760.015027864359,0
"265","Minnie",241,595.399173828472,6,1497,744.945511177726,0
"266","Minnie",312,641.852537581216,2,1494,772.984536824333,0
