"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Morgan",1870,723.619941511107,18,3570,1015.83032773869,0
"2","Morgan",1916,704.597084444515,23,3547,995.660235698106,0
"3","Morgan",1969,698.094269682059,21,3455,954.423681341106,0
"4","Morgan",1932,748.492959895007,14,3651,1005.92597570544,0
"5","Morgan",2004,714.994514051673,18,3578,1002.29703517225,0
"6","Morgan",1956,719.671673868615,22,3326,1002.92912603614,0
"7","Morgan",1904,715.478273734098,26,3476,980.473046319326,0
"8","Morgan",2006,735.491436853968,29,3493,998.670188007725,0
"9","Morgan",2051,704.284504017871,26,3456,979.39055700605,0
"10","Morgan",2070,716.730517112449,26,3519,981.761894715214,0
"11","Morgan",2099,705.887564099401,35,3592,988.232771687675,0
"12","Morgan",2041,721.438587609271,29,3625,975.074665437999,0
"13","Morgan",2059,714.976395838342,19,3536,986.101465101656,0
"14","Morgan",2012,701.660588694377,29,3481,964.968747876535,0
"15","Morgan",2027,710.886243277733,22,3538,992.065328648898,0
"16","Morgan",2043,695.009311622597,23,3520,986.764546300689,0
"17","Morgan",1977,704.313581513895,23,3478,982.03520766404,0
"18","Morgan",1967,709.486909764042,34,3540,991.054743178693,0
"19","Morgan",1935,683.154480008131,29,3309,982.61477429005,0
"20","Morgan",2002,740.144993153395,21,3746,1019.29792754099,0
"21","Morgan",1969,691.518056116244,30,3439,993.210310526487,0
"22","Morgan",1903,718.975596539337,20,3419,994.662418437819,0
"23","Morgan",1903,689.5352656846,27,3543,992.506922523872,0
"24","Morgan",2086,703.827307786756,21,3550,976.45048445695,0
"25","Morgan",1923,703.152720787694,16,3376,975.404734508634,0
"26","Morgan",2033,714.3636802085,31,3424,991.472124495319,0
"27","Morgan",1914,738.153090172875,19,3448,981.33589213022,0
"28","Morgan",2035,726.043366367522,24,3608,979.40135258499,0
"29","Morgan",2017,699.140474392262,28,3439,987.467498508371,0
"30","Morgan",1992,716.106158406386,32,3481,989.829736616506,0
"31","Morgan",2020,697.645474719589,24,3483,973.544369562341,0
"32","Morgan",2051,705.717255098471,25,3604,986.022257757139,0
"33","Morgan",2039,700.189640003557,20,3461,998.073164515578,0
"34","Morgan",1968,733.847463786112,23,3606,992.280868255668,0
"35","Morgan",1987,721.83372007438,28,3442,987.473500772925,0
"36","Morgan",1999,719.138888373465,26,3489,1008.03243849781,0
"37","Morgan",2047,698.228323787733,22,3433,1001.63220588463,0
"38","Morgan",1972,688.194500825517,27,3494,996.569909680509,0
"39","Morgan",1972,710.657071525148,18,3564,969.66306482721,0
"40","Morgan",2078,712.496517331439,22,3530,983.514679453158,0
"41","Morgan",2052,707.709984751173,32,3549,1014.42259255475,0
"42","Morgan",1971,709.32068178937,31,3607,983.825106854439,0
"43","Morgan",1976,704.321011978407,15,3545,999.715241148872,0
"44","Morgan",1923,711.508430395364,19,3325,982.098773883867,0
"45","Morgan",2007,676.536267417764,21,3542,975.672144538263,0
"46","Morgan",2091,717.278424343432,28,3565,1011.54177903075,0
"47","Morgan",1999,696.841721583479,29,3511,1005.81753306313,0
"48","Morgan",2091,694.553096660032,40,3501,948.965143958308,0
"49","Morgan",2065,691.699066311524,18,3562,970.307152238845,0
"50","Morgan",2033,724.349821003173,29,3483,982.570182169022,0
"51","Morgan",2000,707.535200443391,19,3586,998.564449687016,0
"52","Morgan",2041,710.782574466576,30,3508,1001.50701355048,0
"53","Morgan",2009,710.391319245753,27,3360,973.309749711935,0
"54","Morgan",2064,695.490822764265,23,3635,972.199166574602,0
"55","Morgan",2000,695.469708707464,12,3453,968.997539046181,0
"56","Morgan",2015,698.766310608573,20,3453,974.313511709175,0
"57","Morgan",2029,709.654445985833,28,3680,1014.92554877953,0
"58","Morgan",1970,732.560351189721,33,3448,985.047047798729,0
"59","Morgan",1956,722.704881708347,27,3545,995.310471980721,0
"60","Morgan",2018,704.134382515329,22,3366,984.862048549045,0
"61","Morgan",2023,714.915308906212,19,3501,990.102444530091,0
"62","Morgan",2067,708.70445546859,14,3605,993.935420336176,0
"63","Morgan",2024,705.308470977692,21,3574,1002.68672706136,0
"64","Morgan",1949,705.264307080342,26,3632,1012.02539968774,0
"65","Morgan",1983,663.14709219321,36,3529,990.746032032141,0
"66","Morgan",1969,692.097745064511,24,3654,1014.07995401977,0
"67","Morgan",2022,681.517467814894,27,3403,984.363648941896,0
"68","Morgan",2006,743.066660397797,24,3605,1011.9891879647,0
"69","Morgan",1984,731.058023712188,21,3524,997.622697458915,0
"70","Morgan",1923,696.769599514986,35,3491,962.135262291846,0
"71","Morgan",1988,758.377433183964,18,3587,1000.62392811327,0
"72","Morgan",1955,699.067711644031,31,3483,979.400637345465,0
"73","Morgan",1982,668.4297676929,25,3504,983.38705250697,0
"74","Morgan",2001,695.80231520863,24,3551,995.149468975252,0
"75","Morgan",1985,688.239501371138,19,3554,965.176484315441,0
"76","Morgan",1988,699.076533401075,26,3522,966.178982055984,0
"77","Morgan",1964,719.880177886424,26,3346,1016.2056567176,0
"78","Morgan",1951,730.906009095452,29,3562,992.167961902171,0
"79","Morgan",1975,738.247136874861,14,3497,1008.13993789009,0
"80","Morgan",1995,725.455736321352,26,3467,967.773328639281,0
"81","Morgan",2016,704.648755239582,19,3581,999.397129683419,0
"82","Morgan",2075,714.903300430031,31,3617,1001.45619105873,0
"83","Morgan",1989,691.059429209423,19,3535,977.857133533429,0
"84","Morgan",1932,718.848327872558,22,3556,997.011828071392,0
"85","Morgan",2013,719.836838075042,25,3432,981.204010974744,0
"86","Morgan",1998,709.776519092617,30,3425,992.70293576498,0
"87","Morgan",1962,703.305041247321,27,3683,995.003358154703,0
"88","Morgan",1974,728.579692086234,21,3526,1004.62522204746,0
"89","Morgan",2033,725.680215612686,32,3426,970.123322494576,0
"90","Morgan",2021,695.208899451002,15,3468,975.746596303218,0
"91","Morgan",1970,736.930532982101,27,3539,1006.49758100684,0
"92","Morgan",2090,700.966377454546,32,3463,987.907737002474,0
"93","Morgan",1969,685.876115030261,17,3539,965.937666525495,0
"94","Morgan",2088,699.560026928001,26,3777,985.833206641843,0
"95","Morgan",1992,722.543339004632,21,3443,989.840595853753,0
"96","Morgan",1975,704.245097325612,29,3517,990.188146885941,0
"97","Morgan",1911,727.42510455958,24,3524,971.878529481727,0
"98","Morgan",1976,705.029170567504,24,3635,980.902578114065,0
"99","Morgan",1953,681.443888199348,28,3605,1005.2163166065,0
"100","Morgan",2008,739.091799937149,17,3482,993.494018127645,0
"101","Morgan",1923,718.838907588817,27,3655,998.706226027367,0
"102","Morgan",1975,696.154174351208,21,3517,1005.54496671503,0
"103","Morgan",1948,701.292288887955,18,3483,975.441542876193,0
"104","Morgan",2046,707.299957602579,29,3519,967.140241046086,0
"105","Morgan",1933,722.444268093334,25,3516,1013.23547393233,0
"106","Morgan",1965,740.035367774485,16,3396,1003.11212664071,0
"107","Morgan",1958,714.850036111825,22,3642,979.03451094285,0
"108","Morgan",2060,713.631176472738,19,3548,981.802063581713,0
"109","Morgan",2045,719.253879017075,20,3575,998.771687508612,0
"110","Morgan",2004,701.828055001681,33,3564,997.00750523277,0
"111","Morgan",1969,707.896529238888,27,3693,944.692509865513,0
"112","Morgan",1928,680.688519539317,33,3560,992.999183821621,0
"113","Morgan",1989,719.738704861898,21,3410,988.557443230321,0
"114","Morgan",1950,677.709370807705,18,3564,984.671897071108,0
"115","Morgan",1999,696.604234754217,24,3527,976.656319037379,0
"116","Morgan",2051,722.567550885883,19,3518,983.143019930601,0
"117","Morgan",1952,692.831849248649,27,3498,1007.03929926432,0
"118","Morgan",2055,718.241417952058,28,3593,996.984904657239,0
"119","Morgan",1914,712.161485564367,20,3434,978.507759643227,0
"120","Morgan",2036,728.086377386442,25,3493,988.40092352892,0
"121","Morgan",2095,703.709540314375,26,3719,994.005046936311,0
"122","Morgan",2008,738.669940527736,18,3575,1009.89709655908,0
"123","Morgan",2003,721.15541897497,22,3605,1006.40591629068,0
"124","Morgan",2017,710.316841494026,25,3527,994.024270484164,0
"125","Morgan",2059,697.630891246856,29,3491,1004.20490704142,0
"126","Morgan",2007,714.211625318343,24,3495,1003.35742991187,0
"127","Morgan",2073,709.730014632159,25,3607,979.224525645169,0
"128","Morgan",2045,707.321439646886,22,3684,989.909509695337,0
"129","Morgan",2066,698.97338859932,34,3562,992.720318449282,0
"130","Morgan",2007,712.529985854486,13,3532,1007.44274279928,0
"131","Morgan",2073,719.243339010448,31,3545,976.163009401311,0
"132","Morgan",1988,725.963318570471,17,3408,976.349103576719,0
"133","Morgan",1971,716.836270234623,23,3557,998.604927119227,0
"134","Morgan",2064,711.687475264432,23,3538,998.768813729904,0
"135","Morgan",2019,711.697028528492,14,3529,1000.73097399408,0
"136","Morgan",2009,708.527121858201,24,3566,986.984722828917,0
"137","Morgan",2075,716.547889907356,13,3538,975.882708040143,0
"138","Morgan",2001,714.87182799269,16,3582,975.13439718285,0
"139","Morgan",1962,740.641346848492,27,3447,1015.67524910692,0
"140","Morgan",2045,658.075852902123,33,3487,960.738721729737,0
"141","Morgan",2027,701.412530927017,19,3570,967.872186344514,0
"142","Morgan",2109,689.240694431136,33,3533,950.204084881135,0
"143","Morgan",1983,741.553786444653,26,3505,1020.77177921523,0
"144","Morgan",2036,708.741927259781,16,3561,1001.01681678437,0
"145","Morgan",2034,713.665073995834,27,3588,982.961038261781,0
"146","Morgan",1989,706.622430126817,28,3535,983.46477569104,0
"147","Morgan",2044,739.713166920555,30,3741,1006.14125435822,0
"148","Morgan",2071,702.446195310108,27,3495,978.622502249767,0
"149","Morgan",2048,718.215379106926,21,3498,975.648450597739,0
