"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Nala",174,478.486038999481,22,488,903.113597616764,0
"2","Nala",277,629.964007691631,20,524,858.987451998522,0
"3","Nala",280,576.217342196815,16,581,887.619488077068,0
"4","Nala",290,422.564731360292,22,592,812.068587950735,0
"5","Nala",248,567.394632739147,12,642,876.188216192854,0
"6","Nala",253,592.958971466629,17,741,781.591514922252,0
"7","Nala",207,453.933723228464,22,406,989.932606502981,0
"8","Nala",216,568.709131175917,17,567,955.283407032352,0
"9","Nala",195,537.350472747391,8,624,797.309021389555,0
"10","Nala",311,588.807029862602,15,594,829.692383531623,0
"11","Nala",272,553.8179547003,20,613,832.171670192385,0
"12","Nala",308,526.38052175394,17,695,840.222198312854,0
"13","Nala",253,498.034877268773,16,747,818.798756078271,0
"14","Nala",234,650.319714974482,22,614,832.90300183974,0
"15","Nala",290,644.880523340835,8,678,868.078650519121,0
"16","Nala",257,616.07030218098,19,536,981.001622162598,0
"17","Nala",294,558.403381147473,12,589,790.975780115846,0
"18","Nala",213,635.972991287324,12,452,889.601703059912,0
"19","Nala",207,516.217457208787,10,681,784.175999291714,0
"20","Nala",228,503.958291892272,17,597,939.953868030629,0
"21","Nala",215,559.662681056687,25,795,890.07376409347,0
"22","Nala",255,549.675560298305,27,730,843.418322969476,0
"23","Nala",275,576.624705128234,28,645,836.476778180662,0
"24","Nala",225,598.856669308213,17,581,969.183577443863,0
"25","Nala",327,572.368853541802,17,469,853.280301457279,0
"26","Nala",294,523.579094158054,25,601,907.514174932514,0
"27","Nala",219,430.143836013963,15,856,764.283201758115,0
"28","Nala",211,489.21868244716,10,733,828.735510248503,0
"29","Nala",201,468.58063508403,12,599,778.940513167471,0
"30","Nala",270,566.131415244893,20,687,868.309390311119,0
"31","Nala",300,434.394514856721,13,546,857.733323419214,0
"32","Nala",205,469.314490245129,17,721,791.023006565587,0
"33","Nala",281,608.345687868919,20,552,884.566361891381,0
"34","Nala",304,618.843363854852,16,440,773.022825451884,0
"35","Nala",304,598.311588947367,23,638,840.670893160129,0
"36","Nala",276,552.871514700412,19,360,900.897281563329,0
"37","Nala",349,773.94448899278,20,621,1018.94375241021,0
"38","Nala",232,675.785749023254,13,490,875.603815766937,0
"39","Nala",325,595.828900635497,22,493,935.826919029139,0
"40","Nala",307,673.946008069992,7,597,898.862308344399,0
"41","Nala",233,388.590290693745,18,592,746.565770790565,0
"42","Nala",250,608.931362286948,16,498,899.224264319985,0
"43","Nala",266,671.558887515396,18,605,932.87300840118,0
"44","Nala",244,553.489123630216,27,476,919.087862378091,0
"45","Nala",277,645.578126079036,12,593,769.475312462695,0
"46","Nala",211,661.398012425184,14,620,910.866382674146,0
"47","Nala",220,606.273849536448,17,684,904.24228029293,0
"48","Nala",259,721.688552563193,15,588,966.800280936175,0
"49","Nala",285,390.581822560813,21,464,827.236342131437,0
"50","Nala",279,710.701628656457,18,472,915.489587031393,0
"51","Nala",193,594.41545087762,22,568,900.307434951783,0
"52","Nala",297,562.764754643584,18,362,945.184580445142,0
"53","Nala",221,486.524432940553,25,535,856.575429846675,0
"54","Nala",274,512.69170827469,11,858,847.728954249096,0
"55","Nala",278,521.225795708095,25,540,909.4709645518,0
"56","Nala",235,608.883666150013,16,698,894.182630900603,0
"57","Nala",256,555.50144989638,19,499,892.48424030972,0
"58","Nala",297,602.658834188738,14,401,895.487281404217,0
"59","Nala",252,687.837117597722,10,691,895.287569690397,0
"60","Nala",285,679.888116911417,16,529,937.829344435654,0
"61","Nala",238,667.78034516607,20,544,852.450624340949,0
"62","Nala",239,567.916098497242,11,531,823.248904222483,0
"63","Nala",261,457.051913179917,11,532,898.443295216738,0
"64","Nala",222,712.280472398186,15,495,938.466779649741,0
"65","Nala",213,507.872176640785,10,611,858.038713794289,0
"66","Nala",247,548.980417858342,9,477,972.151149456783,0
"67","Nala",238,759.509100497696,12,654,937.479033895359,0
"68","Nala",368,686.86423895799,5,711,844.861832256872,0
"69","Nala",247,665.537243286314,16,621,846.273461913881,0
"70","Nala",257,511.443158756513,18,714,858.53195998447,0
"71","Nala",280,671.170220570688,17,659,857.948092942253,0
