"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Rocky",410,2066.98877522154,4,3357,2738.4921869002,0
"2","Rocky",441,1921.76012280399,7,3384,2707.46069099486,0
"3","Rocky",423,1966.11273451344,2,3436,2711.0545624799,0
"4","Rocky",450,1962.90156693452,4,3297,2587.02007590604,0
"5","Rocky",424,2110.02529484705,4,3408,2691.78898245171,0
"6","Rocky",406,2090.97764729112,4,3276,2766.81028397705,0
"7","Rocky",432,1985.98810560527,7,3353,2724.40984179515,0
"8","Rocky",428,2114.19258122964,2,3465,2664.78499272264,0
"9","Rocky",443,2044.09163054146,6,3345,2615.55780223143,0
"10","Rocky",392,2006.1371411734,5,3415,2743.65070404586,0
"11","Rocky",387,2046.15242391954,5,3435,2745.14084499227,0
"12","Rocky",430,2006.04416736619,4,3319,2692.73847525073,0
"13","Rocky",462,1931.5157010535,3,3363,2808.50571986418,0
"14","Rocky",409,2073.99132715107,3,3277,2838.38411528691,0
"15","Rocky",410,2004.05470007861,4,3303,2715.65175593888,0
"16","Rocky",422,2134.7888604275,3,3378,2775.26804454826,0
"17","Rocky",436,2020.75963283316,4,3586,2655.28968233297,0
"18","Rocky",423,2039.11450568418,3,3503,2641.51522268826,0
"19","Rocky",407,2208.22026581307,1,3314,2737.54890002068,0
"20","Rocky",363,2091.27531849806,5,3417,2817.47997263302,0
"21","Rocky",426,2031.56132674003,4,3423,2742.59792577782,2
"22","Rocky",449,1949.21247923677,5,3519,2650.61518219139,0
"23","Rocky",435,2016.5864158788,7,3508,2637.54044998337,0
"24","Rocky",413,2030.35812363229,4,3370,2711.75389187785,0
"25","Rocky",428,2005.43450928929,1,3299,2751.20413016266,0
"26","Rocky",423,2228.9299626337,3,3445,2711.98121215019,0
"27","Rocky",409,1963.98077919395,1,3334,2739.35305756167,0
"28","Rocky",450,1978.40166586723,3,3278,2758.89417845284,0
"29","Rocky",429,2106.18487504379,2,3383,2734.1150821932,1
"30","Rocky",426,2050.78033272165,3,3408,2633.90294039945,0
"31","Rocky",382,1976.82172722469,5,3536,2770.4652259578,1
"32","Rocky",380,2051.00950276077,3,3527,2776.60289132842,0
"33","Rocky",501,2040.50107447395,1,3307,2621.69666622274,2
"34","Rocky",451,2050.59430998841,3,3475,2667.00298160929,0
"35","Rocky",440,2032.55810019256,6,3384,2667.96777825403,0
"36","Rocky",405,2100.38417374895,3,3196,2708.67077435864,0
"37","Rocky",416,2073.07320226797,0,3338,2699.31714174552,0
"38","Rocky",398,2061.40425229336,8,3338,2713.41841993498,0
"39","Rocky",432,2227.08065394124,1,3385,2761.29140360511,0
"40","Rocky",454,1971.23293882446,0,3306,2724.74277892052,0
"41","Rocky",467,2010.96613621938,6,3467,2633.41009372269,0
"42","Rocky",370,2003.36332596045,0,3468,2673.08514045241,0
"43","Rocky",401,2091.68558299792,8,3348,2754.48650929704,0
"44","Rocky",441,1906.6138779251,8,3466,2716.09847832499,0
"45","Rocky",403,2246.78713593251,1,3368,2766.62046692134,0
"46","Rocky",418,2096.26152468179,3,3454,2724.321298188,0
"47","Rocky",384,2123.99484724638,2,3155,2830.65325904742,0
"48","Rocky",378,2135.89497590048,5,3326,2857.28037697244,0
"49","Rocky",469,1955.34766167883,6,3552,2714.2835649995,0
"50","Rocky",421,2117.45623075426,3,3222,2688.69281857883,0
"51","Rocky",411,2022.20752950642,2,3248,2770.55720469798,0
"52","Rocky",445,2053.06931011278,4,3532,2703.93821697674,0
"53","Rocky",390,2053.74881257514,3,3510,2743.96954571448,0
"54","Rocky",474,1853.67511355524,6,3379,2779.50835829778,0
"55","Rocky",405,2136.8369329805,1,3223,2766.54425598883,0
"56","Rocky",400,2087.81495992521,2,3360,2638.12861379641,0
"57","Rocky",438,1955.97018701416,8,3417,2670.95138912372,0
"58","Rocky",396,2060.47754865218,5,3452,2697.93169043023,0
"59","Rocky",460,1834.89884377366,3,3324,2724.24201404035,0
"60","Rocky",467,2059.91306776737,1,3481,2733.89183802771,0
"61","Rocky",415,2093.5448650482,3,3466,2631.05591853798,0
"62","Rocky",458,1882.72989332724,8,3549,2673.21333523038,0
"63","Rocky",348,2035.67625907228,6,3379,2754.5076518901,0
"64","Rocky",401,2133.43952725078,1,3142,2842.42859143168,0
"65","Rocky",434,1992.80378661091,7,3332,2790.80817585225,0
"66","Rocky",416,2174.48806743333,3,3476,2778.70631992568,0
"67","Rocky",426,2035.70595381837,3,3470,2777.91746784712,0
"68","Rocky",411,2128.53988869755,6,3537,2700.24774567168,0
"69","Rocky",463,2039.36369315572,2,3388,2719.66294707214,0
"70","Rocky",368,2061.07301814122,4,3379,2790.45074767504,0
"71","Rocky",409,2285.01201418008,0,3223,2884.58620369438,0
"72","Rocky",455,2097.0186399274,3,3389,2765.51418734877,0
"73","Rocky",366,1995.46040787048,4,3336,2733.34022332839,0
"74","Rocky",368,2055.21592610217,6,3391,2832.39880101326,0
"75","Rocky",358,2163.38078188705,3,3404,2811.09892139561,0
"76","Rocky",416,2053.38846842583,0,3358,2707.90088044367,0
"77","Rocky",410,2042.58342073317,3,3389,2801.09991719292,0
"78","Rocky",419,1961.74265710255,3,3418,2708.34741407673,0
"79","Rocky",416,2048.0819960236,5,3283,2745.78611377936,0
"80","Rocky",347,2173.13797036187,6,3292,2855.10771742909,0
"81","Rocky",433,1851.49475563118,9,3417,2691.75240430838,0
"82","Rocky",426,1956.12252892981,6,3288,2787.4093208917,0
"83","Rocky",390,1996.08961348126,3,3277,2745.66979395591,0
"84","Rocky",391,2034.84074833943,2,3433,2707.27599975298,0
"85","Rocky",379,2163.94022134905,1,3310,2798.83514596546,0
"86","Rocky",417,2015.99941869716,2,3291,2756.22428956894,0
"87","Rocky",407,2210.84571388956,3,3288,2799.97900772396,0
"88","Rocky",402,2051.76594847933,2,3238,2768.29934389755,0
"89","Rocky",384,2094.36517751685,4,3413,2775.54392050038,0
"90","Rocky",407,2072.63773416327,3,3341,2798.74769731652,0
"91","Rocky",426,1998.22430549764,4,3323,2695.78893667878,0
"92","Rocky",399,2024.03781575866,4,3345,2820.6246927773,0
"93","Rocky",434,2232.57736788289,4,3281,2780.66929306451,0
"94","Rocky",425,2067.34423613386,4,3525,2680.86194620568,0
"95","Rocky",411,2195.15806829767,1,3260,2785.17026258401,0
"96","Rocky",386,2149.41665461705,1,3390,2833.61466261192,0
"97","Rocky",397,2247.27791746255,1,3214,2845.31092896565,0
"98","Rocky",376,2151.43565557589,0,3299,2848.82220995359,0
"99","Rocky",407,1965.23923692566,1,3554,2672.66786777559,0
"100","Rocky",417,2039.52778722773,4,3329,2785.80233298802,0
