"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Sadie",331,2197.81421159448,0,2493,2171.12030228145,0
"2","Sadie",347,2188.99501055182,0,2612,2153.70925435446,0
"3","Sadie",380,2159.39045740545,0,2415,2146.59802231582,0
"4","Sadie",313,2219.25263396961,0,2626,2142.49229456967,0
"5","Sadie",353,2204.1105872807,0,2571,2174.58005535987,0
"6","Sadie",360,2115.15110122705,0,2665,2087.90401675194,0
"7","Sadie",343,2137.75923822858,0,2716,2132.08996365951,0
"8","Sadie",344,2199.55248666576,0,2667,2146.72275666402,0
"9","Sadie",344,2159.26362845333,0,2627,2112.06047251416,0
"10","Sadie",298,2217.53632766212,0,2670,2176.31308614405,0
"11","Sadie",338,2086.86911258155,0,2682,2140.11880094857,0
"12","Sadie",351,2123.09610303878,0,2526,2147.26641614943,0
"13","Sadie",318,2167.90591650268,0,2586,2139.18061116324,0
"14","Sadie",323,2179.78935964817,0,2676,2124.2546802875,0
"15","Sadie",314,2127.3913182732,0,2617,2141.54654923741,0
"16","Sadie",366,2114.42951016119,0,2788,2091.87568677337,0
"17","Sadie",341,2112.38836402415,0,2685,2103.5995006572,0
"18","Sadie",323,2208.45187590436,0,2516,2190.69264023056,0
"19","Sadie",324,2190.17729675976,0,2511,2144.30006814235,0
"20","Sadie",334,2082.23251608831,0,2787,2143.79741153258,0
"21","Sadie",352,2143.54223283662,0,2673,2147.34087922537,0
"22","Sadie",335,2146.3155056218,0,2779,2153.80207301224,0
"23","Sadie",310,2203.11634370091,0,2462,2168.17543452496,0
"24","Sadie",320,2190.63898018543,1,2867,2142.49559883497,0
"25","Sadie",353,2110.55148865856,0,2696,2097.69445934554,0
"26","Sadie",354,2116.4094349413,0,2704,2128.58310188303,0
"27","Sadie",326,2129.84937879158,0,2534,2163.61060908377,0
"28","Sadie",353,2134.16157875317,0,2693,2137.02921602974,0
"29","Sadie",342,2226.90792696138,0,2542,2174.48411211629,0
"30","Sadie",304,2161.01088031538,0,2784,2109.07678485035,0
"31","Sadie",373,2104.29277278058,0,2714,2097.30958912784,0
"32","Sadie",353,2250.54511357543,0,2501,2211.24863835725,0
"33","Sadie",334,2149.26389602771,0,2634,2128.32436217781,0
"34","Sadie",335,2217.53353244378,0,2785,2157.04036475961,0
"35","Sadie",340,2221.27208979948,0,2448,2145.810326792,0
"36","Sadie",326,2165.65526639309,0,2541,2183.25057945913,0
"37","Sadie",369,2181.04818074551,0,2725,2140.99602371859,0
"38","Sadie",323,2144.72375014243,0,2691,2142.15510312069,0
"39","Sadie",309,2248.8220070154,0,2828,2153.40297498755,0
"40","Sadie",360,2204.99492304223,0,2706,2144.03743201081,0
"41","Sadie",321,2145.70665137795,0,2655,2124.57476187301,0
"42","Sadie",322,2159.24600391974,0,2741,2158.5595742086,0
"43","Sadie",336,2142.04240403575,0,2601,2158.51151946859,0
"44","Sadie",353,2220.2401212099,0,2543,2177.83358922091,0
"45","Sadie",311,2295.39556172391,0,2656,2197.19874354257,0
"46","Sadie",336,2055.85574567891,0,2732,2117.57570745665,0
"47","Sadie",344,2080.75997441519,0,2805,2070.84117486699,0
"48","Sadie",346,2168.82411830851,0,2650,2141.4717556075,0
"49","Sadie",326,2095.9975754852,0,2595,2109.53051789342,0
"50","Sadie",350,2193.29404018153,0,2636,2136.4830210663,0
"51","Sadie",341,2201.47442168257,0,2664,2125.14878649805,0
"52","Sadie",356,2207.1866941339,0,2841,2133.39464699201,0
"53","Sadie",315,2223.66778947127,0,2733,2158.42172557967,0
"54","Sadie",324,2092.58565679178,0,2631,2107.24650955324,0
"55","Sadie",372,2169.71671877941,0,2620,2101.40263160689,0
"56","Sadie",342,2163.37204700144,1,2629,2137.96081982141,0
"57","Sadie",333,2103.97453396154,0,2655,2087.37367277726,0
"58","Sadie",305,2165.36058171115,0,2771,2141.99546349801,0
"59","Sadie",324,2096.65543694157,0,2556,2076.2929399168,0
"60","Sadie",360,2147.73975771637,0,2664,2156.09848548276,0
"61","Sadie",298,2175.74398238543,0,2759,2121.23216106041,0
"62","Sadie",304,2230.06317684573,0,2734,2146.41062024765,0
"63","Sadie",355,2096.35070671509,0,2629,2120.96996193038,0
"64","Sadie",342,2131.81359602405,0,2497,2108.86440415459,0
"65","Sadie",341,2075.66301439229,1,2899,2070.2076963486,0
"66","Sadie",348,2186.5919288344,0,2605,2155.98085596707,0
"67","Sadie",351,2073.60781448701,0,2728,2079.95769978535,0
"68","Sadie",341,2163.78077125038,1,2439,2204.39151141774,0
"69","Sadie",357,2155.31014243751,0,2700,2110.64934879223,0
"70","Sadie",313,2131.51952826207,2,2734,2141.24399438676,0
"71","Sadie",333,2163.23260890552,0,2671,2135.39858003833,0
"72","Sadie",325,2175.05850137165,0,2454,2177.55178933535,0
"73","Sadie",332,2189.18514703025,0,2543,2150.34079465681,0
"74","Sadie",318,2192.26084425858,0,2627,2139.41102357761,0
"75","Sadie",362,2156.24170500283,0,2560,2136.89060997185,0
"76","Sadie",347,2142.3635408295,1,2743,2148.19505790208,0
"77","Sadie",310,2239.17315729199,0,2652,2156.66213371235,0
"78","Sadie",311,2119.51212687148,0,2761,2122.81150494365,0
"79","Sadie",322,2210.70865816515,0,2729,2138.09674980154,0
"80","Sadie",346,2107.84315222267,0,2832,2087.86585001254,0
"81","Sadie",296,2143.79355870647,0,2514,2167.67234998961,0
"82","Sadie",351,2089.89348290711,0,2594,2122.18043486189,0
"83","Sadie",326,2151.45120008541,0,2618,2156.87282405059,0
"84","Sadie",346,2132.79900668463,0,2716,2094.13258929757,0
"85","Sadie",328,2154.66257175937,0,2630,2164.63029723457,0
"86","Sadie",336,2171.09935717931,0,2389,2173.65075095292,0
"87","Sadie",382,2118.45802873032,0,2719,2119.63568416591,0
"88","Sadie",309,2158.26324691259,0,2625,2129.32274456482,0
"89","Sadie",314,2078.9389054234,0,2654,2086.06878261012,0
"90","Sadie",306,2196.67484306108,0,2601,2155.61091307917,0
"91","Sadie",369,2234.61511890789,0,2506,2165.80489048265,0
