"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Shannan",172,1310.79494970241,0,1871,2773.70077236593,0
"2","Shannan",185,1255.13196217559,0,1923,2702.7138552941,0
"3","Shannan",128,1226.71228449859,0,1776,2810.94719188804,0
"4","Shannan",165,1310.89143209185,0,1907,2874.70904348426,0
"5","Shannan",151,1283.5552252398,0,1859,2868.45923112174,0
"6","Shannan",137,1215.34924051118,1,1799,2942.4961212399,0
"7","Shannan",199,1243.21207400731,2,2028,2772.7877575177,0
"8","Shannan",150,1317.36283222552,0,2050,3044.00778429969,0
"9","Shannan",154,1279.48478956003,0,1915,2878.06606185648,0
"10","Shannan",142,1241.29465531596,0,1836,2944.71008733627,0
"11","Shannan",212,1315.66512600991,0,1982,2676.64493665717,0
"12","Shannan",160,1141.3286772042,0,2016,2845.45570249172,0
"13","Shannan",121,1310.54398961733,0,1800,2915.73989672078,0
"14","Shannan",151,1250.77767359911,1,1944,2878.99571600104,0
"15","Shannan",173,1302.21937264251,0,1763,2684.11949652109,0
"16","Shannan",188,1246.70442126624,2,1948,2676.26179626734,0
"17","Shannan",156,1291.60807553215,0,1854,2874.24303555777,0
"18","Shannan",171,1383.1970494195,1,2007,2840.58822339207,0
"19","Shannan",165,1261.34340284564,0,1848,2692.76276242932,0
"20","Shannan",171,1281.91481209465,0,1913,2795.07819565074,0
"21","Shannan",148,1316.75501610353,0,1835,2811.3947712282,0
"22","Shannan",169,1195.17085830626,2,1899,2780.077681549,0
"23","Shannan",133,1157.80439616622,1,1772,2818.68930172494,0
"24","Shannan",166,1178.96733727958,0,2012,2849.43683825614,0
"25","Shannan",176,1173.76473501966,0,1926,2779.26340282546,0
"26","Shannan",174,1252.58871845065,0,1864,2761.99394440969,0
"27","Shannan",170,1257.79709162389,0,1897,2883.1677607634,0
"28","Shannan",172,1224.13887809666,0,1870,2718.2411724806,0
"29","Shannan",135,1335.62689826273,0,1807,2800.25930567343,0
"30","Shannan",186,1164.64692598154,0,1890,2810.79755586195,0
"31","Shannan",146,1244.95843163254,0,1957,2845.34456512027,0
"32","Shannan",157,1383.96705220417,0,1917,2854.84600542945,0
"33","Shannan",137,1318.28879310293,0,1926,3005.50101053984,0
"34","Shannan",157,1215.36045535903,0,1976,2761.00357366615,0
"35","Shannan",170,1292.83862266784,0,1920,2827.25555608057,0
"36","Shannan",150,1265.14079447481,0,1879,2854.4945832606,0
"37","Shannan",156,1270.09347084422,1,1906,2800.66943392428,0
"38","Shannan",170,1264.41974609982,0,1870,2937.14011913196,0
