"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Sweetwater",94,2385.93740110533,0,1586,3561.67398005745,0
"2","Sweetwater",122,2677.009760171,0,1541,3544.84532339266,0
"3","Sweetwater",116,2581.10272501959,0,1668,3524.46214944988,0
"4","Sweetwater",127,2579.94328881569,0,1623,3514.78777687364,0
"5","Sweetwater",117,2526.99888674661,0,1699,3491.33706416951,0
"6","Sweetwater",112,2650.99061199807,0,1492,3545.25519064293,0
"7","Sweetwater",105,2479.88873597611,0,1554,3412.66185956054,0
"8","Sweetwater",120,2430.54689202477,0,1644,3408.25688270758,0
"9","Sweetwater",118,2680.46463333875,0,1613,3574.08354406636,0
"10","Sweetwater",109,2556.15528119604,0,1633,3490.67113681455,0
"11","Sweetwater",108,2547.95220448412,0,1516,3615.83863951985,0
"12","Sweetwater",120,2482.48779036037,0,1616,3466.27208932763,0
"13","Sweetwater",104,2563.73278395641,0,1574,3460.68619094629,0
"14","Sweetwater",122,2562.04637355415,0,1673,3524.86966900309,0
"15","Sweetwater",126,2507.97122720545,0,1550,3532.90467713389,0
"16","Sweetwater",118,2403.99871520215,0,1613,3500.60744646216,0
"17","Sweetwater",148,2545.43100322608,0,1662,3440.57841830676,0
"18","Sweetwater",102,2560.9397022555,0,1600,3578.58953497541,0
"19","Sweetwater",152,2485.42697522926,0,1662,3473.98030141591,0
"20","Sweetwater",123,2422.78487622424,0,1636,3570.02572508417,0
"21","Sweetwater",106,2519.19477047024,0,1589,3509.29193285499,0
"22","Sweetwater",123,2473.22328264238,0,1628,3410.72698770335,0
"23","Sweetwater",124,2499.9711174595,0,1590,3491.58644363974,0
"24","Sweetwater",117,2556.83099564164,0,1700,3451.92781936709,0
"25","Sweetwater",161,2561.49403602006,0,1665,3523.49513891091,0
"26","Sweetwater",113,2484.92389442852,0,1668,3458.274122718,0
"27","Sweetwater",109,2636.0697885439,0,1656,3580.63386060414,0
"28","Sweetwater",134,2556.22502773622,0,1633,3536.58341429825,0
"29","Sweetwater",138,2547.45795140856,0,1665,3463.96560471026,0
"30","Sweetwater",110,2559.59556667706,1,1542,3584.31879815264,0
"31","Sweetwater",124,2529.61266622271,0,1611,3400.70917462789,0
"32","Sweetwater",139,2533.82471013718,0,1690,3404.98498604848,0
"33","Sweetwater",173,2584.68609601599,0,1568,3485.2196588068,0
"34","Sweetwater",118,2464.26845608006,0,1604,3515.39657264666,0
"35","Sweetwater",106,2537.21348914997,0,1748,3542.02340188133,0
"36","Sweetwater",110,2619.64457228729,0,1667,3578.47739267565,0
"37","Sweetwater",125,2612.13189726489,0,1609,3541.1252314053,0
"38","Sweetwater",125,2583.17615631632,0,1679,3581.95199372344,0
"39","Sweetwater",124,2605.72006960049,0,1601,3428.84737265378,0
"40","Sweetwater",123,2474.17750204093,0,1624,3605.18062095959,0
"41","Sweetwater",111,2593.15879620456,0,1569,3573.59089404218,0
"42","Sweetwater",124,2510.87075944928,0,1669,3498.20816095041,0
"43","Sweetwater",140,2405.37447251291,1,1638,3289.91369336037,0
"44","Sweetwater",128,2495.33003182808,0,1549,3335.48571871463,0
"45","Sweetwater",156,2587.02946413706,0,1571,3421.70475953164,0
"46","Sweetwater",152,2547.89074362489,0,1570,3460.18300080412,0
"47","Sweetwater",117,2609.96440157503,0,1546,3505.69336199647,0
"48","Sweetwater",136,2563.76240576483,0,1583,3509.98447924344,0
"49","Sweetwater",123,2531.35213434934,0,1658,3559.68402762927,0
"50","Sweetwater",128,2586.91813545496,0,1583,3513.56746842319,0
"51","Sweetwater",122,2525.41467310354,0,1761,3453.68742971446,0
"52","Sweetwater",132,2466.25712071469,0,1567,3373.92653462865,0
"53","Sweetwater",112,2661.32513677804,0,1664,3450.33237981106,0
"54","Sweetwater",104,2516.74026193762,0,1588,3539.8991361472,0
"55","Sweetwater",168,2496.10662309419,0,1726,3344.6218542324,0
"56","Sweetwater",131,2617.42295419978,0,1617,3535.69504622472,0
"57","Sweetwater",138,2500.57902058729,0,1644,3384.6942380975,0
"58","Sweetwater",130,2371.12298377989,0,1547,3460.12373973016,0
"59","Sweetwater",108,2562.82276123678,0,1549,3560.50721336131,0
"60","Sweetwater",106,2698.40047025688,0,1617,3539.93154221315,0
"61","Sweetwater",130,2618.72585134325,0,1610,3469.4473105929,0
"62","Sweetwater",134,2579.67950520323,0,1596,3528.28722356883,0
"63","Sweetwater",118,2540.41017536673,0,1668,3467.95774378795,0
"64","Sweetwater",134,2508.69798996023,0,1715,3398.53617962035,0
"65","Sweetwater",134,2505.19837628919,0,1612,3479.51642278938,0
"66","Sweetwater",134,2603.017047529,0,1557,3459.62766817999,0
"67","Sweetwater",138,2568.91224538263,1,1544,3561.7848180559,0
"68","Sweetwater",128,2668.14652672443,0,1713,3491.73464562264,0
"69","Sweetwater",114,2629.26783289825,0,1569,3501.92537756451,0
"70","Sweetwater",146,2379.33939262921,0,1580,3357.61209691454,0
"71","Sweetwater",123,2392.9113938964,1,1652,3513.63735172305,0
"72","Sweetwater",133,2530.73674854359,0,1693,3483.87269952154,0
"73","Sweetwater",108,2653.34234170132,0,1555,3629.66075452415,0
"74","Sweetwater",110,2484.04163589503,0,1581,3507.78125910104,0
"75","Sweetwater",125,2524.18172940803,0,1664,3358.35991845678,0
"76","Sweetwater",106,2582.02596931478,0,1658,3579.72093858917,0
"77","Sweetwater",116,2599.3624779049,0,1605,3537.45556908999,0
"78","Sweetwater",108,2595.87719735373,0,1652,3553.66959748805,0
"79","Sweetwater",122,2691.95924430816,0,1600,3570.08457370594,0
"80","Sweetwater",130,2608.74802658768,0,1489,3504.49955929774,0
"81","Sweetwater",130,2631.38091772308,0,1501,3534.8848900448,0
"82","Sweetwater",118,2650.51680738667,0,1621,3529.48294559484,0
"83","Sweetwater",144,2612.95208182555,0,1612,3509.87483223423,0
"84","Sweetwater",139,2494.13258697894,0,1763,3375.22385038394,0
"85","Sweetwater",112,2586.4431121582,0,1555,3521.62223478692,0
"86","Sweetwater",103,2685.45904618635,0,1596,3618.943725697,0
"87","Sweetwater",117,2574.11380252798,0,1563,3494.53615550973,0
"88","Sweetwater",118,2421.09735331937,0,1567,3556.43874721305,0
"89","Sweetwater",125,2472.04508484032,0,1606,3526.13382232715,0
"90","Sweetwater",118,2653.71882505315,0,1561,3492.26446271461,0
"91","Sweetwater",124,2523.39095285738,0,1598,3504.11421684707,0
"92","Sweetwater",124,2487.63396725223,0,1597,3463.48091258001,0
"93","Sweetwater",113,2523.32345947072,1,1662,3555.75622537636,0
"94","Sweetwater",136,2604.87229837838,0,1592,3564.03305260369,0
"95","Sweetwater",100,2426.10095156584,0,1574,3492.61298984362,0
"96","Sweetwater",120,2528.46601966639,0,1513,3476.78243699877,0
"97","Sweetwater",136,2604.71600343692,0,1634,3458.96946150111,0
"98","Sweetwater",104,2536.05946027961,0,1648,3563.98705106213,0
"99","Sweetwater",124,2560.97218597841,0,1644,3554.29943084344,0
"100","Sweetwater",116,2552.66544526253,0,1641,3462.84640283242,0
"101","Sweetwater",134,2575.9114364673,0,1628,3534.65284566005,0
"102","Sweetwater",122,2467.26857679806,0,1700,3470.55458785687,0
"103","Sweetwater",108,2457.76201268183,0,1542,3462.3641401082,0
"104","Sweetwater",96,2499.95847050088,0,1601,3595.74518821283,0
"105","Sweetwater",141,2481.90851175446,0,1619,3485.86459749461,0
"106","Sweetwater",98,2638.42668210214,0,1626,3607.53076170282,0
"107","Sweetwater",120,2425.65722007939,0,1533,3472.48989121553,0
"108","Sweetwater",128,2539.62993803974,0,1512,3479.91881013616,0
"109","Sweetwater",121,2522.32509293078,1,1669,3431.92568255045,0
"110","Sweetwater",128,2560.45669341113,0,1601,3470.22169454553,0
"111","Sweetwater",101,2616.27359000769,0,1575,3472.83794677647,0
"112","Sweetwater",112,2561.06941524426,0,1556,3427.65735704351,0
"113","Sweetwater",115,2541.17386377475,0,1545,3506.70995239304,0
"114","Sweetwater",122,2644.70888255947,0,1593,3464.18982525318,0
