"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Sylvia",24,1325.60097194434,0,1328,4116.16913436062,0
"2","Sylvia",27,1426.78902362042,0,1368,4110.2709414359,0
"3","Sylvia",18,1252.13776283596,0,1358,3808.28344222526,0
"4","Sylvia",21,1610.69036424805,0,1406,4180.02427720898,0
"5","Sylvia",30,1767.19367634624,0,1444,4102.70496851206,0
"6","Sylvia",24,1215.76539239112,0,1303,4163.69802721833,0
"7","Sylvia",29,1705.98472694984,0,1332,3915.96368793049,0
"8","Sylvia",32,1162.33950688686,0,1322,3785.3367644415,0
"9","Sylvia",27,1501.76878691219,0,1363,4063.67909720233,0
"10","Sylvia",27,1322.171557964,0,1338,4255.22461192942,0
"11","Sylvia",20,1198.63380322778,0,1442,3794.37690251363,0
"12","Sylvia",26,1593.00117695761,0,1428,4189.52815137134,0
"13","Sylvia",11,2942.73817898667,0,1380,4110.39669789598,0
"14","Sylvia",24,1212.10167282158,0,1300,4193.31843309325,0
"15","Sylvia",20,1171.89470835754,0,1238,4125.55127900818,0
"16","Sylvia",30,1195.44788344751,0,1236,4098.89595348692,0
"17","Sylvia",18,1909.96831314416,0,1422,4134.79492505596,0
"18","Sylvia",26,1235.96455198592,0,1327,4079.21154305755,0
"19","Sylvia",33,1330.6451503842,0,1430,4084.26770609021,0
"20","Sylvia",18,867.205729532181,0,1287,4159.75957973953,0
"21","Sylvia",27,1326.63397777315,0,1358,4008.53776914691,0
"22","Sylvia",20,1423.7463877333,0,1320,4125.93019294248,0
"23","Sylvia",36,1827.09833234488,0,1474,4136.42145394021,0
"24","Sylvia",30,1937.43229781817,0,1335,4117.05994398343,0
"25","Sylvia",21,1448.63797242699,0,1284,4180.25108148059,0
"26","Sylvia",10,1039.70872704132,0,1234,4027.53213109275,0
"27","Sylvia",26,1319.60951849519,0,1254,3970.97537208083,0
"28","Sylvia",24,1513.2313023393,0,1271,3876.81331365411,0
"29","Sylvia",24,1416.34666895923,0,1475,4182.58727460622,0
"30","Sylvia",43,1550.87276481799,0,1377,3918.76077771182,0
"31","Sylvia",16,960.062969308457,0,1291,4123.10618327081,0
"32","Sylvia",30,1356.11080772155,0,1409,4098.16275509443,0
"33","Sylvia",32,1183.02026878122,0,1331,4055.11565348033,0
"34","Sylvia",18,1343.35537386649,0,1427,4156.5768551099,0
"35","Sylvia",12,1239.19677735558,0,1424,4035.19342607755,0
"36","Sylvia",22,1142.67916694831,0,1366,3929.41149616302,0
"37","Sylvia",22,1620.4350444545,0,1481,4180.25820146225,0
"38","Sylvia",46,1725.24290929067,0,1358,4098.31606426164,0
"39","Sylvia",20,1283.26703799005,0,1400,4092.96606559993,0
"40","Sylvia",30,1688.09356480208,0,1351,4061.07865447683,0
"41","Sylvia",25,1269.83219495484,0,1372,4009.13555643476,0
"42","Sylvia",25,1185.65274398709,0,1406,4252.70952635271,0
"43","Sylvia",19,2061.90733729027,0,1432,4200.13874340303,0
"44","Sylvia",28,1572.83454900504,0,1301,4036.25574564859,0
"45","Sylvia",28,1431.40872297594,0,1382,4163.70164348621,0
"46","Sylvia",29,1114.41082196797,0,1414,4006.35412163085,0
"47","Sylvia",24,1099.08899421766,0,1412,4141.71789712079,0
"48","Sylvia",36,1156.58946485254,0,1380,3868.60856284721,0
"49","Sylvia",38,2129.04353743375,0,1398,3695.85000444142,0
"50","Sylvia",20,1931.03291637845,0,1405,4102.49545550561,0
"51","Sylvia",27,1210.70877468462,0,1319,3902.0686749139,0
"52","Sylvia",28,1811.29266432836,0,1409,4105.61808496123,0
"53","Sylvia",20,851.785353928883,0,1363,3979.06381097227,0
"54","Sylvia",25,1785.58331437743,0,1302,4057.28602782096,0
"55","Sylvia",32,1209.4818501873,0,1446,4213.87445858639,0
"56","Sylvia",15,1663.78245196288,0,1302,4043.24843469212,0
"57","Sylvia",35,1325.47961444097,0,1353,4058.12376233189,0
"58","Sylvia",23,1347.08671060004,0,1355,4041.34757649781,0
"59","Sylvia",23,1670.1934782693,0,1297,4086.07539539147,0
"60","Sylvia",18,1476.97386228603,0,1287,4055.0261114493,0
"61","Sylvia",26,2010.63841558839,0,1326,4079.27242393554,0
