"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Teddy",1430,742.811992303981,38,2839,1261.79849227581,2
"2","Teddy",1560,744.597221740382,42,2913,1297.74257307174,1
"3","Teddy",1552,715.327439494693,35,2735,1303.11261317619,3
"4","Teddy",1483,692.937459693215,34,2881,1261.57523846672,2
"5","Teddy",1553,729.833918117083,39,2868,1355.58904536567,2
"6","Teddy",1523,773.109838976188,25,2931,1299.65663367797,2
"7","Teddy",1566,722.625720615498,30,2951,1269.54501699995,1
"8","Teddy",1345,804.260954129528,26,2841,1281.48866513314,0
"9","Teddy",1527,773.719469681064,32,3103,1347.72605670711,3
"10","Teddy",1523,723.227339655124,24,2963,1318.58418529382,4
"11","Teddy",1437,782.461286777397,35,2871,1336.67921102583,4
"12","Teddy",1466,768.001912939358,27,2967,1331.24834413714,2
"13","Teddy",1496,734.877573351518,47,2947,1291.93393782329,4
"14","Teddy",1329,789.200487259026,31,2834,1388.91774201072,3
"15","Teddy",1572,724.002331749043,31,2751,1282.83257029767,4
"16","Teddy",1545,690.91617389691,36,2783,1280.50674685772,2
"17","Teddy",1489,760.664094526806,25,3044,1298.29091770553,3
"18","Teddy",1468,704.061652862288,33,2985,1253.24452795472,3
"19","Teddy",1473,745.192508273603,23,2832,1265.80742972086,2
"20","Teddy",1552,721.008330989236,40,3058,1286.81847751159,4
"21","Teddy",1452,747.911440321385,28,2858,1261.2061769788,4
"22","Teddy",1582,694.484391199528,33,2949,1252.87470042621,3
"23","Teddy",1336,784.858212005348,28,2948,1311.04768846781,2
"24","Teddy",1499,753.509446099443,35,2964,1284.88703029278,0
"25","Teddy",1376,802.752634979812,27,3006,1305.9084542535,3
"26","Teddy",1444,768.805600842117,27,3182,1335.28062668195,1
"27","Teddy",1492,771.2430242042,30,3034,1356.05967332701,1
"28","Teddy",1412,727.866983248604,32,2881,1370.12184229249,4
"29","Teddy",1496,755.350966534144,42,2896,1323.68530378599,3
"30","Teddy",1543,727.515213510193,36,2845,1331.64610193107,6
"31","Teddy",1455,725.12214814464,39,3007,1315.08787681863,3
"32","Teddy",1632,714.176900107039,33,3225,1275.83331377653,3
"33","Teddy",1495,725.11064078042,39,2933,1268.87740568473,1
"34","Teddy",1375,786.173477461822,33,3107,1376.51574303844,3
"35","Teddy",1348,802.930081310462,22,2755,1393.74155726423,3
"36","Teddy",1562,724.161494753394,37,2855,1298.30814659993,4
"37","Teddy",1498,688.599631550964,37,2642,1243.64978753595,3
"38","Teddy",1439,735.772740271016,31,2798,1202.36791246177,3
"39","Teddy",1479,755.40028461416,37,2892,1353.19588574924,4
"40","Teddy",1440,760.707433025739,36,2817,1333.0978461711,1
"41","Teddy",1415,758.684422877148,32,2781,1280.00157215015,2
"42","Teddy",1440,746.480369699553,38,2771,1305.15336737258,2
"43","Teddy",1508,781.106660617077,41,3049,1327.90997786357,5
"44","Teddy",1511,792.716967149618,28,2973,1314.47746413649,7
"45","Teddy",1386,738.607766754088,32,2795,1304.54000455145,2
"46","Teddy",1510,763.455768131025,35,2823,1318.48686670333,1
"47","Teddy",1545,734.686018503202,35,3001,1288.85123353168,4
"48","Teddy",1445,749.547281248378,33,2775,1381.60805864874,2
"49","Teddy",1532,754.751239408952,36,2869,1287.86704672375,1
"50","Teddy",1457,795.312333307364,24,2908,1378.9708856544,9
"51","Teddy",1454,731.289890792537,40,3034,1303.77373726368,4
"52","Teddy",1538,686.378816330196,37,3010,1246.65096864846,1
"53","Teddy",1529,714.918287803432,35,3204,1278.48380216325,0
"54","Teddy",1615,717.788453285633,39,3093,1294.61843988093,3
"55","Teddy",1478,738.267809240361,26,2950,1298.04359041563,3
"56","Teddy",1378,812.041347483853,33,2857,1258.30889226642,1
"57","Teddy",1555,718.645554413184,38,2843,1269.01365326653,3
"58","Teddy",1400,782.794782702773,32,2909,1336.358501932,0
"59","Teddy",1593,715.155392334593,38,2878,1282.13546065728,5
"60","Teddy",1531,729.12565517642,32,3077,1332.53880956865,3
"61","Teddy",1430,739.336297045512,29,2918,1282.51468785802,3
