"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Tippy",253,2672.97859190858,0,890,3088.95053251517,0
"2","Tippy",39,2483.70053368917,0,131,3213.12033388422,0
"3","Tippy",39,4950.03559857415,0,119,2561.51908048225,0
"4","Tippy",132,4881.92953295213,0,656,5728.07040647598,0
"5","Tippy",381,4424.71749525444,3,1276,3734.33967634764,0
"6","Tippy",211,3557.34332690668,1,923,5521.70628219648,1
"7","Tippy",290,5148.85887428878,1,1278,6387.07882398006,0
"8","Tippy",549,1852.91837763534,3,1647,2634.93249536788,0
"9","Tippy",391,5593.30004494468,3,1399,5742.75819688237,0
"10","Tippy",328,3156.26228391689,2,1273,3572.69964197446,0
"11","Tippy",145,4607.03614715695,0,484,4566.41061697381,0
"12","Tippy",20,9443.50779258359,0,171,8532.94393075656,0
"13","Tippy",67,5203.66267963039,0,294,4309.36300469469,0
"14","Tippy",66,12452.2058955658,0,160,11988.2956716976,0
"15","Tippy",150,4270.11607865571,0,667,4350.16077015021,2
"16","Tippy",245,4119.62622291102,3,802,6076.14785035198,1
"17","Tippy",355,2227.43056981021,1,1422,3559.08075057843,1
"18","Tippy",37,7962.32430533185,0,280,7201.10989466668,0
"19","Tippy",353,3843.19792657366,2,1500,5807.63093929827,0
"20","Tippy",98,11115.1734681694,0,150,9433.01100163182,0
"21","Tippy",41,9420.82252895508,0,190,7133.03784834208,0
"22","Tippy",131,4400.34278719903,1,615,4107.79932500529,0
"23","Tippy",379,2681.12224473865,7,1034,3412.13350946544,0
"24","Tippy",433,3596.72083533469,3,1224,4297.04604109928,0
"25","Tippy",219,3732.41683119165,3,982,4348.90012792872,0
"26","Tippy",51,3759.42840561837,1,169,5632.39694122478,0
"27","Tippy",110,2604.70310571191,0,491,3358.29683607377,0
"28","Tippy",340,2444.02254695117,2,1247,4781.57431651324,0
"29","Tippy",250,4325.91487419342,1,987,4543.90780809274,0
"30","Tippy",178,4509.49699616463,1,664,5686.37309731493,0
"31","Tippy",129,5467.49732800102,0,461,5234.18462441152,0
"32","Tippy",23,7160.79777789333,0,301,5344.00111566506,0
"33","Tippy",194,3092.76133539309,4,684,4194.18531480389,0
"34","Tippy",94,1481.46658801962,0,341,3583.63228217202,0
"35","Tippy",185,6987.83102717477,1,869,7593.36319964102,0
"36","Tippy",66,9247.72479083816,0,231,7063.20665419404,0
"37","Tippy",107,4467.9849536474,1,152,4836.38281751677,0
"38","Tippy",504,1531.94333455535,6,1470,1934.53730092172,0
"39","Tippy",255,3894.55366759696,4,754,3464.11239961467,0
"40","Tippy",403,4165.28869607747,2,1435,5922.43048344753,0
"41","Tippy",101,3402.99916894555,2,269,4274.6045565141,0
"42","Tippy",142,3822.29834275281,1,537,4328.30495903439,0
