"","ID","Road_Crossings_Maj","Average_Distance_From_Crossing_Structure_Maj","Numb_Crossings_Near_Structure_Maj","Road_Crossings_Min","Average_Distance_From_Crossing_Structure_Min","Numb_Crossings_Near_Structure_Min"
"1","Wyatt",4404,663.510174258288,111,6666,1153.5771947226,5
"2","Wyatt",4199,699.390092929343,106,6640,1175.2818083956,10
"3","Wyatt",4351,665.472056212436,117,6553,1154.73307629838,7
"4","Wyatt",4147,691.630308742352,86,6437,1190.46299264385,8
"5","Wyatt",4409,669.383989288419,119,6945,1143.2809650813,9
"6","Wyatt",4352,687.924471878503,112,6507,1195.63288872082,10
"7","Wyatt",4309,670.735720364167,139,6365,1159.53839769338,6
"8","Wyatt",4136,686.066423791026,115,6604,1185.1191768536,7
"9","Wyatt",4135,710.279958983892,80,6817,1168.68428758264,5
"10","Wyatt",4205,688.673115681407,117,6485,1167.17142019882,11
"11","Wyatt",4131,706.404637092161,85,6578,1173.51636076971,8
"12","Wyatt",4208,699.110885485153,105,6243,1190.37838201844,7
"13","Wyatt",4065,695.459594758636,120,6437,1173.96945377329,11
"14","Wyatt",4388,677.629213660539,132,6694,1166.61955040485,10
"15","Wyatt",4139,682.250347375636,132,6890,1180.28247402674,2
"16","Wyatt",4338,687.800418123318,125,6554,1202.40616803673,6
"17","Wyatt",4351,665.605676139193,123,6034,1167.89724559203,7
"18","Wyatt",4044,720.547812004352,93,6587,1191.5046174466,3
"19","Wyatt",4426,677.999767575338,103,6782,1156.72624743376,8
"20","Wyatt",4197,697.843904824672,128,6715,1212.41816479286,10
"21","Wyatt",4456,652.929409809288,107,6903,1167.39198761988,7
"22","Wyatt",4141,721.651614069385,109,6515,1183.22740463405,11
"23","Wyatt",4356,670.083742885826,133,6838,1194.76099770175,7
"24","Wyatt",4384,659.17142676593,109,6673,1160.129867026,4
"25","Wyatt",4273,677.185363562967,138,6492,1144.7956942788,6
"26","Wyatt",4271,695.009461142074,118,6687,1184.22398306561,8
"27","Wyatt",4114,690.663281091822,108,6573,1157.83900070214,2
"28","Wyatt",4140,683.848371918623,105,6483,1182.70497988164,5
"29","Wyatt",4230,667.87051875337,119,6359,1159.77665620782,6
"30","Wyatt",4420,650.491258078251,120,6681,1122.08625796086,8
"31","Wyatt",4247,686.975919301534,113,6254,1155.30328279779,9
"32","Wyatt",4261,670.251701106978,125,6660,1176.47837392767,8
"33","Wyatt",4310,680.282830743963,116,6692,1178.57714817507,7
"34","Wyatt",4233,680.925467594513,110,6422,1167.55865579694,7
"35","Wyatt",4219,687.6796291979,91,6481,1174.54532896267,8
"36","Wyatt",4226,660.575261203861,114,6655,1145.85092368952,7
"37","Wyatt",4408,668.188252985421,110,7026,1214.25532278353,6
"38","Wyatt",4256,652.335915255848,118,6531,1176.40707893055,7
"39","Wyatt",4311,676.410273425873,114,6596,1187.32700689228,12
"40","Wyatt",4275,707.201524443725,111,6365,1191.23306343577,3
"41","Wyatt",4164,686.835573313617,113,6374,1195.8456746221,7
"42","Wyatt",4067,705.141898275966,114,6449,1189.17293036669,4
"43","Wyatt",4205,673.465075912084,104,6462,1190.48590224336,8
"44","Wyatt",4328,663.703607854155,117,6681,1160.16137957109,11
"45","Wyatt",4097,680.584379079695,125,6503,1166.61819584924,8
"46","Wyatt",4040,686.536706680582,112,6752,1173.13234463905,4
"47","Wyatt",4227,702.359619994551,112,7096,1198.02495702862,9
"48","Wyatt",4347,654.664811469471,143,6476,1155.98000143917,8
"49","Wyatt",4245,694.027093165297,112,6474,1137.61307826564,5
"50","Wyatt",4536,661.008669169649,108,6570,1133.75345815151,10
"51","Wyatt",4325,674.069655762596,112,6636,1159.90813155804,12
"52","Wyatt",4067,706.758493871506,91,6368,1208.04477602987,4
"53","Wyatt",4267,672.025295507651,114,6498,1157.59687533652,7
"54","Wyatt",4296,698.524286558855,106,6626,1160.48340724157,7
"55","Wyatt",4248,685.159855972783,114,6660,1169.57348433382,6
"56","Wyatt",4517,664.711637544525,109,7086,1157.86048090866,11
"57","Wyatt",4275,671.187584812444,111,6862,1189.00232608146,6
"58","Wyatt",4292,673.805773978281,115,6419,1176.26863225008,7
"59","Wyatt",4256,684.871249653916,140,6984,1184.07307125887,10
"60","Wyatt",3907,724.809012037153,94,6686,1194.23066298137,8
"61","Wyatt",4139,691.381166565195,137,6941,1189.21046204537,19
"62","Wyatt",4308,678.100877713342,119,6450,1170.61310530144,9
"63","Wyatt",4118,676.547851713777,131,6713,1159.95516297376,10
"64","Wyatt",4314,676.35377440223,130,6614,1132.0704638651,6
"65","Wyatt",4178,685.230155386948,101,6736,1165.64744719282,13
"66","Wyatt",4098,693.128602086204,99,6665,1164.55136413837,10
"67","Wyatt",4083,705.639085348241,107,6315,1175.11182642073,6
"68","Wyatt",4093,683.004655997478,104,6575,1174.84836714596,13
"69","Wyatt",4225,699.051320975739,96,7121,1188.70871592317,7
"70","Wyatt",4360,693.160954028722,126,6616,1169.52406150858,9
"71","Wyatt",4405,673.603337168127,116,6586,1148.29222266232,6
"72","Wyatt",4090,685.943976118362,112,6634,1174.01683328167,6
"73","Wyatt",4314,687.964881404251,107,6890,1201.28221996227,9
"74","Wyatt",4398,655.816232353567,112,6641,1142.049950868,10
"75","Wyatt",4315,681.305508571602,115,6696,1169.42763393192,5
"76","Wyatt",4367,675.051179868232,123,6616,1160.55237776369,4
"77","Wyatt",4117,722.017933711682,82,6381,1212.93350987906,6
"78","Wyatt",4152,694.284530804228,118,6505,1143.9300429538,9
"79","Wyatt",4218,684.450425651266,102,6374,1143.38920204199,7
"80","Wyatt",4317,678.0978228201,104,6363,1176.1492610478,11
"81","Wyatt",4245,699.569315137679,117,6817,1191.31531514722,6
"82","Wyatt",4349,677.044189106929,108,6950,1165.00172775572,13
"83","Wyatt",4137,664.650673501232,109,6754,1169.01245214198,10
"84","Wyatt",4212,699.588709234815,93,6563,1192.73681184389,6
"85","Wyatt",4155,657.414496481348,120,6639,1177.66296210252,8
"86","Wyatt",4090,683.598044690864,110,6368,1171.47668347584,14
"87","Wyatt",4355,686.897065620307,92,6714,1120.2433053248,7
"88","Wyatt",4320,667.332633764016,104,6802,1141.78531528095,3
"89","Wyatt",4508,669.88007789377,126,6750,1164.89149869959,13
"90","Wyatt",4177,671.895675952307,115,6520,1187.66523601524,6
"91","Wyatt",4157,693.529094665014,90,6694,1217.61860341173,4
"92","Wyatt",4132,715.713913977028,90,6410,1211.42721787858,8
"93","Wyatt",4164,731.046262759147,107,6625,1204.31674569055,2
"94","Wyatt",4161,696.451501389637,103,6134,1157.12505248625,8
"95","Wyatt",4220,673.666572736567,124,6201,1188.23114263557,5
"96","Wyatt",4323,703.307541068339,108,6553,1194.50861476806,3
"97","Wyatt",4309,673.602461929257,109,6600,1143.13596015911,4
"98","Wyatt",4083,699.74695022375,84,6543,1196.42345117517,5
"99","Wyatt",4316,686.093063130377,97,6746,1187.13164366745,11
"100","Wyatt",4255,677.967268460667,137,6362,1160.07045240297,10
"101","Wyatt",4005,716.094640626262,100,6371,1183.3922929076,7
"102","Wyatt",4425,670.074691530112,118,6879,1166.32005903887,9
"103","Wyatt",4140,715.241219257002,113,6730,1189.45200854825,6
"104","Wyatt",4393,679.128494940429,99,6530,1174.85783783147,12
"105","Wyatt",4185,712.39611142067,124,6664,1205.75307245918,7
"106","Wyatt",4172,678.480242042064,102,6584,1167.96990885823,3
"107","Wyatt",4347,690.85846607652,114,6975,1208.48677703413,6
"108","Wyatt",4584,659.470377535743,108,6966,1157.0856745579,9
"109","Wyatt",4202,699.042232938599,108,6503,1189.11521487819,7
"110","Wyatt",4291,685.359138562253,100,6536,1182.5458956782,12
"111","Wyatt",4411,650.034392562465,106,6438,1166.17617491317,8
"112","Wyatt",4203,685.77405532719,111,6584,1179.17632022318,5
"113","Wyatt",4213,682.930086916152,122,6816,1164.10539659292,6
"114","Wyatt",4300,681.233173274253,104,6758,1180.3694612049,7
"115","Wyatt",4246,662.249722886078,105,6400,1142.73436977345,10
"116","Wyatt",4196,684.775989632923,125,6577,1219.12231843978,4
"117","Wyatt",4342,669.311334354862,124,6577,1152.57389423275,12
"118","Wyatt",4397,658.906318790437,130,6380,1157.12705760068,4
"119","Wyatt",4185,718.720412575468,92,6550,1200.86657037754,4
"120","Wyatt",4262,673.65381448655,110,6781,1174.67030727484,10
"121","Wyatt",4168,686.401451263262,113,6782,1206.51702525518,16
"122","Wyatt",4199,666.880582405916,101,6623,1185.89402949144,5
"123","Wyatt",4224,663.52278079882,123,6704,1150.72278631808,3
"124","Wyatt",4419,688.72242166901,103,6524,1202.97606849001,6
"125","Wyatt",4191,685.804947126744,124,6494,1158.24085324984,2
"126","Wyatt",4236,683.466917866303,101,6434,1192.08390973016,5
"127","Wyatt",4182,690.142886637684,122,6583,1175.75007313519,6
"128","Wyatt",4266,690.681528086115,107,6507,1182.35554283515,8
"129","Wyatt",4095,664.527592861841,129,6273,1173.28752083589,10
"130","Wyatt",4344,675.163809874563,136,6492,1176.1756128149,13
