"","name","percent_crossings_near_structure_all"
"1","Cassidy",0.0434782608695652
"2","Catherine",0
"3","Dave",0.00380228136882129
"4","Hal",0.000536480686695279
"5","Charlie",0.113142857142857
"6","Jack",0
"7","Ben",0
"8","Bunny",NA
"9","Braeden",0.00150602409638554
"10","Elsie",0.00245098039215686
"11","Cynthia",0
"12","Carrie",0.00114757860913473
"13","BobbiJo",0.00718390804597701
"14","EmmaClaire",0.00137632717263075
"15","Michele",0.04375
"16","Jonathan",0.0088809946714032
"17","Daphne",0.000739781764379508
"18","Avery",0.00173938251920568
"19","Nala",0.156626506024096
"20","Beverly",0.000241721053903795
"21","Lisa",0
"22","Minnie",0
"23","Luna",0
"24","Rocky",0.00123548307388189
"25","Sadie",0
"26","Steve",0.000725163161711385
"27","Sylvia",0
"28","Shannan",0
"29","Sweetwater",0
"30","Morgan",0.00540352100400906
"31","Margaret",0.00886339937434828
"32","Val",0.00647103085026336
"33","Wyatt",0.0262300702897308
"34","Tippy",0.000719424460431655
"35","Danielle",0.0118866970156803
