"name","days","real_crossings_maj","crossings_near_structure_maj","real_crossings_min","crossings_near_structure_min","simulated_crossings_maj","sim_crossings_near_structure_maj","simulated_crossings_min","sim_crossings_near_structure_min","speed","area_sq_km","total_road_length_km_all","total_road_length_km_maj","road_density_all","road_density_maj","real_crossings_all","simulated_crossings_all","crossings_near_structure_all","sim_crossings_near_structure_all","crossings_per_day_all","crossings_per_day_maj","mortality","SEX","ACTUAL_WEIGHT_LB","diff_all","diff_maj","real_crossings_vs_simulated","percent_crossings_near_structure_all","percent_crossings_near_structure_maj","sim_percent_crossings_near_structure_all","real_crossings_near_structure_vs_simulated"
"Cassidy",33.6251157407407,13,2,33,0,25.043,0.002,54.256,0.001,NA,2.05810819369473,6.86617722861399,0,3.33615951272599,0,46,79.299,2,0.003,1.36802503089278,0.386615769600133,1,"F","14.9",-33.299,-12.043,"lower",0.0434782608695652,0.153846153846154,3.78314985056558e-05,"higher"
"Catherine",26.5833217592593,6,0,97,0,5.719,0,97.023,0,5.28935861633202,6.56687291277057,61.394284078255,7.44097287729269,9.34908972562296,1.13310748907936,103,102.742,0,0,3.87460983743026,0.225705427423122,0,"F","13.44",0.25800000000001,0.281,"within",0,0,0,"higher"
"Dave",69.7918171296296,138,3,651,0,226.311,2.348,639.748,0.173,14.9105376269282,19.4654298117214,327.633057736884,102.962849294342,16.8315347210877,5.28952354457344,789,866.059,3,2.521,11.3050502544522,1.97730916998023,0,"M","19.82",-77.0590000000001,-88.311,"within",0.00380228136882129,0.0217391304347826,0.00291088713355557,"within"
"Hal",299.249965277778,269,1,1595,0,245.97,0.291,1627.83,0.001,NA,26.9962324420819,304.840903910645,44.3171603174407,11.2919795221298,1.64160537632499,1864,1873.8,1,0.292,6.22890632007174,0.898914055847263,1,"M","17.18",-9.79999999999995,23.03,"within",0.000536480686695279,0.00371747211895911,0.000155833066495891,"within"
"Charlie",149.750092592593,318,99,557,0,843.916,67.364,1847.008,0.002,14.1501725621341,9.49596280624129,96.2006547924288,43.5827440672893,10.1306899316413,4.58960770556559,875,2690.924,99,67.366,5.84306817345687,2.12353791903918,0,"M","19.32",-1815.924,-525.916,"lower",0.113142857142857,0.311320754716981,0.02503452345737,"higher"
"Jack",630.208449074074,92,0,37,0,61.978,0.144,48.567,0,5.1033094525349,9.60083216419992,11.9120625284071,6.23776718495782,1.24073229535512,0.649711095692052,129,110.545,0,0.144,0.204694177282979,0.14598344426383,0,"M","19.9",18.455,30.022,"within",0,0,0.00130263693518477,"lower"
"Ben",542.70837962963,128,0,1609,0,191.314,0.282,2018.521,0,NA,16.399117521306,154.855098785534,16.013411792636,9.44289219126234,0.976480092409306,1737,2209.835,0,0.282,3.20061393042321,0.235854106559684,0,"M",NA,-472.835,-63.314,"lower",0,0,0.000127611337498048,"lower"
"Bunny",495.99962962963,0,NA,1855,0,0.055,0,1648.156,0,6.16412604027373,6.94406228540862,38.2901013034707,0,5.51407803238296,0,1855,1648.211,NA,0,3.73992214749264,0,0,"F",NA,206.789,-0.055,"higher",NA,NA,0,NA
"Braeden",354.999953703704,611,6,3373,0,679.911,4.664,2764.449,0.093,12.1195007590928,28.399621578969,338.835847391499,62.0296766995904,11.9309986736732,2.18417264917099,3984,3444.36,6,4.757,11.2225366748222,1.72112698501917,0,"M",NA,539.64,-68.911,"higher",0.00150602409638554,0.00981996726677578,0.00138109837531501,"within"
"Elsie",559.166631944444,134,4,1498,0,204.048,2.336,1702.257,0.193,9.30821655072807,4.75229833252949,31.4860433656831,5.90236924836548,6.62543492906602,1.24200309731478,1632,1906.305,4,2.529,2.91862909330782,0.239642339769147,0,"F","13.5",-274.305,-70.048,"lower",0.00245098039215686,0.0298507462686567,0.00132665024746827,"within"
"Cynthia",439.124976851852,821,0,3408,0,706.784,0.217,3795.539,0.006,11.6923931103404,7.92333058346944,97.3653386828695,18.0544650197891,12.2884357350941,2.27864593425603,4229,4502.323,0,0.223,9.63051573681435,1.8696271979013,0,"F","15.72",-273.323,114.216,"lower",0,0,4.95299870755608e-05,"lower"
"Carrie",364.749930555556,481,5,3876,0,913.681,21.412,4992.307,0.287,NA,4.17312068327828,102.8695365838,15.234729343318,24.6505060340091,3.6506802701306,4357,5905.988,5,21.699,11.9451701974659,1.31871169726443,0,"F",NA,-1548.988,-432.681,"lower",0.00114757860913473,0.0103950103950104,0.00367406774277225,"lower"
"BobbiJo",446.666574074074,1073,30,3103,0,1040.544,27.065,3832.583,0,14.0036648666415,6.78530961393511,96.538613855259,18.9127729194684,14.2275915688498,2.78731170654717,4176,4873.127,30,27.065,9.34925566941453,2.40223930394679,0,"F",NA,-697.127,32.4559999999999,"lower",0.00718390804597701,0.0279589934762349,0.00555392871969066,"within"
"EmmaClaire",457.166701388889,684,7,4402,0,826.629,18.317,4685.531,0.116,8.37840571076329,7.86148280263376,173.134075810583,34.8826116386215,22.0230814157069,4.43715422578233,5086,5512.16,7,18.433,11.125044725586,1.49617196073551,1,"F","9.44",-426.16,-142.629,"lower",0.00137632717263075,0.010233918128655,0.00334406113030101,"lower"
"Michele",28.7084837962963,42,3,118,4,185.808,7.137,227.415,2.778,NA,15.5575403039351,209.289320087485,129.133363436101,13.4525970043316,8.30037145418407,160,413.223,7,9.915,5.57326541991193,1.46298217272688,1,"F","17.2",-253.223,-143.808,"lower",0.04375,0.0714285714285714,0.0239943081580648,"higher"
"Jonathan",325.000127314815,593,25,2222,0,563.521,11.789,2195.13,0,8.65566830392576,10.7008354449022,160.393120955277,35.2679912408682,14.9888409910729,3.29581661380183,2815,2758.651,25,11.789,8.66153506848697,1.82461466984468,0,"M","15.24",56.3490000000002,29.479,"within",0.0088809946714032,0.0421585160202361,0.00427346554529732,"higher"
"Daphne",369.416516203704,427,4,4980,0,491.522,2.071,5294.998,0.002,13.6074538039625,4.43119884552986,89.7541654882891,8.23661479541421,20.2550525528395,1.85877797014756,5407,5786.52,4,2.073,14.6365951787019,1.15587685247008,0,"F",NA,-379.52,-64.522,"lower",0.000739781764379508,0.00936768149882904,0.000358246407167002,"within"
"Avery",504.583368055556,636,12,6263,0,889.695,20.43,6305.314,0.139,11.1093307836377,7.32550332584654,111.808919107382,11.5974255296333,15.262967489604,1.58315749973304,6899,7195.009,12,20.569,13.6726662763098,1.26044582573315,0,"F","23.2",-296.009,-253.695,"lower",0.00173938251920568,0.0188679245283019,0.00285878725099579,"within"
"Nala",55.0416782407407,82,26,84,0,255.656,17.937,593.532,0.002,NA,12.0853294208845,151.984834741889,60.9969046392738,12.5759778197892,5.04718593221514,166,849.188,26,17.939,3.01589641351325,1.48978015607281,0,"F","15.6",-683.188,-173.656,"lower",0.156626506024096,0.317073170731707,0.0211248863620306,"higher"
"Beverly",441.333159722222,559,2,7715,0,649.299,2.009,7837.21,0,10.3231283226844,5.96782115134101,125.786327497262,13.998559462475,21.07742915,2.34567342208796,8274,8486.509,2,2.009,18.7477415139341,1.26661681245941,0,"F","16",-212.509,-90.299,"within",0.000241721053903795,0.0035778175313059,0.000236728671353557,"within"
"Lisa",500.750011574074,262,0,3470,0,204.449,0.003,2946.074,0,8.88637130981313,6.89229170456465,59.9755599778913,7.48127101451687,8.70183134271152,1.08545478560667,3732,3150.523,0,0.003,7.45282059658613,0.523215165140827,0,"F","14.4",581.477,57.551,"higher",0,0,9.52222853158031e-07,"higher"
"Minnie",300.707546296296,251,0,1863,0,259.665,4.667,1506.063,0,NA,2.7499054908253,31.564768382588,4.33154748533357,11.4784920746912,1.57516231004492,2114,1765.728,0,4.667,7.03008629493127,0.834698041640373,1,"F","11.6",348.272,-8.66500000000002,"higher",0,0,0.00264310244839522,"lower"
"Luna",481.083356481481,745,0,3473,0,843.287,0,3980.311,0.023,NA,3.34615855830351,54.1295771201995,10.7036746050404,16.176632450927,3.19879480261902,4218,4823.598,0,0.023,8.76771133977562,1.54858818115999,0,"F","14.28",-605.598,-98.287,"lower",0,0,4.76822488109498e-06,"higher"
"Rocky",360.083368055556,345,5,3702,0,421.512,3.44,3376.799,0.17,12.790009913649,16.5464701619649,158.198382889563,24.4032786785463,9.56085384623063,1.47483290633441,4047,3798.311,5,3.61,11.239063947479,0.958111455863663,0,"M","23.14",248.689,-76.512,"higher",0.00123548307388189,0.0144927536231884,0.000950422437762469,"within"
"Sadie",260.500034722222,329,0,2571,0,334.573,0.09,2645.535,0,7.25705196086558,5.24946137888888,88.8378763691299,13.4760769175101,16.9232364917282,2.56713516775364,2900,2980.108,0,0.09,11.1324361361116,1.26295568578646,0,"F","14.58",-80.1079999999997,-5.57299999999998,"within",0,0,3.02002477762551e-05,"lower"
"Steve",348.833333333333,336,1,1043,0,503.896,4.042,1517.207,0.03,9.67378934511142,18.4809367545585,156.507429533149,35.492779243038,8.4685874753911,1.92050758651524,1379,2021.103,1,4.072,3.95317725752509,0.963210702341138,0,"M",NA,-642.103,-167.896,"lower",0.000725163161711385,0.00297619047619048,0.00201474145553195,"within"
"Sylvia",502.375,10,0,2039,0,25.948,0.02,1355.848,0,7.75454537759485,7.80813455901776,47.0683891858154,1.79366801354769,6.02812218847525,0.229717866667161,2049,1381.796,0,0.02,4.07862652401095,0.0199054491166957,0,"F","11.4",667.204,-15.948,"higher",0,0,1.44739165549763e-05,"higher"
"Shannan",542.458078703704,50,0,2483,0,157.147,0.175,1881.591,0,11.4434843368305,8.54455202757095,52.8132051070271,3.81567963109038,6.18092147330992,0.446562864709374,2533,2038.738,0,0.175,4.66948525506899,0.0921730212212592,0,"F","12.68",494.262,-107.147,"higher",0,0,8.58374151067965e-05,"lower"
"Sweetwater",463.541655092593,85,0,1717,0,124.097,0.026,1610.156,0,7.24532717400647,10.7548458280633,106.359997765012,9.39949218738507,9.88949534613315,0.873977399365256,1802,1734.253,0,0.026,3.88746077122249,0.1833707910954,0,"M","16.6",67.7470000000001,-39.097,"within",0,0,1.49920455665926e-05,"higher"
"Morgan",928.416666666667,2020,31,3717,0,2005.995,24.769,3528.334,0,8.6292841288566,6.95475475090757,57.1211944961073,19.7716925964294,8.21325791375364,2.84290292103388,5737,5534.329,31,24.769,6.17933758190467,2.1757472399246,0,"F","13.6",202.671,14.0050000000001,"higher",0.00540352100400906,0.0153465346534653,0.00447551997721856,"within"
"Margaret",902.666689814815,854,34,2982,0,1321.612,27.014,5134.478,2.637,14.397752486485,8.32646009644297,120.838174535998,42.7241201320629,14.5125507282044,5.13112650960935,3836,6456.09,34,29.651,4.24963061480309,0.946085647821125,0,"F","13.9",-2620.09,-467.612,"lower",0.00886339937434828,0.0398126463700234,0.0045927178834248,"higher"
"Val",567.999976851852,1621,42,5024,1,2337.567,45.435,7103.32,6.646,12.81039847469,20.7765673245781,380.243046936805,109.127116285958,18.3015336940183,5.25241319131981,6645,9440.887,43,52.081,11.698944138748,2.85387335574275,0,"M","19.6",-2795.887,-716.567,"lower",0.00647103085026336,0.0259099321406539,0.00551653674066854,"within"
"Wyatt",842.166493055556,1626,100,4207,53,4260.89,110.826,6584.329,8.136,15.1487648093768,17.4843929000139,247.912215560796,104.677290446016,14.1790576875334,5.98689877564655,5833,10845.219,153,118.962,6.92618389368195,1.93073461531405,0,"M","25.2",-5012.219,-2634.89,NA,0.0262300702897308,0.0615006150061501,0.0109690731003219,NA
"Tippy",220.416608796296,177,1,1213,0,225.08,1.662,827.974,0.235,NA,NA,NA,NA,NA,NA,1390,1053.054,1,1.897,6.30623984095775,0.803024785503253,0,"M","13.3",336.946,-48.08,"within",0.000719424460431655,0.00564971751412429,0.00180142708730986,"within"
