name, days, real_crossings_maj, crossings_near_structure_maj, real_crossings_min, crossings_near_structure_min, simulated_crossings_maj,sim_crossings_near_structure_maj, simulated_crossings_min, sim_crossings_near_structure_min, speed, area_sq_km, total_road_length_km_all, total_road_length_km_maj, road_density_all, road_density_maj
"Cassidy",33.6251157407407,13,2,33,0,25.043,0.002,54.256,0.001,Inf,2.05810819369473,6.86617722861399,0,3.33615951272599,0
"Catherine",26.5833217592593,6,0,97,0,5.719,0,97.023,0,5.28935861633202,6.56687291277057,61.394284078255,7.44097287729269,9.34908972562296,1.13310748907936
"Dave",69.7918171296296,138,3,651,0,226.311,2.348,639.748,0.173,14.9105376269282,19.4654298117214,327.633057736884,102.962849294342,16.8315347210877,5.28952354457344
"Hal",299.249965277778,269,1,1595,0,245.97,0.291,1627.83,0.001,Inf,26.9962324420819,304.840903910645,44.3171603174407,11.2919795221298,1.64160537632499
"Charlie",149.750092592593,318,99,557,0,843.916,67.364,1847.008,0.002,14.1501725621341,9.49596280624129,96.2006547924288,43.5827440672893,10.1306899316413,4.58960770556559
"Jack",630.208449074074,92,0,37,0,61.978,0.144,48.567,0,5.1033094525349,9.60083216419992,11.9120625284071,6.23776718495782,1.24073229535512,0.649711095692052
"Ben",542.70837962963,128,0,1609,0,191.314,0.282,2018.521,0,Inf,16.399117521306,154.855098785534,16.013411792636,9.44289219126234,0.976480092409306
"Bunny",495.99962962963,0,NA,1855,0,0.055,0,1648.156,0,6.16412604027373,6.94406228540862,38.2901013034707,0,5.51407803238296,0
"Braeden",354.999953703704,611,6,3373,0,679.911,4.664,2764.449,0.093,12.1195007590928,28.399621578969,338.835847391499,62.0296766995904,11.9309986736732,2.18417264917099
"Elsie",559.166631944444,134,4,1498,0,204.048,2.336,1702.257,0.193,9.30821655072807,4.75229833252949,31.4860433656831,5.90236924836548,6.62543492906602,1.24200309731478
"Cynthia",439.124976851852,821,0,3408,0,706.784,0.217,3795.539,0.006,11.6923931103404,7.92333058346944,97.3653386828695,18.0544650197891,12.2884357350941,2.27864593425603
"Carrie",364.749930555556,481,5,3876,0,913.681,21.412,4992.307,0.287,Inf,4.17312068327828,102.8695365838,15.234729343318,24.6505060340091,3.6506802701306
"BobbiJo",446.666574074074,1073,30,3103,0,1040.544,27.065,3832.583,0,14.0036648666415,6.78530961393511,96.538613855259,18.9127729194684,14.2275915688498,2.78731170654717
"EmmaClaire",457.166701388889,684,7,4402,0,826.629,18.317,4685.531,0.116,8.37840571076329,7.86148280263376,173.134075810583,34.8826116386215,22.0230814157069,4.43715422578233
"Michele",28.7084837962963,42,3,118,4,185.808,7.137,227.415,2.778,Inf,15.5575403039351,209.289320087485,129.133363436101,13.4525970043316,8.30037145418407
"Jonathan",325.000127314815,593,25,2222,0,563.521,11.789,2195.13,0,8.65566830392576,10.7008354449022,160.393120955277,35.2679912408682,14.9888409910729,3.29581661380183
"Daphne",369.416516203704,427,4,4980,0,491.522,2.071,5294.998,0.002,13.6074538039625,4.43119884552986,89.7541654882891,8.23661479541421,20.2550525528395,1.85877797014756
"Avery",504.583368055556,636,12,6263,0,889.695,20.43,6305.314,0.139,11.1093307836377,7.32550332584654,111.808919107382,11.5974255296333,15.262967489604,1.58315749973304
"Nala",55.0416782407407,82,26,84,0,255.656,17.937,593.532,0.002,Inf,12.0853294208845,151.984834741889,60.9969046392738,12.5759778197892,5.04718593221514
"Beverly",441.333159722222,559,2,7715,0,649.299,2.009,7837.21,0,10.3231283226844,5.96782115134101,125.786327497262,13.998559462475,21.07742915,2.34567342208796
"Lisa",500.750011574074,262,0,3470,0,204.449,0.003,2946.074,0,8.88637130981313,6.89229170456465,59.9755599778913,7.48127101451687,8.70183134271152,1.08545478560667
"Minnie",300.707546296296,251,0,1863,0,259.665,4.667,1506.063,0,Inf,2.7499054908253,31.564768382588,4.33154748533357,11.4784920746912,1.57516231004492
"Luna",481.083356481481,745,0,3473,0,843.287,0,3980.311,0.023,Inf,3.34615855830351,54.1295771201995,10.7036746050404,16.176632450927,3.19879480261902
"Rocky",360.083368055556,345,5,3702,0,421.512,3.44,3376.799,0.17,12.790009913649,16.5464701619649,158.198382889563,24.4032786785463,9.56085384623063,1.47483290633441
"Sadie",260.500034722222,329,0,2571,0,334.573,0.09,2645.535,0,7.25705196086558,5.24946137888888,88.8378763691299,13.4760769175101,16.9232364917282,2.56713516775364
"Steve",348.833333333333,336,1,1043,0,503.896,4.042,1517.207,0.03,9.67378934511142,18.4809367545585,156.507429533149,35.492779243038,8.4685874753911,1.92050758651524
"Sylvia",502.375,10,0,2039,0,25.948,0.02,1355.848,0,7.75454537759485,7.80813455901776,47.0683891858154,1.79366801354769,6.02812218847525,0.229717866667161
"Shannan",542.458078703704,50,0,2483,0,157.147,0.175,1881.591,0,11.4434843368305,8.54455202757095,52.8132051070271,3.81567963109038,6.18092147330992,0.446562864709374
"Sweetwater",463.541655092593,85,0,1717,0,124.097,0.026,1610.156,0,7.24532717400647,10.7548458280633,106.359997765012,9.39949218738507,9.88949534613315,0.873977399365256
"Morgan",928.416666666667,2020,31,3717,0,2005.995,24.769,3528.334,0,8.6292841288566,6.95475475090757,57.1211944961073,19.7716925964294,8.21325791375364,2.84290292103388
"Margaret",902.666689814815,854,34,2982,0,1321.612,27.014,5134.478,2.637,14.397752486485,8.32646009644297,120.838174535998,42.7241201320629,14.5125507282044,5.13112650960935
"Val",567.999976851852,1621,42,5024,1,2337.567,45.435,7103.32,6.646,12.81039847469,20.7765673245781,380.243046936805,109.127116285958,18.3015336940183,5.25241319131981
"BC_#27_Wyatt",842.166493055556,1626,100,4207,53,4260.89,110.826,6584.329,8.136,15.1487648093768,17.4843929000139,247.912215560796,104.677290446016,14.1790576875334,5.98689877564655
